contest,spread
West Ham v Sunderland, 0.05 - 0.25 
Burnley v Tottenham, 0.35 - 0.55 
Fulham v Brighton, -0.1 - 0.1 
Man City v Wolves, 1.85 - 2.05 
Bournemouth v Liverpool, 0.55 - 0.75 
Brentford v Nottingham Forest, 0.5 - 0.7 
Crystal Palace v Chelsea, 0.4 - 0.6 
Newcastle v Aston Villa, 0.35 - 0.55 
Arsenal v Man Utd, 1 - 1.2 
Everton v Leeds, 0 - 0.2 
Brighton v Everton, 0.6 - 0.8 
Leeds v Arsenal, 1.05 - 1.25 
Wolves v Bournemouth, 0.2 - 0.4 
Chelsea v West Ham, 1.2 - 1.4 
Liverpool v Newcastle, 0.6 - 0.8 
Aston Villa v Brentford, 0.35 - 0.55 
Man Utd v Fulham, 0.85 - 1.05 
Nottingham Forest v Crystal Palace, 0.35 - 0.55 
Tottenham v Man City, 0.75 - 0.95 
Sunderland v Burnley, 0.65 - 0.85 
