contest,spread
Man Utd v Newcastle, -0.1 - 0.1 
Nottingham Forest v Man City, 0.95 - 1.15 
Arsenal v Brighton, 1.35 - 1.55 
Brentford v Bournemouth, 0.1 - 0.3 
Burnley v Everton, 0.45 - 0.65 
Liverpool v Wolves, 1.85 - 2.05 
West Ham v Fulham, -0.1 - 0.1 
Chelsea v Aston Villa, 0.6 - 0.8 
Sunderland v Leeds, 0 - 0.2 
Crystal Palace v Tottenham, 0.15 - 0.35 
Burnley v Newcastle, 0.8 - 1 
Chelsea v Bournemouth, 0.95 - 1.15 
Nottingham Forest v Everton, 0.25 - 0.45 
West Ham v Brighton, 0.2 - 0.4 
Arsenal v Aston Villa, 1.15 - 1.35 
Man Utd v Wolves, 1.55 - 1.75 
Crystal Palace v Fulham, 0.3 - 0.5 
Liverpool v Leeds, 1.2 - 1.4 
Brentford v Tottenham, 0.1 - 0.3 
Sunderland v Man City, 1.1 - 1.3 
