contest,spread
Burnley v Newcastle, 0.95 - 1.15 
Chelsea v Bournemouth, 1.1 - 1.3 
Nottingham Forest v Everton, 0.25 - 0.45 
West Ham v Brighton, 0.3 - 0.5 
Arsenal v Aston Villa, 1.3 - 1.5 
Man Utd v Wolves, 1.45 - 1.65 
Crystal Palace v Fulham, 0.25 - 0.45 
Liverpool v Leeds, 1.05 - 1.25 
Brentford v Tottenham, 0.15 - 0.35 
Sunderland v Man City, 1.3 - 1.5 
Aston Villa v Nottingham Forest, 0.55 - 0.75 
Brighton v Burnley, 1.05 - 1.25 
Wolves v West Ham, 0 - 0.2 
Bournemouth v Arsenal, 0.95 - 1.15 
Leeds v Man Utd, 0 - 0.2 
Everton v Brentford, 0.1 - 0.3 
Fulham v Liverpool, 0.45 - 0.65 
Newcastle v Crystal Palace, 0.65 - 0.85 
Tottenham v Sunderland, 0.6 - 0.8 
Man City v Chelsea, 0.7 - 0.9 
