contest,spread
West Ham v Chelsea, 0.8 - 1 
Man City v Tottenham, 1.1 - 1.3 
Bournemouth v Wolves, 0.6 - 0.8 
Brentford v Aston Villa, 0.2 - 0.4 
Burnley v Sunderland, 0.2 - 0.4 
Arsenal v Leeds, 1.65 - 1.85 
Crystal Palace v Nottingham Forest, 0.1 - 0.3 
Everton v Brighton, 0.15 - 0.35 
Fulham v Man Utd, 0.25 - 0.45 
Newcastle v Liverpool, 0.3 - 0.5 
Chelsea v Fulham, 0.95 - 1.15 
Man Utd v Burnley, 1.45 - 1.65 
Sunderland v Brentford, 0 - 0.2 
Tottenham v Bournemouth, 0.45 - 0.65 
Wolves v Everton, 0.05 - 0.25 
Leeds v Newcastle, 0.25 - 0.45 
Brighton v Man City, 0.75 - 0.95 
Nottingham Forest v West Ham, 0.6 - 0.8 
Liverpool v Arsenal, 0.3 - 0.5 
Aston Villa v Crystal Palace, 0.6 - 0.8 
