contest,spread
Aston Villa v Arsenal, 0.55 - 0.75 
Bournemouth v Chelsea, 0.2 - 0.4 
Everton v Nottingham Forest, 0.25 - 0.45 
Man City v Sunderland, 1.75 - 1.95 
Newcastle v Burnley, 1.7 - 1.9 
Tottenham v Brentford, 0.05 - 0.25 
Leeds v Liverpool, 0.55 - 0.75 
Brighton v West Ham, 1.05 - 1.25 
Fulham v Crystal Palace, 0 - 0.2 
Wolves v Man Utd, 0.75 - 0.95 
Chelsea v Everton, 0.9 - 1.1 
Liverpool v Brighton, 0.75 - 0.95 
Burnley v Fulham, 0.45 - 0.65 
Arsenal v Wolves, 1.75 - 1.95 
Crystal Palace v Man City, 0.5 - 0.7 
Nottingham Forest v Tottenham, 0.1 - 0.3 
Sunderland v Newcastle, 0.3 - 0.5 
West Ham v Aston Villa, 0.4 - 0.6 
Brentford v Leeds, 0.45 - 0.65 
Man Utd v Bournemouth, 0.55 - 0.75 
