contest,spread
Nottingham Forest v Chelsea, 0.5 - 0.7 
Brighton v Newcastle, -0.1 - 0.1 
Burnley v Leeds, 0.2 - 0.4 
Crystal Palace v Bournemouth, 0.2 - 0.4 
Man City v Everton, 1.35 - 1.55 
Sunderland v Wolves, 0.1 - 0.3 
Fulham v Arsenal, 1.1 - 1.3 
Tottenham v Aston Villa, 0.35 - 0.55 
Liverpool v Man Utd, 0.95 - 1.15 
West Ham v Brentford, 0 - 0.2 
Leeds v West Ham, 0.35 - 0.55 
Chelsea v Sunderland, 1.25 - 1.45 
Newcastle v Fulham, 0.85 - 1.05 
Man Utd v Brighton, 0.35 - 0.55 
Brentford v Liverpool, 0.85 - 1.05 
Arsenal v Crystal Palace, 1.2 - 1.4 
Aston Villa v Man City, 0.5 - 0.7 
Bournemouth v Nottingham Forest, 0.65 - 0.85 
Wolves v Burnley, 0.5 - 0.7 
Everton v Tottenham, 0 - 0.2 
