contest,spread
Tottenham v Man Utd, 0 - 0.2 
Everton v Fulham, 0.2 - 0.4 
West Ham v Burnley, 0.5 - 0.7 
Sunderland v Arsenal, 1.1 - 1.3 
Chelsea v Wolves, 1.35 - 1.55 
Aston Villa v Bournemouth, 0.15 - 0.35 
Brentford v Newcastle, 0.05 - 0.25 
Crystal Palace v Brighton, 0.2 - 0.4 
Nottingham Forest v Leeds, 0.15 - 0.35 
Man City v Liverpool, 0.55 - 0.75 
Burnley v Chelsea, 1.05 - 1.25 
Bournemouth v West Ham, 0.85 - 1.05 
Brighton v Brentford, 0.4 - 0.6 
Fulham v Sunderland, 0.5 - 0.7 
Liverpool v Nottingham Forest, 1.3 - 1.5 
Wolves v Crystal Palace, 0.35 - 0.55 
Newcastle v Man City, 0.25 - 0.45 
Leeds v Aston Villa, -0.1 - 0.1 
Arsenal v Tottenham, 1.4 - 1.6 
Man Utd v Everton, 0.7 - 0.9 
