contest,spread
Newcastle v Chelsea, 0 - 0.2 
Bournemouth v Burnley, 1.15 - 1.35 
Brighton v Sunderland, 0.85 - 1.05 
Man City v West Ham, 2.05 - 2.25 
Wolves v Brentford, 0.35 - 0.55 
Tottenham v Liverpool, 0.35 - 0.55 
Everton v Arsenal, 0.95 - 1.15 
Leeds v Crystal Palace, 0 - 0.2 
Aston Villa v Man Utd, 0.3 - 0.5 
Fulham v Nottingham Forest, 0.05 - 0.25 
Man Utd v Newcastle, 0.25 - 0.45 
Nottingham Forest v Man City, 0.8 - 1 
Arsenal v Brighton, 1.2 - 1.4 
Brentford v Bournemouth, 0.15 - 0.35 
Burnley v Everton, 0.5 - 0.7 
Liverpool v Wolves, 1.95 - 2.15 
West Ham v Fulham, -0.1 - 0.1 
Chelsea v Aston Villa, 0.6 - 0.8 
Sunderland v Leeds, -0.1 - 0.1 
Crystal Palace v Tottenham, 0.25 - 0.45 
