contest,spread
Burnley v Chelsea, 1.15 - 1.35 
Bournemouth v West Ham, 0.85 - 1.05 
Brighton v Brentford, 0.4 - 0.6 
Fulham v Sunderland, 0.3 - 0.5 
Liverpool v Nottingham Forest, 1.25 - 1.45 
Wolves v Crystal Palace, 0.6 - 0.8 
Newcastle v Man City, 0.35 - 0.55 
Leeds v Aston Villa, 0 - 0.2 
Arsenal v Tottenham, 1.25 - 1.45 
Man Utd v Everton, 0.7 - 0.9 
Brentford v Burnley, 1.1 - 1.3 
Man City v Leeds, 1.75 - 1.95 
Sunderland v Bournemouth, 0.05 - 0.25 
Everton v Newcastle, 0 - 0.2 
Tottenham v Fulham, 0.35 - 0.55 
Crystal Palace v Man Utd, 0 - 0.2 
Aston Villa v Wolves, 1.05 - 1.25 
Nottingham Forest v Brighton, 0 - 0.2 
West Ham v Liverpool, 1 - 1.2 
Chelsea v Arsenal, 0.25 - 0.45 
