contest,spread
Brighton v Leeds, 0.4 - 0.6 
Burnley v Arsenal, 1.75 - 1.95 
Crystal Palace v Brentford, 0.4 - 0.6 
Fulham v Wolves, 0.55 - 0.75 
Nottingham Forest v Man Utd, 0.3 - 0.5 
Tottenham v Chelsea, 0 - 0.2 
Liverpool v Aston Villa, 0.85 - 1.05 
West Ham v Newcastle, 0.9 - 1.1 
Man City v Bournemouth, 1.1 - 1.3 
Sunderland v Everton, -0.1 - 0.1 
Tottenham v Man Utd, -0.1 - 0.1 
Everton v Fulham, 0.25 - 0.45 
West Ham v Burnley, 0.35 - 0.55 
Sunderland v Arsenal, 1.25 - 1.45 
Chelsea v Wolves, 1.4 - 1.6 
Aston Villa v Bournemouth, 0.2 - 0.4 
Brentford v Newcastle, 0.15 - 0.35 
Crystal Palace v Brighton, 0.2 - 0.4 
Nottingham Forest v Leeds, 0.2 - 0.4 
Man City v Liverpool, 0.6 - 0.8 
