contest,spread
West Ham v Nottingham Forest, 0.15 - 0.35 
Bournemouth v Tottenham, 0.25 - 0.45 
Brentford v Sunderland, 0.6 - 0.8 
Crystal Palace v Aston Villa, 0.1 - 0.3 
Everton v Wolves, 0.65 - 0.85 
Fulham v Chelsea, 0.3 - 0.5 
Man City v Brighton, 1.4 - 1.6 
Burnley v Man Utd, 0.8 - 1 
Newcastle v Leeds, 0.8 - 1 
Arsenal v Liverpool, 0.95 - 1.15 
Man Utd v Man City, 0.7 - 0.9 
Chelsea v Brentford, 0.85 - 1.05 
Leeds v Fulham, 0.2 - 0.4 
Liverpool v Burnley, 2 - 2.2 
Sunderland v Crystal Palace, -0.1 - 0.1 
Tottenham v West Ham, 0.8 - 1 
Nottingham Forest v Arsenal, 1 - 1.2 
Wolves v Newcastle, 0.7 - 0.9 
Aston Villa v Everton, 0.65 - 0.85 
Brighton v Bournemouth, 0.4 - 0.6 
