assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position,team,fpl_name
0,0,0,0,0,0.0,782,0.0,0.0,0.0,0.0,252,0,0,0.0,0.0,2025-02-22T17:30:00Z,0,0,0,0,0,0,0,0,False,2,0,0,0,0,26,0,0,0,1,2,0.0,0,0,0,0,40,False,0,782,,,Ishé Samuels-Smith
1,0,0,0,0,0.0,782,0.0,0.0,0.0,0.0,268,0,0,0.0,0.0,2025-02-25T20:15:00Z,0,0,0,0,0,0,0,0,False,17,0,0,0,0,27,0,55,0,0,4,0.0,0,31,33,2,40,True,0,782,,,Ishé Samuels-Smith
2,0,0,0,0,0.0,782,0.0,0.0,0.0,0.0,273,0,0,0.0,0.0,2025-03-09T14:00:00Z,0,0,0,0,0,0,0,0,False,11,0,0,0,0,28,0,146,0,0,1,0.0,0,15,32,17,40,True,0,782,,,Ishé Samuels-Smith
3,0,0,0,0,0.0,782,0.0,0.0,0.0,0.0,281,0,0,0.0,0.0,2025-03-16T13:30:00Z,0,0,0,0,0,0,0,0,False,1,0,0,0,0,29,0,249,0,0,1,0.0,0,16,28,12,40,False,0,782,,,Ishé Samuels-Smith
4,0,0,0,0,0.0,782,0.0,0.0,0.0,0.0,296,0,0,0.0,0.0,2025-04-03T19:00:00Z,0,0,0,0,0,0,0,0,False,18,0,0,0,0,30,0,308,0,0,1,0.0,0,24,42,18,40,True,0,782,,,Ishé Samuels-Smith
5,0,0,0,0,0.0,782,0.0,0.0,0.0,0.0,302,0,0,0.0,0.0,2025-04-06T13:00:00Z,0,0,0,0,0,0,0,0,False,4,0,0,0,0,31,0,335,0,0,0,0.0,0,8,26,18,40,False,0,782,,,Ishé Samuels-Smith
6,0,0,0,0,0.0,782,0.0,0.0,0.0,0.0,314,0,0,0.0,0.0,2025-04-13T13:00:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,32,0,388,0,2,2,0.0,0,11,24,13,40,True,0,782,,,Ishé Samuels-Smith
7,0,0,0,0,0.0,782,0.0,0.0,0.0,0.0,325,0,0,0.0,0.0,2025-04-20T13:00:00Z,0,0,0,0,0,0,0,0,False,9,0,0,0,0,33,0,456,0,2,1,0.0,0,17,36,19,40,False,0,782,,,Ishé Samuels-Smith
8,0,0,0,0,0.0,782,0.0,0.0,0.0,0.0,334,0,0,0.0,0.0,2025-04-26T11:30:00Z,0,0,0,0,0,0,0,0,False,8,0,0,0,0,34,0,536,0,0,1,0.0,0,18,39,21,40,True,0,782,,,Ishé Samuels-Smith
9,0,0,0,0,0.0,782,0.0,0.0,0.0,0.0,345,0,0,0.0,0.0,2025-05-04T15:30:00Z,0,0,0,0,0,0,0,0,False,12,0,0,0,0,35,0,504,0,1,3,0.0,0,-5,10,15,40,True,0,782,,,Ishé Samuels-Smith
10,0,0,0,0,0.0,782,0.0,0.0,0.0,0.0,356,0,0,0.0,0.0,2025-05-11T11:00:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,36,0,542,0,0,2,0.0,0,7,25,18,40,False,0,782,,,Ishé Samuels-Smith
11,0,0,0,0,0.0,782,0.0,0.0,0.0,0.0,365,0,0,0.0,0.0,2025-05-16T19:15:00Z,0,0,0,0,0,0,0,0,False,14,0,0,0,0,37,0,585,0,0,1,0.0,0,7,17,10,40,True,0,782,,,Ishé Samuels-Smith
12,0,0,0,0,0.0,782,0.0,0.0,0.0,0.0,377,0,0,0.0,0.0,2025-05-25T15:00:00Z,0,0,0,0,0,0,0,0,False,16,0,0,0,0,38,0,653,0,1,0,0.0,0,42,60,18,40,False,0,782,,,Ishé Samuels-Smith
