id,xP
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
12,0.0
13,0.0
15,0.0
16,0.0
17,0.0
18,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
73,0.0
186,0.0
578,0.0
597,0.0
633,0.0
638,0.0
639,0.0
657,0.0
659,0.0
662,0.0
665,0.0
735,0.0
756,0.0
790,0.0
793,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
167,0.0
233,0.0
385,0.0
598,0.0
640,0.0
641,0.0
656,0.0
679,0.0
710,0.0
725,0.0
731,0.0
737,0.0
762,0.0
59,0.0
60,1.6
61,0.0
62,0.6
63,0.0
64,1.7
65,0.0
66,0.0
67,0.0
68,0.2
69,0.6
70,3.6
71,0.8
72,0.0
74,2.2
75,0.0
76,0.0
77,1.8
78,6.0
79,0.6
80,0.0
81,3.0
83,0.6
84,0.0
85,2.8
152,4.4
580,4.0
592,0.2
599,0.0
617,5.4
680,0.0
687,0.2
702,0.0
707,0.0
712,0.0
713,0.2
722,0.0
723,0.0
727,0.0
728,0.0
738,4.8
86,1.5
87,-0.5
88,2.3
89,1.1
90,0.0
91,2.3
92,-0.3
93,-0.2
94,0.5
95,0.5
96,-0.5
97,-0.3
98,1.7
99,5.7
100,-0.5
101,2.1
102,0.0
103,0.0
104,-0.3
105,0.0
106,1.1
107,-0.2
108,0.0
109,-0.5
110,4.9
111,0.9
112,0.0
314,0.0
338,1.3
602,0.0
634,-0.1
649,0.0
661,0.0
674,-0.3
705,-0.5
752,5.5
757,0.1
759,-0.5
780,-0.5
786,-0.5
113,2.2
114,0.0
115,3.4
116,0.0
118,0.0
119,0.0
120,0.8
122,0.4
124,0.0
125,0.0
126,2.8
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.8
133,0.0
134,0.0
135,2.0
136,3.2
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,1.2
147,0.0
148,3.6
149,2.0
595,2.2
600,3.0
601,0.0
615,0.0
618,0.0
628,0.0
629,2.4
663,0.0
668,0.0
681,0.0
685,0.0
714,1.4
739,3.4
758,0.0
763,0.2
791,0.0
794,0.0
795,0.0
150,0.0
151,0.0
153,0.0
154,0.0
155,0.0
157,2.4
158,0.0
159,4.6
161,0.0
162,2.8
163,2.8
164,0.0
165,0.0
166,0.6
168,5.2
169,0.0
170,0.0
171,0.0
172,2.4
173,0.0
174,0.6
175,0.0
176,0.0
177,2.2
178,0.0
179,0.0
180,2.6
181,0.4
182,3.2
183,0.0
184,0.0
185,4.8
