player_id,first_name,second_name,position_id,position,team_id,team,team_code,web_name
148,Jason,Steele,1,GKP,5,Brighton,36,Steele
149,Deniz,Undav,4,FWD,5,Brighton,36,Undav
150,Jan Paul,van Hecke,2,DEF,5,Brighton,36,Van Hecke
151,Joël,Veltman,2,DEF,5,Brighton,36,Veltman
152,Bart,Verbruggen,1,GKP,5,Brighton,36,Verbruggen
153,Adam,Webster,2,DEF,5,Brighton,36,Webster
154,Danny,Welbeck,4,FWD,5,Brighton,36,Welbeck
155,Andi,Zeqiri,4,FWD,5,Brighton,36,Zeqiri
606,Igor Julio,dos Santos de Paulo,2,DEF,5,Brighton,36,Igor
621,Jack,Hinshelwood,3,MID,5,Brighton,36,Hinshelwood
690,Carlos,Baleba,3,MID,5,Brighton,36,Baleba
700,Anssumane,Fati Vieira,3,MID,5,Brighton,36,Ansu Fati
741,Mark,O’Mahony,4,FWD,5,Brighton,36,O’Mahony
742,Benicio,Baker-Boaitey,3,MID,5,Brighton,36,Baker-Boaitey
746,Ben,Jackson,2,DEF,5,Brighton,36,Jackson
747,Joshua,Duffus,3,MID,5,Brighton,36,Duffus
753,Leigh,Kavanagh,2,DEF,5,Brighton,36,Kavanagh
755,Luca,Barrington,3,MID,5,Brighton,36,Barrington
786,Cameron,Peupion,3,MID,5,Brighton,36,Peupion
816,Valentín,Barco,2,DEF,5,Brighton,36,Barco
843,Samy,Chouchane,3,MID,5,Brighton,36,Chouchane
845,Odeluga,Offiah,2,DEF,5,Brighton,36,Offiah
861,Noël,Atom,2,DEF,5,Brighton,36,Atom
156,Enock,Agyei,3,MID,6,Burnley,90,Agyei
157,Ameen,Al-Dakhil,2,DEF,6,Burnley,90,Al-Dakhil
158,Samuel,Bastien,3,MID,6,Burnley,90,Bastien
159,Manuel Benson,Hedilazio,3,MID,6,Burnley,90,Benson
160,Jordan,Beyer,2,DEF,6,Burnley,90,Beyer
161,Josh,Brownhill,3,MID,6,Burnley,90,Brownhill
162,Darko,Churlinov,3,MID,6,Burnley,90,Churlinov
163,Jack,Cork,3,MID,6,Burnley,90,Cork
164,Dara,Costelloe,3,MID,6,Burnley,90,Costelloe
165,Josh,Cullen,3,MID,6,Burnley,90,Cullen
166,CJ,Egan-Riley,2,DEF,6,Burnley,90,Egan-Riley
167,Hjalmar,Ekdal,2,DEF,6,Burnley,90,Ekdal
168,Lyle,Foster,4,FWD,6,Burnley,90,Foster
169,Denis,Franchi,1,GKP,6,Burnley,90,Franchi
170,Jóhann Berg,Gudmundsson,3,MID,6,Burnley,90,Gudmundsson
171,Luke,McNally,2,DEF,6,Burnley,90,McNally
172,Arijanet,Muric,1,GKP,6,Burnley,90,Muric
173,Dara,O'Shea,2,DEF,6,Burnley,90,O'Shea
174,Michael,Obafemi,4,FWD,6,Burnley,90,Obafemi
175,Bailey,Peacock-Farrell,1,GKP,6,Burnley,90,Peacock-Farrell
176,Connor,Roberts,2,DEF,6,Burnley,90,Roberts
177,Jay,Rodriguez,4,FWD,6,Burnley,90,Rodriguez
178,Charlie,Taylor,2,DEF,6,Burnley,90,Taylor
179,Bobby,Thomas,2,DEF,6,Burnley,90,Thomas
180,Scott,Twine,3,MID,6,Burnley,90,Twine
181,Lawrence,Vigouroux,1,GKP,6,Burnley,90,Vigouroux
182,Victor,da Silva,2,DEF,6,Burnley,90,Vitinho
183,Wout,Weghorst,4,FWD,6,Burnley,90,Weghorst
184,Anass,Zaroury,3,MID,6,Burnley,90,Zaroury
200,David Datro,Fofana,4,FWD,6,Burnley,90,D.D.Fofana
475,Sander,Berge,3,MID,6,Burnley,90,Berge
594,Zeki,Amdouni,4,FWD,6,Burnley,90,Amdouni
596,James,Trafford,1,GKP,6,Burnley,90,Trafford
600,Nathan,Redmond,3,MID,6,Burnley,90,Redmond
605,Luca,Koleosho,3,MID,6,Burnley,90,Koleosho
