,name
136,Grbić
137,Botman
138,Mykolenko
139,Antony
140,Aarons
141,Assignon
142,Konaté
143,Sinisterra
144,Ogbene
145,Townsend
146,Kalajdžić
147,Ola-Adebomi
148,Vitinho
149,Doku
150,Igor
151,Foden
152,Strakosha
153,Doughty
154,Kerkez
155,Flekken
156,Ferguson
157,Ndombele
158,McKenna
159,Gilmour
160,Pope
161,Kaboré
162,Lascelles
163,Radu
164,Nørgaard
165,B.Badiashile
166,Chalobah
167,Trusty
168,Pedro Porro
169,De Cordova-Reid
170,Mitoma
171,Douglas Luiz
172,Lewis-Potter
173,Drăgușin
174,Nkunku
175,Murillo
176,Walters
177,Ritchie
178,Ansu Fati
179,Bobb
180,Cullen
181,Bowen
182,Colwill
183,Baptiste
184,Bentley
185,Diaby
186,Bailey
187,Rodák
188,Pinnock
189,Zouma
190,Aké
191,Gomez
192,Schade
193,Walker
194,Bellegarde
195,Steele
196,Williams
197,Van de Ven
198,Ozoh
199,Reguilón
200,Patterson
201,Toti
202,Hennessey
203,T.Silva
204,Livramento
205,Mainoo
206,Andreas
207,Martinez
208,Sels
209,Muric
210,Martial
211,Joelinton
212,Hee Chan
213,Boubacar Traore
214,Odobert
215,Haaland
216,Schlupp
217,Tete
218,Brereton Díaz
219,Ward-Prowse
220,Coufal
221,Mario Jr.
222,Wan-Bissaka
223,Disasi
224,Salah
225,R.Lewis
226,Yates
227,Foderingham
228,Vítek
229,Casemiro
230,Danilo
231,Robertson
232,Shea
233,Nakamba
234,C.Richards
235,Castagne
236,Hannibal
237,J.Murphy
238,Palmer
239,Vini Souza
240,Evans
241,Harrison
242,Tsimikas
243,Shaw
244,Digne
245,Luis Díaz
246,Chong
247,Boly
248,Guéhi
249,Lukić
250,Mubama
251,Mepham
252,Senesi
253,Ortega Moreno
254,Kelly
255,Onana
256,Lo Celso
257,Anderson
258,Mavropanos
259,McNeil
260,Dunk
261,Lindelof
262,Alexander-Arnold
263,Zaniolo
264,Hall
265,Brooks
266,Gusto
267,Højlund
268,Branthwaite
269,Hinshelwood
270,Gakpo
271,J.Ramsey
272,Mudryk
273,Ogbonna
274,Petrović
275,Bassey
276,Elliott
277,Tosin
278,Brewster
279,Doherty
280,Archer
281,G.Jesus
282,Fabianski
283,Ahmedhodžić
284,Kudus
285,Riedewald
286,Madueke
287,Dennis
288,Tavernier
289,Ream
290,Donley
291,Perišić
292,Baleba
293,Mateta
294,Grealish
295,Bruun Larsen
296,Parkinson
297,Ings
298,Vinícius
299,Pau
300,Trossard
301,Wilson
302,Thiago
303,Rice
304,Alex Moreno
305,Bernardo
306,Krafth
307,Lukaku
308,Højbjerg
309,Ahamada
310,Henry
311,Rodrigo
312,Martinelli
313,Garnacho
314,Aurier
315,Udogie
316,Mitchell
317,Kluivert
318,Garner
319,Gabriel
320,Buonanotte
321,Ajer
322,Foster
323,Maddison
324,March
325,A.Doucoure
326,Barnes
327,Bogle
328,A.Becker
329,Beto
330,Morris
331,Forster
332,Gana
333,Cunha
334,Amdouni
335,Kovačić
336,Cucurella
337,McAtee
338,Duran
339,Mitrović
340,Clark
341,Dier
342,Ghoddos
343,T.Bénie
344,Berge
345,Hudson-Odoi
346,Konsa
347,Pickford
348,Rodriguez
349,Werner
350,Diogo J.
351,Watkins
352,Chilwell
353,Diop
354,Awoniyi
355,Havertz
356,Odysseas
357,Wissa
358,Jensen
359,Christie
360,Maguire
361,Kilman
362,D.D.Fofana
363,Johnson
364,Collins
365,Isak
366,Godfrey
367,Ødegaard
368,João Gomes
369,Diego Carlos
370,Adaramola
371,De Bruyne
372,Richarlison
373,Trippier
374,Davis
375,Trafford
376,Moore
377,Johnstone
378,McTominay
379,Zabarnyi
380,Veltman
381,Barkley
382,Akanji
383,Matthews
384,A.Murphy
385,Souček
386,Toney
387,B.Fernandes
388,Holgate
389,Henderson
390,Dawson
391,Muñoz
392,Cash
393,Coleman
394,Gvardiol
395,Matheus N.
396,N.Aguerd
397,Stones
398,Kaminski
399,Olsen
400,Lloris
401,Chukwuemeka
402,Mings
403,Zinchenko
404,Danjuma
405,Vicario
406,N.Semedo
407,Origi
408,R.Varane
409,Eze
410,Virgil
411,Mee
412,Aina
413,Hamer
414,Willock
415,Adebayo
416,Roerslev
417,Brownhill
418,Billing
419,Fábio Vieira
420,Endo
421,Jones
422,Kelleher
423,Taylor
424,Estève
425,Burn
426,Szoboszlai
427,Onyeka
428,Osula
429,Veliz
430,Egan
431,Lallana
432,Tonali
433,Mengi
434,Saliba
435,Stutter
436,Hashioka
437,Young
438,Scarlett
