assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position,team,fpl_name
0,0,0,0,0,0.0,756,0.0,0.0,0.0,0.0,147,0,0,0.0,0.0,2023-12-06T19:30:00Z,0,17,0,0,0,0,15,0,0,0,2,0,0.0,0,0,0,0,40,False,0,756,,,Marcelo de Araújo Pitaluga Filho
1,0,0,0,0,0.0,756,0.0,0.0,0.0,0.0,153,0,0,0.0,0.0,2023-12-09T12:30:00Z,0,8,0,0,0,0,16,0,59,0,2,1,0.0,0,33,38,5,40,False,0,756,,,Marcelo de Araújo Pitaluga Filho
2,0,0,0,0,0.0,756,0.0,0.0,0.0,0.0,166,0,0,0.0,0.0,2023-12-17T16:30:00Z,0,14,0,0,0,0,17,0,96,0,0,0,0.0,0,-9,22,31,40,True,0,756,,,Marcelo de Araújo Pitaluga Filho
3,0,0,0,0,0.0,756,0.0,0.0,0.0,0.0,174,0,0,0.0,0.0,2023-12-23T17:30:00Z,0,1,0,0,0,0,18,0,140,0,1,1,0.0,0,8,18,10,40,True,0,756,,,Marcelo de Araújo Pitaluga Filho
4,0,0,0,0,0.0,756,0.0,0.0,0.0,0.0,185,0,0,0.0,0.0,2023-12-26T17:30:00Z,0,6,0,0,0,0,19,0,166,0,2,0,0.0,0,2,12,10,40,False,0,756,,,Marcelo de Araújo Pitaluga Filho
5,0,0,0,0,0.0,756,0.0,0.0,0.0,0.0,194,0,0,0.0,0.0,2024-01-01T20:00:00Z,0,15,0,0,0,0,20,0,212,0,2,4,0.0,0,4,15,11,40,True,0,756,,,Marcelo de Araújo Pitaluga Filho
6,0,0,0,0,0.0,756,0.0,0.0,0.0,0.0,202,0,0,0.0,0.0,2024-01-21T16:30:00Z,0,3,0,0,0,0,21,0,243,0,4,0,0.0,0,-10,27,37,40,False,0,756,,,Marcelo de Araújo Pitaluga Filho
7,0,0,0,0,0.0,756,0.0,0.0,0.0,0.0,219,0,0,0.0,0.0,2024-01-31T20:15:00Z,0,7,0,0,0,0,22,0,219,0,1,4,0.0,0,-22,0,22,40,True,0,756,,,Marcelo de Araújo Pitaluga Filho
8,0,0,0,0,0.0,756,0.0,0.0,0.0,0.0,221,0,0,0.0,0.0,2024-02-04T16:30:00Z,0,1,0,0,0,0,23,0,215,0,1,3,0.0,0,-7,0,7,40,False,0,756,,,Marcelo de Araújo Pitaluga Filho
9,0,0,0,0,0.0,756,0.0,0.0,0.0,0.0,234,0,0,0.0,0.0,2024-02-10T15:00:00Z,0,6,0,0,0,0,24,0,202,0,1,3,0.0,0,-13,0,13,40,True,0,756,,,Marcelo de Araújo Pitaluga Filho
