assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position,team,fpl_name
0,0,0,0,0,0,0.0,0,601,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,17,0,0,0,0,0,1,0,57997,0,0,0,3,0.0,0,0,0,0,40,False,0,601,,,Wes Foderingham
1,0,0,0,0,0,0.0,0,601,0.0,0.0,0.0,0.0,20,0,0,0.0,0.0,2025-08-22T19:00:00Z,0,False,7,0,0,0,0,0,2,0,63056,0,0,5,1,0.0,0,-1580,1873,3453,40,True,0,601,,,Wes Foderingham
2,0,0,0,0,0,0.0,0,601,0.0,0.0,0.0,0.0,27,0,0,0.0,0.0,2025-08-31T13:00:00Z,0,False,16,0,0,0,0,0,3,0,62331,0,0,3,0,0.0,0,-2672,1251,3923,40,False,0,601,,,Wes Foderingham
3,0,0,0,0,0,0.0,0,601,0.0,0.0,0.0,0.0,40,0,0,0.0,0.0,2025-09-13T16:30:00Z,0,False,18,0,0,0,0,0,4,0,58204,0,0,3,0,0.0,0,-5044,750,5794,40,True,0,601,,,Wes Foderingham
4,0,0,0,0,0,0.0,0,601,0.0,0.0,0.0,0.0,49,0,0,0.0,0.0,2025-09-20T14:00:00Z,0,False,8,0,0,0,0,0,5,0,52115,0,0,2,1,0.0,0,-6139,0,6139,40,True,0,601,,,Wes Foderingham
