assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position,team,fpl_name
0,0,0,0,0,0,0.0,0,135,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,2025-08-17T13:00:00Z,0,False,16,0,0,0,0,0,1,0,264591,0,0,1,3,0.0,0,0,0,0,75,False,0,135,,,Yoane Wissa
1,0,0,0,0,0,0.0,0,135,0.0,0.0,0.0,0.0,13,0,0,0.0,0.0,2025-08-23T14:00:00Z,0,False,2,0,0,0,0,0,2,0,176219,0,0,0,1,0.0,0,-97482,4602,102084,75,True,0,135,,,Yoane Wissa
2,0,0,0,0,0,0.0,0,135,0.0,0.0,0.0,0.0,28,0,0,0.0,0.0,2025-08-30T14:00:00Z,0,False,17,0,0,0,0,0,3,0,119005,0,0,1,2,0.0,0,-60419,2550,62969,75,False,0,135,,,Yoane Wissa
3,0,0,0,0,0,0.0,0,135,0.0,0.0,0.0,0.0,39,0,0,0.0,0.0,2025-09-13T14:00:00Z,0,False,20,0,0,0,0,0,4,0,136656,0,0,0,1,0.0,0,8140,76588,68448,75,True,0,135,,,Yoane Wissa
4,0,0,0,0,0,0.0,0,135,0.0,0.0,0.0,0.0,42,0,0,0.0,0.0,2025-09-21T13:00:00Z,0,False,4,0,0,0,0,0,5,0,95947,0,0,0,0,0.0,0,-39179,603,39782,75,False,0,135,,,Yoane Wissa
