assists_x,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position
0.0,0.0,-8.0,0.0,3.0,4.5,5.0,107.0,0.0,0.12,0.12,1.86,4.0,3.0,0.0,1.7,5.4,2025-08-17,68.0,False,16.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,40255.0,1.0,2.0,1.0,3.0,7.0,1.0,0.0,0.0,0.0,50.0,False,0.0,107.0,,,0.0,2.0,0.0646405965089798,73.0,AMR,Nottingham Forest,Brentford,3.0,1.0,28785.0,2025.0,732269.0,0.0,0.0,0.0,0.0,0.0646405965089798,0.0646405965089798,0.0,10809.0,Brentford,Keane Lewis-Potter,Keane Lewis-Potter,3.0,3.0,1.0,2.6,DEF
0.0,0.0,24.0,1.0,3.0,0.8,4.0,107.0,0.0,0.0,0.0,1.19,13.0,0.0,0.0,1.1,8.0,2025-08-23,90.0,False,2.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,44362.0,1.0,1.0,0.0,1.0,2.0,6.0,-1440.0,2909.0,4349.0,50.0,True,0.0,107.0,,,0.0,0.0,0.0,90.0,DL,Brentford,Aston Villa,1.0,0.0,28790.0,2025.0,733231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10809.0,Brentford,Keane Lewis-Potter,Keane Lewis-Potter,3.0,3.0,2.0,3.5,DEF
0.0,0.0,21.0,1.0,3.0,0.3,5.0,107.0,0.0,0.0,0.0,0.48,28.0,0.0,0.0,0.9,8.8,2025-08-30,71.0,False,17.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,51206.0,1.0,2.0,1.0,2.0,0.0,6.0,2073.0,5745.0,3672.0,50.0,False,0.0,107.0,,,0.0,0.0,0.0,74.0,DL,Sunderland,Brentford,2.0,1.0,28801.0,2025.0,735086.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10809.0,Brentford,Keane Lewis-Potter,Keane Lewis-Potter,3.0,2.0,3.0,4.8,DEF
0.0,0.0,1.0,0.0,1.0,15.5,2.0,107.0,0.05,0.05,0.0,1.16,33.0,2.0,0.0,2.4,4.2,2025-09-13,89.0,False,7.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,49172.0,1.0,1.0,2.0,2.0,4.0,1.0,-2365.0,2885.0,5250.0,50.0,True,0.0,107.0,,,0.0,0.0,0.0,90.0,DL,Brentford,Chelsea,2.0,2.0,28815.0,2025.0,737277.0,0.0869081765413284,0.0,1.0,0.0,0.0,0.1484171003103256,0.1484171003103256,10809.0,Brentford,Keane Lewis-Potter,Keane Lewis-Potter,3.0,3.0,4.0,3.0,DEF
0.0,0.0,-4.0,0.0,0.0,4.3,0.0,107.0,0.01,0.01,0.0,1.01,45.0,3.0,0.0,0.7,0.8,2025-09-20,65.0,False,10.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,49105.0,1.0,0.0,1.0,3.0,2.0,1.0,-1173.0,2090.0,3263.0,50.0,False,0.0,107.0,,,0.0,0.0,0.0,71.0,DL,Fulham,Brentford,3.0,1.0,28825.0,2025.0,739013.0,0.0,0.0,0.0,0.0,0.0,0.0603536963462829,0.0603536963462829,10809.0,Brentford,Keane Lewis-Potter,Keane Lewis-Potter,3.0,3.0,5.0,2.7,DEF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,107.0,,,,,,,,,,,,,,,,,,,,,,10809.0,5,,,,,6.0,,2
