assists_x,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,fpl_name,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position,pts_bps
0,0,10,0,2,25.4,5,126,0.03,0.16,0.13,1.86,4,3,0,4.2,9.0,2025-08-17,68,False,16,0,0,0,1,0,1,0,8568,1,2,1,3,8.0,2,0,0,0,50,False,0,126,,,Mathias Jensen,0,1,0.0751350820064544,73,DMC,Nottingham Forest,Brentford,3,1,28785,2025,732267,0.1362572461366653,0,2,0,0.0751350820064544,0.1982023417949676,0.0,28785,Brentford,Mathias Jensen,Mathias Jensen,3,3,1,1.5,MID,2
0,0,5,0,1,0.3,3,126,0.01,0.01,0.0,0.24,13,0,0,0.4,3.4,2025-08-23,11,False,2,0,0,0,1,0,2,0,9577,0,1,0,1,0.0,1,-580,612,1192,50,True,0,126,,,Mathias Jensen,0,0,0.0,3,Sub,Brentford,Aston Villa,1,0,28790,2025,733238,0.0,0,0,0,0.0,0.0,0.0,28790,Brentford,Mathias Jensen,Mathias Jensen,3,3,2,1.5,MID,1
0,0,17,0,4,22.3,10,126,0.06,0.06,0.0,0.77,33,1,0,3.9,14.4,2025-09-13,72,False,7,0,0,0,3,0,4,0,8207,1,3,2,2,2.0,2,-1065,246,1311,49,True,0,126,,,Mathias Jensen,0,0,0.0,74,MC,Brentford,Chelsea,2,2,28815,2025,737278,0.0486978180706501,0,1,0,0.0,0.1711706966161728,0.1224728748202323,28815,Brentford,Mathias Jensen,Mathias Jensen,3,3,4,0.7,MID,2
