assists_x,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,team_h_difficulty,team_a_difficulty,event,xP,position
0.0,0.0,6.0,0.0,0.0,0.8,1.0,732.0,0.0,0.01,0.01,0.0,35.0,0.0,0.0,2.3,3.4,2025-09-13,6.0,False,17.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1703.0,0.0,0.0,0.0,0.0,19.0,1.0,1195.0,1434.0,239.0,55.0,True,0.0,732.0,0.0,1.0,0.0601100549101829,2.0,Crystal Palace,Sunderland,0.0,0.0,28811.0,2025.0,736946.0,0.0,0.0,0.0,0.0,0.0601100549101829,0.0,0.0,12726.0,Crystal Palace,Christantus Uche,Christantus Uche,2.0,3.0,4.0,2.3,FWD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,732.0,,,,,,,,,,,,,,,,,,,12726.0,8,,,,,6.0,,4
