id,xP
1,3.5
2,1.0
3,0.0
4,1.0
5,3.7
6,3.0
7,0.0
8,4.3
9,0.0
10,1.7
11,1.5
13,1.0
14,0.0
15,1.0
16,6.2
17,4.5
18,1.3
19,1.5
20,5.2
21,2.5
22,2.2
23,0.0
24,1.2
25,1.0
26,3.7
28,0.0
29,0.0
30,1.0
31,2.2
266,1.3
662,0.0
666,3.0
700,0.0
711,1.0
725,4.3
759,1.0
32,2.2
33,0.2
34,0.0
35,0.0
36,2.8
37,0.7
38,1.8
39,1.5
40,0.0
41,0.2
42,0.2
43,0.0
44,0.2
45,0.0
46,0.0
47,6.5
48,4.0
49,0.0
50,2.5
51,0.0
53,1.5
54,3.8
55,0.0
56,0.0
57,0.0
58,3.0
59,0.0
60,0.0
61,0.0
62,0.2
63,0.0
64,5.8
65,0.0
389,0.0
456,0.8
677,0.0
688,0.0
701,0.0
702,0.0
703,0.0
710,0.0
719,1.8
754,0.2
757,0.0
768,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,1.5
188,0.0
189,0.0
190,3.2
191,0.0
192,0.7
193,1.7
194,0.0
195,1.2
196,0.0
197,1.3
198,0.0
199,0.1
200,1.0
201,0.0
202,2.0
203,0.0
204,0.0
205,0.0
206,1.8
207,0.0
208,0.0
209,3.2
210,0.5
211,0.0
212,0.0
213,0.0
214,0.7
215,0.3
216,0.0
217,0.0
218,0.2
219,0.0
470,3.3
676,3.5
680,3.5
722,1.3
776,0.0
66,0.0
67,0.7
68,0.0
69,-1.0
70,0.0
71,0.0
72,2.0
73,0.5
74,1.5
75,-0.2
76,-1.0
77,-0.2
78,0.0
79,0.0
80,-0.8
81,1.8
82,4.5
84,2.8
85,0.0
86,1.5
87,0.0
88,0.2
89,0.0
90,1.5
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,1.2
98,-0.5
99,0.0
100,0.2
391,0.0
685,0.3
687,-1.0
697,-0.3
713,1.8
721,0.0
756,-1.0
27,0.3
83,0.0
101,4.7
102,0.0
103,0.0
104,0.0
105,0.0
106,4.7
107,6.0
108,2.2
109,3.0
110,3.2
111,0.0
112,0.0
113,2.0
114,0.0
115,0.0
116,1.3
117,0.0
118,0.0
120,4.5
121,1.8
122,0.0
123,0.0
124,2.7
125,3.7
126,1.5
127,0.0
128,0.0
129,2.8
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
136,2.2
137,0.0
748,0.0
138,0.0
139,3.0
140,0.0
141,0.0
142,0.0
143,1.5
144,1.2
145,2.5
146,0.7
147,0.0
148,2.3
150,0.0
151,1.7
152,2.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.7
158,3.3
159,0.0
160,1.7
161,0.0
162,1.3
163,1.5
164,0.0
165,0.0
166,2.3
167,0.0
169,2.5
170,0.5
171,0.0
172,0.3
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,1.2
179,0.0
180,0.0
181,1.3
744,0.0
761,0.0
168,-0.5
220,3.7
221,-0.5
222,0.0
223,-0.5
224,1.5
225,3.8
226,3.5
227,0.0
228,3.8
229,-0.3
230,3.2
231,0.0
232,-0.5
233,-0.5
234,0.0
235,3.0
236,1.7
237,2.3
238,0.8
239,0.0
240,0.0
241,0.0
243,-0.5
244,0.0
245,0.0
246,-0.2
247,0.0
248,0.0
249,2.5
250,0.0
251,0.0
252,-0.5
453,1.7
672,-0.1
743,-0.5
253,1.7
254,0.0
255,0.0
256,0.0
257,1.5
258,1.5
259,0.3
260,2.3
261,0.3
262,0.0
263,2.0
264,0.0
265,0.0
267,0.0
268,0.0
269,0.3
270,0.5
271,0.0
272,0.8
273,3.3
274,0.0
275,0.0
276,1.8
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,2.8
284,0.6
285,0.0
286,0.0
580,0.5
690,0.0
712,2.5
723,0.3
732,1.3
762,0.2
773,0.0
780,0.0
242,0.0
287,4.3
288,0.0
289,0.0
290,0.0
291,5.0
292,3.5
293,4.2
294,0.0
295,3.0
296,1.5
297,0.0
298,0.0
299,0.0
300,2.3
301,0.0
302,0.0
303,5.3
304,2.3
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,2.7
311,1.0
312,0.0
313,0.0
419,1.3
630,0.0
667,0.0
704,0.0
705,0.0
707,1.7
728,1.2
779,0.0
314,2.8
315,0.0
316,3.3
317,2.5
318,0.0
319,0.0
320,-0.2
321,2.3
322,0.8
323,-0.5
324,0.0
325,2.3
326,0.2
327,0.0
328,0.0
329,5.0
330,1.3
331,1.0
332,2.2
333,0.0
334,0.0
335,0.0
336,-0.3
337,3.3
338,0.0
664,-0.5
727,0.0
731,1.5
737,-0.3
770,-0.5
339,0.0
340,0.0
341,0.0
342,1.8
343,3.0
344,2.8
345,1.2
346,0.0
347,2.3
348,0.0
349,0.0
350,3.2
351,1.7
352,0.2
353,0.0
354,0.0
355,0.0
356,1.5
357,0.0
358,1.8
359,0.0
360,0.0
361,0.0
362,0.3
363,0.0
364,0.0
365,0.5
493,0.0
660,5.2
665,2.8
691,6.2
698,1.7
706,1.3
741,0.0
366,3.8
367,0.5
368,0.5
369,0.5
370,3.0
371,2.7
372,1.8
373,3.5
374,3.8
375,2.7
376,0.5
377,0.0
378,0.5
379,0.5
380,0.5
381,0.0
382,5.3
383,0.0
384,1.2
385,1.3
386,1.8
387,3.0
388,3.0
390,5.2
392,0.0
393,0.0
394,0.0
395,0.0
396,0.8
397,0.0
398,0.0
499,0.0
661,7.5
686,0.7
692,0.0
746,0.5
760,0.5
182,0.5
399,0.0
400,0.5
401,0.5
402,0.0
403,6.3
404,0.0
405,2.2
406,0.7
407,7.2
408,6.7
409,0.1
410,1.0
411,3.8
412,0.0
413,0.0
414,5.7
415,0.5
416,2.8
417,7.2
418,1.2
420,0.0
421,0.7
422,0.0
423,2.2
424,0.1
425,0.0
427,4.0
428,0.0
429,0.5
430,6.3
736,5.3
739,0.7
740,0.5
742,0.5
763,0.5
764,0.5
119,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,2.3
438,0.0
439,0.0
440,5.3
441,3.9
442,0.0
