scoreline,scoreline_odds,contest,Outcome
1-0,9/1,Arsenal v Everton,Arsenal Win
2-0,6/1,Arsenal v Everton,Arsenal Win
2-1,10/1,Arsenal v Everton,Arsenal Win
3-0,6/1,Arsenal v Everton,Arsenal Win
3-1,10/1,Arsenal v Everton,Arsenal Win
3-2,33/1,Arsenal v Everton,Arsenal Win
4-0,9/1,Arsenal v Everton,Arsenal Win
4-1,14/1,Arsenal v Everton,Arsenal Win
4-2,45/1,Arsenal v Everton,Arsenal Win
4-3,150/1,Arsenal v Everton,Arsenal Win
5-0,16/1,Arsenal v Everton,Arsenal Win
5-1,25/1,Arsenal v Everton,Arsenal Win
5-2,70/1,Arsenal v Everton,Arsenal Win
6-0,33/1,Arsenal v Everton,Arsenal Win
6-1,45/1,Arsenal v Everton,Arsenal Win
6-2,125/1,Arsenal v Everton,Arsenal Win
7-0,66/1,Arsenal v Everton,Arsenal Win
7-1,100/1,Arsenal v Everton,Arsenal Win
8-0,125/1,Arsenal v Everton,Arsenal Win
9-0,250/1,Arsenal v Everton,Arsenal Win
10-0,300/1,Arsenal v Everton,Arsenal Win
0-0,28/1,Arsenal v Everton,Draw
1-1,16/1,Arsenal v Everton,Draw
2-2,35/1,Arsenal v Everton,Draw
3-3,125/1,Arsenal v Everton,Draw
4-4,300/1,Arsenal v Everton,Draw
1-0,45/1,Arsenal v Everton,Everton Win
2-0,100/1,Arsenal v Everton,Everton Win
2-1,50/1,Arsenal v Everton,Everton Win
3-0,250/1,Arsenal v Everton,Everton Win
3-1,150/1,Arsenal v Everton,Everton Win
3-2,125/1,Arsenal v Everton,Everton Win
4-0,300/1,Arsenal v Everton,Everton Win
4-1,300/1,Arsenal v Everton,Everton Win
4-2,300/1,Arsenal v Everton,Everton Win
4-3,300/1,Arsenal v Everton,Everton Win
5-0,300/1,Arsenal v Everton,Everton Win
5-1,300/1,Arsenal v Everton,Everton Win
5-2,300/1,Arsenal v Everton,Everton Win
6-0,300/1,Arsenal v Everton,Everton Win
6-1,300/1,Arsenal v Everton,Everton Win
6-2,300/1,Arsenal v Everton,Everton Win
7-0,300/1,Arsenal v Everton,Everton Win
7-1,300/1,Arsenal v Everton,Everton Win
1-0,18/1,Brentford v Newcastle,Brentford Win
2-0,22/1,Brentford v Newcastle,Brentford Win
2-1,11/1,Brentford v Newcastle,Brentford Win
3-0,40/1,Brentford v Newcastle,Brentford Win
3-1,20/1,Brentford v Newcastle,Brentford Win
3-2,20/1,Brentford v Newcastle,Brentford Win
4-0,80/1,Brentford v Newcastle,Brentford Win
4-1,45/1,Brentford v Newcastle,Brentford Win
4-2,50/1,Brentford v Newcastle,Brentford Win
4-3,70/1,Brentford v Newcastle,Brentford Win
5-0,150/1,Brentford v Newcastle,Brentford Win
5-1,125/1,Brentford v Newcastle,Brentford Win
5-2,125/1,Brentford v Newcastle,Brentford Win
6-0,300/1,Brentford v Newcastle,Brentford Win
6-1,250/1,Brentford v Newcastle,Brentford Win
6-2,250/1,Brentford v Newcastle,Brentford Win
7-0,300/1,Brentford v Newcastle,Brentford Win
7-1,300/1,Brentford v Newcastle,Brentford Win
8-0,400/1,Brentford v Newcastle,Brentford Win
9-0,400/1,Brentford v Newcastle,Brentford Win
10-0,400/1,Brentford v Newcastle,Brentford Win
0-0,28/1,Brentford v Newcastle,Draw
1-1,15/2,Brentford v Newcastle,Draw
2-2,10/1,Brentford v Newcastle,Draw
3-3,28/1,Brentford v Newcastle,Draw
4-4,100/1,Brentford v Newcastle,Draw
1-0,16/1,Brentford v Newcastle,Newcastle Win
2-0,16/1,Brentford v Newcastle,Newcastle Win
2-1,10/1,Brentford v Newcastle,Newcastle Win
3-0,25/1,Brentford v Newcastle,Newcastle Win
3-1,16/1,Brentford v Newcastle,Newcastle Win
3-2,18/1,Brentford v Newcastle,Newcastle Win
4-0,50/1,Brentford v Newcastle,Newcastle Win
4-1,33/1,Brentford v Newcastle,Newcastle Win
4-2,35/1,Brentford v Newcastle,Newcastle Win
4-3,60/1,Brentford v Newcastle,Newcastle Win
5-0,100/1,Brentford v Newcastle,Newcastle Win
5-1,70/1,Brentford v Newcastle,Newcastle Win
5-2,80/1,Brentford v Newcastle,Newcastle Win
6-0,200/1,Brentford v Newcastle,Newcastle Win
6-1,150/1,Brentford v Newcastle,Newcastle Win
6-2,150/1,Brentford v Newcastle,Newcastle Win
7-0,300/1,Brentford v Newcastle,Newcastle Win
7-1,250/1,Brentford v Newcastle,Newcastle Win
8-0,400/1,Brentford v Newcastle,Newcastle Win
9-0,400/1,Brentford v Newcastle,Newcastle Win
10-0,400/1,Brentford v Newcastle,Newcastle Win
1-0,16/1,Brighton v Man Utd,Brighton Win
2-0,16/1,Brighton v Man Utd,Brighton Win
2-1,9/1,Brighton v Man Utd,Brighton Win
3-0,25/1,Brighton v Man Utd,Brighton Win
3-1,14/1,Brighton v Man Utd,Brighton Win
3-2,16/1,Brighton v Man Utd,Brighton Win
4-0,45/1,Brighton v Man Utd,Brighton Win
4-1,28/1,Brighton v Man Utd,Brighton Win
4-2,33/1,Brighton v Man Utd,Brighton Win
4-3,50/1,Brighton v Man Utd,Brighton Win
5-0,100/1,Brighton v Man Utd,Brighton Win
5-1,60/1,Brighton v Man Utd,Brighton Win
5-2,70/1,Brighton v Man Utd,Brighton Win
6-0,200/1,Brighton v Man Utd,Brighton Win
6-1,150/1,Brighton v Man Utd,Brighton Win
6-2,150/1,Brighton v Man Utd,Brighton Win
7-0,300/1,Brighton v Man Utd,Brighton Win
7-1,250/1,Brighton v Man Utd,Brighton Win
8-0,400/1,Brighton v Man Utd,Brighton Win
9-0,400/1,Brighton v Man Utd,Brighton Win
10-0,400/1,Brighton v Man Utd,Brighton Win
0-0,33/1,Brighton v Man Utd,Draw
1-1,17/2,Brighton v Man Utd,Draw
2-2,10/1,Brighton v Man Utd,Draw
3-3,28/1,Brighton v Man Utd,Draw
4-4,100/1,Brighton v Man Utd,Draw
1-0,22/1,Brighton v Man Utd,Man Utd Win
2-0,25/1,Brighton v Man Utd,Man Utd Win
2-1,12/1,Brighton v Man Utd,Man Utd Win
3-0,40/1,Brighton v Man Utd,Man Utd Win
3-1,20/1,Brighton v Man Utd,Man Utd Win
3-2,20/1,Brighton v Man Utd,Man Utd Win
4-0,80/1,Brighton v Man Utd,Man Utd Win
4-1,45/1,Brighton v Man Utd,Man Utd Win
4-2,45/1,Brighton v Man Utd,Man Utd Win
4-3,65/1,Brighton v Man Utd,Man Utd Win
5-0,150/1,Brighton v Man Utd,Man Utd Win
5-1,100/1,Brighton v Man Utd,Man Utd Win
5-2,100/1,Brighton v Man Utd,Man Utd Win
6-0,300/1,Brighton v Man Utd,Man Utd Win
6-1,250/1,Brighton v Man Utd,Man Utd Win
6-2,200/1,Brighton v Man Utd,Man Utd Win
7-0,400/1,Brighton v Man Utd,Man Utd Win
7-1,300/1,Brighton v Man Utd,Man Utd Win
8-0,400/1,Brighton v Man Utd,Man Utd Win
9-0,400/1,Brighton v Man Utd,Man Utd Win
10-0,400/1,Brighton v Man Utd,Man Utd Win
1-0,14/1,Burnley v Nottingham Forest,Burnley Win
2-0,18/1,Burnley v Nottingham Forest,Burnley Win
2-1,10/1,Burnley v Nottingham Forest,Burnley Win
3-0,33/1,Burnley v Nottingham Forest,Burnley Win
3-1,20/1,Burnley v Nottingham Forest,Burnley Win
3-2,22/1,Burnley v Nottingham Forest,Burnley Win
4-0,70/1,Burnley v Nottingham Forest,Burnley Win
4-1,45/1,Burnley v Nottingham Forest,Burnley Win
4-2,50/1,Burnley v Nottingham Forest,Burnley Win
4-3,80/1,Burnley v Nottingham Forest,Burnley Win
5-0,150/1,Burnley v Nottingham Forest,Burnley Win
5-1,100/1,Burnley v Nottingham Forest,Burnley Win
5-2,125/1,Burnley v Nottingham Forest,Burnley Win
6-0,300/1,Burnley v Nottingham Forest,Burnley Win
6-1,250/1,Burnley v Nottingham Forest,Burnley Win
6-2,250/1,Burnley v Nottingham Forest,Burnley Win
7-0,400/1,Burnley v Nottingham Forest,Burnley Win
7-1,300/1,Burnley v Nottingham Forest,Burnley Win
8-0,400/1,Burnley v Nottingham Forest,Burnley Win
9-0,400/1,Burnley v Nottingham Forest,Burnley Win
10-0,400/1,Burnley v Nottingham Forest,Burnley Win
0-0,20/1,Burnley v Nottingham Forest,Draw
1-1,7/1,Burnley v Nottingham Forest,Draw
2-2,10/1,Burnley v Nottingham Forest,Draw
3-3,33/1,Burnley v Nottingham Forest,Draw
4-4,125/1,Burnley v Nottingham Forest,Draw
1-0,14/1,Burnley v Nottingham Forest,Nottingham Forest Win
2-0,16/1,Burnley v Nottingham Forest,Nottingham Forest Win
2-1,9/1,Burnley v Nottingham Forest,Nottingham Forest Win
3-0,28/1,Burnley v Nottingham Forest,Nottingham Forest Win
3-1,16/1,Burnley v Nottingham Forest,Nottingham Forest Win
3-2,20/1,Burnley v Nottingham Forest,Nottingham Forest Win
4-0,60/1,Burnley v Nottingham Forest,Nottingham Forest Win
4-1,40/1,Burnley v Nottingham Forest,Nottingham Forest Win
4-2,45/1,Burnley v Nottingham Forest,Nottingham Forest Win
4-3,80/1,Burnley v Nottingham Forest,Nottingham Forest Win
5-0,125/1,Burnley v Nottingham Forest,Nottingham Forest Win
5-1,100/1,Burnley v Nottingham Forest,Nottingham Forest Win
5-2,100/1,Burnley v Nottingham Forest,Nottingham Forest Win
6-0,250/1,Burnley v Nottingham Forest,Nottingham Forest Win
6-1,200/1,Burnley v Nottingham Forest,Nottingham Forest Win
6-2,250/1,Burnley v Nottingham Forest,Nottingham Forest Win
7-0,400/1,Burnley v Nottingham Forest,Nottingham Forest Win
7-1,300/1,Burnley v Nottingham Forest,Nottingham Forest Win
8-0,400/1,Burnley v Nottingham Forest,Nottingham Forest Win
9-0,400/1,Burnley v Nottingham Forest,Nottingham Forest Win
10-0,400/1,Burnley v Nottingham Forest,Nottingham Forest Win
1-0,18/1,Chelsea v Bournemouth,Chelsea Win
2-0,12/1,Chelsea v Bournemouth,Chelsea Win
2-1,9/1,Chelsea v Bournemouth,Chelsea Win
3-0,14/1,Chelsea v Bournemouth,Chelsea Win
3-1,10/1,Chelsea v Bournemouth,Chelsea Win
3-2,14/1,Chelsea v Bournemouth,Chelsea Win
4-0,20/1,Chelsea v Bournemouth,Chelsea Win
4-1,14/1,Chelsea v Bournemouth,Chelsea Win
4-2,22/1,Chelsea v Bournemouth,Chelsea Win
4-3,45/1,Chelsea v Bournemouth,Chelsea Win
5-0,35/1,Chelsea v Bournemouth,Chelsea Win
5-1,28/1,Chelsea v Bournemouth,Chelsea Win
5-2,40/1,Chelsea v Bournemouth,Chelsea Win
6-0,70/1,Chelsea v Bournemouth,Chelsea Win
6-1,55/1,Chelsea v Bournemouth,Chelsea Win
6-2,70/1,Chelsea v Bournemouth,Chelsea Win
7-0,150/1,Chelsea v Bournemouth,Chelsea Win
7-1,125/1,Chelsea v Bournemouth,Chelsea Win
8-0,250/1,Chelsea v Bournemouth,Chelsea Win
9-0,300/1,Chelsea v Bournemouth,Chelsea Win
10-0,300/1,Chelsea v Bournemouth,Chelsea Win
0-0,45/1,Chelsea v Bournemouth,Draw
1-1,12/1,Chelsea v Bournemouth,Draw
2-2,14/1,Chelsea v Bournemouth,Draw
3-3,33/1,Chelsea v Bournemouth,Draw
