scoreline,scoreline_odds,Outcome
1-0,20/1,West Ham Win
2-0,45/1,West Ham Win
2-1,22/1,West Ham Win
3-0,100/1,West Ham Win
3-1,65/1,West Ham Win
3-2,60/1,West Ham Win
4-0,200/1,West Ham Win
4-1,150/1,West Ham Win
4-2,150/1,West Ham Win
4-3,150/1,West Ham Win
5-0,250/1,West Ham Win
5-1,250/1,West Ham Win
5-2,200/1,West Ham Win
6-0,250/1,West Ham Win
6-1,250/1,West Ham Win
6-2,250/1,West Ham Win
7-0,250/1,West Ham Win
7-1,250/1,West Ham Win
8-0,250/1,West Ham Win
0-0,14/1,Draw
1-1,15/2,Draw
2-2,18/1,Draw
3-3,70/1,Draw
4-4,200/1,Draw
1-0,7/1,Arsenal Win
2-0,13/2,Arsenal Win
2-1,15/2,Arsenal Win
3-0,10/1,Arsenal Win
3-1,11/1,Arsenal Win
3-2,25/1,Arsenal Win
4-0,18/1,Arsenal Win
4-1,20/1,Arsenal Win
4-2,45/1,Arsenal Win
4-3,100/1,Arsenal Win
5-0,40/1,Arsenal Win
5-1,45/1,Arsenal Win
5-2,80/1,Arsenal Win
6-0,90/1,Arsenal Win
6-1,100/1,Arsenal Win
6-2,150/1,Arsenal Win
7-0,150/1,Arsenal Win
7-1,150/1,Arsenal Win
8-0,200/1,Arsenal Win
9-0,250/1,Arsenal Win
10-0,250/1,Arsenal Win
1-0,20/1,Aston Villa Win
2-0,45/1,Aston Villa Win
2-1,22/1,Aston Villa Win
3-0,100/1,Aston Villa Win
3-1,65/1,Aston Villa Win
3-2,60/1,Aston Villa Win
4-0,200/1,Aston Villa Win
4-1,150/1,Aston Villa Win
4-2,150/1,Aston Villa Win
4-3,150/1,Aston Villa Win
5-0,250/1,Aston Villa Win
5-1,250/1,Aston Villa Win
5-2,200/1,Aston Villa Win
6-0,250/1,Aston Villa Win
6-1,250/1,Aston Villa Win
6-2,250/1,Aston Villa Win
7-0,250/1,Aston Villa Win
7-1,250/1,Aston Villa Win
8-0,250/1,Aston Villa Win
0-0,14/1,Draw
1-1,15/2,Draw
2-2,18/1,Draw
3-3,70/1,Draw
4-4,200/1,Draw
1-0,7/1,Man Utd Win
2-0,13/2,Man Utd Win
2-1,15/2,Man Utd Win
3-0,10/1,Man Utd Win
3-1,11/1,Man Utd Win
3-2,25/1,Man Utd Win
4-0,18/1,Man Utd Win
4-1,20/1,Man Utd Win
4-2,45/1,Man Utd Win
4-3,100/1,Man Utd Win
5-0,40/1,Man Utd Win
5-1,45/1,Man Utd Win
5-2,80/1,Man Utd Win
6-0,90/1,Man Utd Win
6-1,100/1,Man Utd Win
6-2,150/1,Man Utd Win
7-0,150/1,Man Utd Win
7-1,150/1,Man Utd Win
8-0,200/1,Man Utd Win
9-0,250/1,Man Utd Win
10-0,250/1,Man Utd Win
1-0,20/1,Crystal Palace Win
2-0,45/1,Crystal Palace Win
2-1,22/1,Crystal Palace Win
3-0,100/1,Crystal Palace Win
3-1,65/1,Crystal Palace Win
3-2,60/1,Crystal Palace Win
4-0,200/1,Crystal Palace Win
4-1,150/1,Crystal Palace Win
4-2,150/1,Crystal Palace Win
4-3,150/1,Crystal Palace Win
5-0,250/1,Crystal Palace Win
5-1,250/1,Crystal Palace Win
5-2,200/1,Crystal Palace Win
6-0,250/1,Crystal Palace Win
6-1,250/1,Crystal Palace Win
6-2,250/1,Crystal Palace Win
7-0,250/1,Crystal Palace Win
7-1,250/1,Crystal Palace Win
8-0,250/1,Crystal Palace Win
0-0,14/1,Draw
1-1,15/2,Draw
2-2,18/1,Draw
3-3,70/1,Draw
4-4,200/1,Draw
1-0,7/1,Chelsea Win
2-0,13/2,Chelsea Win
2-1,15/2,Chelsea Win
3-0,10/1,Chelsea Win
3-1,11/1,Chelsea Win
3-2,25/1,Chelsea Win
4-0,18/1,Chelsea Win
4-1,20/1,Chelsea Win
4-2,45/1,Chelsea Win
4-3,100/1,Chelsea Win
5-0,40/1,Chelsea Win
5-1,45/1,Chelsea Win
5-2,80/1,Chelsea Win
6-0,90/1,Chelsea Win
6-1,100/1,Chelsea Win
6-2,150/1,Chelsea Win
7-0,150/1,Chelsea Win
7-1,150/1,Chelsea Win
8-0,200/1,Chelsea Win
9-0,250/1,Chelsea Win
10-0,250/1,Chelsea Win
