scoreline,scoreline_odds,contest,Outcome
1-0,18/1,Newcastle v Tottenham,Newcastle Win
2-0,20/1,Newcastle v Tottenham,Newcastle Win
2-1,11/1,Newcastle v Tottenham,Newcastle Win
3-0,33/1,Newcastle v Tottenham,Newcastle Win
3-1,18/1,Newcastle v Tottenham,Newcastle Win
3-2,20/1,Newcastle v Tottenham,Newcastle Win
4-0,65/1,Newcastle v Tottenham,Newcastle Win
4-1,40/1,Newcastle v Tottenham,Newcastle Win
4-2,40/1,Newcastle v Tottenham,Newcastle Win
4-3,60/1,Newcastle v Tottenham,Newcastle Win
5-0,125/1,Newcastle v Tottenham,Newcastle Win
5-1,80/1,Newcastle v Tottenham,Newcastle Win
5-2,90/1,Newcastle v Tottenham,Newcastle Win
6-0,200/1,Newcastle v Tottenham,Newcastle Win
6-1,150/1,Newcastle v Tottenham,Newcastle Win
6-2,150/1,Newcastle v Tottenham,Newcastle Win
7-0,200/1,Newcastle v Tottenham,Newcastle Win
7-1,200/1,Newcastle v Tottenham,Newcastle Win
8-0,200/1,Newcastle v Tottenham,Newcastle Win
9-0,200/1,Newcastle v Tottenham,Newcastle Win
10-0,200/1,Newcastle v Tottenham,Newcastle Win
0-0,28/1,Newcastle v Tottenham,Draw
1-1,8/1,Newcastle v Tottenham,Draw
2-2,10/1,Newcastle v Tottenham,Draw
3-3,28/1,Newcastle v Tottenham,Draw
4-4,90/1,Newcastle v Tottenham,Draw
1-0,16/1,Newcastle v Tottenham,Tottenham Win
2-0,16/1,Newcastle v Tottenham,Tottenham Win
2-1,9/1,Newcastle v Tottenham,Tottenham Win
3-0,25/1,Newcastle v Tottenham,Tottenham Win
3-1,16/1,Newcastle v Tottenham,Tottenham Win
3-2,18/1,Newcastle v Tottenham,Tottenham Win
4-0,50/1,Newcastle v Tottenham,Tottenham Win
4-1,33/1,Newcastle v Tottenham,Tottenham Win
4-2,35/1,Newcastle v Tottenham,Tottenham Win
4-3,55/1,Newcastle v Tottenham,Tottenham Win
5-0,100/1,Newcastle v Tottenham,Tottenham Win
5-1,66/1,Newcastle v Tottenham,Tottenham Win
5-2,70/1,Newcastle v Tottenham,Tottenham Win
6-0,150/1,Newcastle v Tottenham,Tottenham Win
6-1,125/1,Newcastle v Tottenham,Tottenham Win
6-2,150/1,Newcastle v Tottenham,Tottenham Win
7-0,200/1,Newcastle v Tottenham,Tottenham Win
7-1,200/1,Newcastle v Tottenham,Tottenham Win
8-0,200/1,Newcastle v Tottenham,Tottenham Win
9-0,250/1,Newcastle v Tottenham,Tottenham Win
10-0,250/1,Newcastle v Tottenham,Tottenham Win
1-0,17/2,Brentford v Sheffield Utd,Brentford Win
2-0,7/1,Brentford v Sheffield Utd,Brentford Win
2-1,8/1,Brentford v Sheffield Utd,Brentford Win
3-0,10/1,Brentford v Sheffield Utd,Brentford Win
3-1,10/1,Brentford v Sheffield Utd,Brentford Win
3-2,22/1,Brentford v Sheffield Utd,Brentford Win
4-0,16/1,Brentford v Sheffield Utd,Brentford Win
4-1,18/1,Brentford v Sheffield Utd,Brentford Win
4-2,35/1,Brentford v Sheffield Utd,Brentford Win
4-3,90/1,Brentford v Sheffield Utd,Brentford Win
5-0,35/1,Brentford v Sheffield Utd,Brentford Win
5-1,35/1,Brentford v Sheffield Utd,Brentford Win
5-2,70/1,Brentford v Sheffield Utd,Brentford Win
6-0,70/1,Brentford v Sheffield Utd,Brentford Win
6-1,80/1,Brentford v Sheffield Utd,Brentford Win
6-2,125/1,Brentford v Sheffield Utd,Brentford Win
7-0,150/1,Brentford v Sheffield Utd,Brentford Win
7-1,150/1,Brentford v Sheffield Utd,Brentford Win
8-0,200/1,Brentford v Sheffield Utd,Brentford Win
9-0,250/1,Brentford v Sheffield Utd,Brentford Win
10-0,250/1,Brentford v Sheffield Utd,Brentford Win
0-0,20/1,Brentford v Sheffield Utd,Draw
1-1,17/2,Brentford v Sheffield Utd,Draw
2-2,16/1,Brentford v Sheffield Utd,Draw
3-3,55/1,Brentford v Sheffield Utd,Draw
4-4,150/1,Brentford v Sheffield Utd,Draw
1-0,22/1,Brentford v Sheffield Utd,Sheffield Utd Win
2-0,45/1,Brentford v Sheffield Utd,Sheffield Utd Win
2-1,20/1,Brentford v Sheffield Utd,Sheffield Utd Win
3-0,100/1,Brentford v Sheffield Utd,Sheffield Utd Win
3-1,60/1,Brentford v Sheffield Utd,Sheffield Utd Win
3-2,50/1,Brentford v Sheffield Utd,Sheffield Utd Win
4-0,200/1,Brentford v Sheffield Utd,Sheffield Utd Win
4-1,150/1,Brentford v Sheffield Utd,Sheffield Utd Win
4-2,125/1,Brentford v Sheffield Utd,Sheffield Utd Win
4-3,150/1,Brentford v Sheffield Utd,Sheffield Utd Win
5-0,250/1,Brentford v Sheffield Utd,Sheffield Utd Win
5-1,250/1,Brentford v Sheffield Utd,Sheffield Utd Win
5-2,250/1,Brentford v Sheffield Utd,Sheffield Utd Win
6-0,250/1,Brentford v Sheffield Utd,Sheffield Utd Win
6-1,250/1,Brentford v Sheffield Utd,Sheffield Utd Win
6-2,250/1,Brentford v Sheffield Utd,Sheffield Utd Win
7-0,250/1,Brentford v Sheffield Utd,Sheffield Utd Win
7-1,250/1,Brentford v Sheffield Utd,Sheffield Utd Win
8-0,250/1,Brentford v Sheffield Utd,Sheffield Utd Win
1-0,14/1,Burnley v Brighton,Burnley Win
2-0,22/1,Burnley v Brighton,Burnley Win
2-1,12/1,Burnley v Brighton,Burnley Win
3-0,45/1,Burnley v Brighton,Burnley Win
3-1,28/1,Burnley v Brighton,Burnley Win
3-2,33/1,Burnley v Brighton,Burnley Win
4-0,100/1,Burnley v Brighton,Burnley Win
4-1,70/1,Burnley v Brighton,Burnley Win
4-2,80/1,Burnley v Brighton,Burnley Win
4-3,100/1,Burnley v Brighton,Burnley Win
5-0,200/1,Burnley v Brighton,Burnley Win
5-1,150/1,Burnley v Brighton,Burnley Win
5-2,150/1,Burnley v Brighton,Burnley Win
6-0,250/1,Burnley v Brighton,Burnley Win
6-1,250/1,Burnley v Brighton,Burnley Win
6-2,250/1,Burnley v Brighton,Burnley Win
7-0,250/1,Burnley v Brighton,Burnley Win
7-1,250/1,Burnley v Brighton,Burnley Win
8-0,250/1,Burnley v Brighton,Burnley Win
9-0,250/1,Burnley v Brighton,Burnley Win
10-0,250/1,Burnley v Brighton,Burnley Win
0-0,16/1,Burnley v Brighton,Draw
1-1,13/2,Burnley v Brighton,Draw
2-2,12/1,Burnley v Brighton,Draw
3-3,45/1,Burnley v Brighton,Draw
4-4,150/1,Burnley v Brighton,Draw
1-0,9/1,Burnley v Brighton,Brighton Win
2-0,10/1,Burnley v Brighton,Brighton Win
2-1,8/1,Burnley v Brighton,Brighton Win
3-0,18/1,Burnley v Brighton,Brighton Win
3-1,14/1,Burnley v Brighton,Brighton Win
3-2,20/1,Burnley v Brighton,Brighton Win
4-0,35/1,Burnley v Brighton,Brighton Win
4-1,28/1,Burnley v Brighton,Brighton Win
4-2,45/1,Burnley v Brighton,Brighton Win
4-3,90/1,Burnley v Brighton,Brighton Win
5-0,80/1,Burnley v Brighton,Brighton Win
5-1,70/1,Burnley v Brighton,Brighton Win
5-2,100/1,Burnley v Brighton,Brighton Win
6-0,150/1,Burnley v Brighton,Brighton Win
6-1,150/1,Burnley v Brighton,Brighton Win
6-2,200/1,Burnley v Brighton,Brighton Win
7-0,250/1,Burnley v Brighton,Brighton Win
7-1,250/1,Burnley v Brighton,Brighton Win
8-0,250/1,Burnley v Brighton,Brighton Win
9-0,250/1,Burnley v Brighton,Brighton Win
