scoreline,scoreline_odds,contest,Outcome
1-0,14/1,Luton v Brentford,Luton Win
2-0,20/1,Luton v Brentford,Luton Win
2-1,11/1,Luton v Brentford,Luton Win
3-0,40/1,Luton v Brentford,Luton Win
3-1,25/1,Luton v Brentford,Luton Win
3-2,25/1,Luton v Brentford,Luton Win
4-0,90/1,Luton v Brentford,Luton Win
4-1,60/1,Luton v Brentford,Luton Win
4-2,65/1,Luton v Brentford,Luton Win
4-3,90/1,Luton v Brentford,Luton Win
5-0,150/1,Luton v Brentford,Luton Win
5-1,125/1,Luton v Brentford,Luton Win
5-2,150/1,Luton v Brentford,Luton Win
6-0,250/1,Luton v Brentford,Luton Win
6-1,250/1,Luton v Brentford,Luton Win
6-2,250/1,Luton v Brentford,Luton Win
7-0,250/1,Luton v Brentford,Luton Win
7-1,250/1,Luton v Brentford,Luton Win
8-0,250/1,Luton v Brentford,Luton Win
9-0,250/1,Luton v Brentford,Luton Win
10-0,250/1,Luton v Brentford,Luton Win
0-0,18/1,Luton v Brentford,Draw
1-1,13/2,Luton v Brentford,Draw
2-2,11/1,Luton v Brentford,Draw
3-3,35/1,Luton v Brentford,Draw
4-4,125/1,Luton v Brentford,Draw
1-0,11/1,Luton v Brentford,Brentford Win
2-0,12/1,Luton v Brentford,Brentford Win
2-1,17/2,Luton v Brentford,Brentford Win
3-0,20/1,Luton v Brentford,Brentford Win
3-1,14/1,Luton v Brentford,Brentford Win
3-2,20/1,Luton v Brentford,Brentford Win
4-0,40/1,Luton v Brentford,Brentford Win
4-1,33/1,Luton v Brentford,Brentford Win
4-2,40/1,Luton v Brentford,Brentford Win
4-3,80/1,Luton v Brentford,Brentford Win
5-0,90/1,Luton v Brentford,Brentford Win
5-1,70/1,Luton v Brentford,Brentford Win
5-2,90/1,Luton v Brentford,Brentford Win
6-0,150/1,Luton v Brentford,Brentford Win
6-1,150/1,Luton v Brentford,Brentford Win
6-2,150/1,Luton v Brentford,Brentford Win
7-0,250/1,Luton v Brentford,Brentford Win
7-1,250/1,Luton v Brentford,Brentford Win
8-0,250/1,Luton v Brentford,Brentford Win
9-0,250/1,Luton v Brentford,Brentford Win
10-0,250/1,Luton v Brentford,Brentford Win
1-0,10/1,Sheffield Utd v Burnley,Sheffield Utd Win
2-0,14/1,Sheffield Utd v Burnley,Sheffield Utd Win
2-1,10/1,Sheffield Utd v Burnley,Sheffield Utd Win
3-0,33/1,Sheffield Utd v Burnley,Sheffield Utd Win
3-1,22/1,Sheffield Utd v Burnley,Sheffield Utd Win
3-2,28/1,Sheffield Utd v Burnley,Sheffield Utd Win
4-0,80/1,Sheffield Utd v Burnley,Sheffield Utd Win
4-1,55/1,Sheffield Utd v Burnley,Sheffield Utd Win
4-2,70/1,Sheffield Utd v Burnley,Sheffield Utd Win
4-3,125/1,Sheffield Utd v Burnley,Sheffield Utd Win
5-0,200/1,Sheffield Utd v Burnley,Sheffield Utd Win
5-1,150/1,Sheffield Utd v Burnley,Sheffield Utd Win
5-2,150/1,Sheffield Utd v Burnley,Sheffield Utd Win
6-0,250/1,Sheffield Utd v Burnley,Sheffield Utd Win
6-1,250/1,Sheffield Utd v Burnley,Sheffield Utd Win
6-2,250/1,Sheffield Utd v Burnley,Sheffield Utd Win
7-0,250/1,Sheffield Utd v Burnley,Sheffield Utd Win
7-1,250/1,Sheffield Utd v Burnley,Sheffield Utd Win
8-0,250/1,Sheffield Utd v Burnley,Sheffield Utd Win
9-0,250/1,Sheffield Utd v Burnley,Sheffield Utd Win
10-0,250/1,Sheffield Utd v Burnley,Sheffield Utd Win
0-0,12/1,Sheffield Utd v Burnley,Draw
1-1,11/2,Sheffield Utd v Burnley,Draw
2-2,12/1,Sheffield Utd v Burnley,Draw
3-3,50/1,Sheffield Utd v Burnley,Draw
4-4,200/1,Sheffield Utd v Burnley,Draw
1-0,9/1,Sheffield Utd v Burnley,Burnley Win
2-0,12/1,Sheffield Utd v Burnley,Burnley Win
2-1,9/1,Sheffield Utd v Burnley,Burnley Win
3-0,25/1,Sheffield Utd v Burnley,Burnley Win
3-1,18/1,Sheffield Utd v Burnley,Burnley Win
3-2,28/1,Sheffield Utd v Burnley,Burnley Win
4-0,65/1,Sheffield Utd v Burnley,Burnley Win
