scoreline,scoreline_odds,contest,Outcome
1-0,14/1,Brentford v Chelsea,Brentford Win
2-0,20/1,Brentford v Chelsea,Brentford Win
2-1,11/1,Brentford v Chelsea,Brentford Win
3-0,40/1,Brentford v Chelsea,Brentford Win
3-1,22/1,Brentford v Chelsea,Brentford Win
3-2,25/1,Brentford v Chelsea,Brentford Win
4-0,80/1,Brentford v Chelsea,Brentford Win
4-1,55/1,Brentford v Chelsea,Brentford Win
4-2,60/1,Brentford v Chelsea,Brentford Win
4-3,80/1,Brentford v Chelsea,Brentford Win
5-0,150/1,Brentford v Chelsea,Brentford Win
5-1,125/1,Brentford v Chelsea,Brentford Win
5-2,125/1,Brentford v Chelsea,Brentford Win
6-0,200/1,Brentford v Chelsea,Brentford Win
6-1,200/1,Brentford v Chelsea,Brentford Win
6-2,200/1,Brentford v Chelsea,Brentford Win
7-0,200/1,Brentford v Chelsea,Brentford Win
7-1,200/1,Brentford v Chelsea,Brentford Win
8-0,200/1,Brentford v Chelsea,Brentford Win
9-0,250/1,Brentford v Chelsea,Brentford Win
10-0,250/1,Brentford v Chelsea,Brentford Win
0-0,18/1,Brentford v Chelsea,Draw
1-1,13/2,Brentford v Chelsea,Draw
2-2,11/1,Brentford v Chelsea,Draw
3-3,35/1,Brentford v Chelsea,Draw
4-4,125/1,Brentford v Chelsea,Draw
1-0,12/1,Brentford v Chelsea,Chelsea Win
2-0,12/1,Brentford v Chelsea,Chelsea Win
2-1,9/1,Brentford v Chelsea,Chelsea Win
3-0,22/1,Brentford v Chelsea,Chelsea Win
3-1,16/1,Brentford v Chelsea,Chelsea Win
3-2,20/1,Brentford v Chelsea,Chelsea Win
4-0,45/1,Brentford v Chelsea,Chelsea Win
4-1,33/1,Brentford v Chelsea,Chelsea Win
4-2,45/1,Brentford v Chelsea,Chelsea Win
4-3,80/1,Brentford v Chelsea,Chelsea Win
5-0,90/1,Brentford v Chelsea,Chelsea Win
5-1,70/1,Brentford v Chelsea,Chelsea Win
5-2,90/1,Brentford v Chelsea,Chelsea Win
6-0,150/1,Brentford v Chelsea,Chelsea Win
6-1,150/1,Brentford v Chelsea,Chelsea Win
6-2,150/1,Brentford v Chelsea,Chelsea Win
7-0,200/1,Brentford v Chelsea,Chelsea Win
7-1,200/1,Brentford v Chelsea,Chelsea Win
8-0,250/1,Brentford v Chelsea,Chelsea Win
9-0,250/1,Brentford v Chelsea,Chelsea Win
10-0,250/1,Brentford v Chelsea,Chelsea Win
1-0,7/1,Everton v West Ham,Everton Win
2-0,9/1,Everton v West Ham,Everton Win
2-1,17/2,Everton v West Ham,Everton Win
3-0,18/1,Everton v West Ham,Everton Win
3-1,16/1,Everton v West Ham,Everton Win
3-2,28/1,Everton v West Ham,Everton Win
4-0,45/1,Everton v West Ham,Everton Win
4-1,40/1,Everton v West Ham,Everton Win
4-2,66/1,Everton v West Ham,Everton Win
4-3,125/1,Everton v West Ham,Everton Win
5-0,100/1,Everton v West Ham,Everton Win
5-1,100/1,Everton v West Ham,Everton Win
5-2,150/1,Everton v West Ham,Everton Win
6-0,200/1,Everton v West Ham,Everton Win
6-1,200/1,Everton v West Ham,Everton Win
6-2,200/1,Everton v West Ham,Everton Win
7-0,250/1,Everton v West Ham,Everton Win
7-1,250/1,Everton v West Ham,Everton Win
8-0,250/1,Everton v West Ham,Everton Win
9-0,250/1,Everton v West Ham,Everton Win
10-0,250/1,Everton v West Ham,Everton Win
0-0,11/1,Everton v West Ham,Draw
1-1,6/1,Everton v West Ham,Draw
2-2,16/1,Everton v West Ham,Draw
3-3,66/1,Everton v West Ham,Draw
