scoreline,scoreline_odds,contest,Outcome
1-0,17/2,Man Utd v Everton,Man Utd Win
2-0,10/1,Man Utd v Everton,Man Utd Win
2-1,8/1,Man Utd v Everton,Man Utd Win
3-0,16/1,Man Utd v Everton,Man Utd Win
3-1,14/1,Man Utd v Everton,Man Utd Win
3-2,22/1,Man Utd v Everton,Man Utd Win
4-0,33/1,Man Utd v Everton,Man Utd Win
4-1,28/1,Man Utd v Everton,Man Utd Win
4-2,45/1,Man Utd v Everton,Man Utd Win
4-3,90/1,Man Utd v Everton,Man Utd Win
5-0,80/1,Man Utd v Everton,Man Utd Win
5-1,66/1,Man Utd v Everton,Man Utd Win
5-2,100/1,Man Utd v Everton,Man Utd Win
6-0,150/1,Man Utd v Everton,Man Utd Win
6-1,150/1,Man Utd v Everton,Man Utd Win
6-2,150/1,Man Utd v Everton,Man Utd Win
7-0,200/1,Man Utd v Everton,Man Utd Win
7-1,200/1,Man Utd v Everton,Man Utd Win
8-0,250/1,Man Utd v Everton,Man Utd Win
9-0,250/1,Man Utd v Everton,Man Utd Win
10-0,250/1,Man Utd v Everton,Man Utd Win
0-0,14/1,Man Utd v Everton,Draw
1-1,13/2,Man Utd v Everton,Draw
2-2,12/1,Man Utd v Everton,Draw
3-3,50/1,Man Utd v Everton,Draw
4-4,150/1,Man Utd v Everton,Draw
1-0,14/1,Man Utd v Everton,Everton Win
2-0,22/1,Man Utd v Everton,Everton Win
2-1,12/1,Man Utd v Everton,Everton Win
3-0,50/1,Man Utd v Everton,Everton Win
3-1,33/1,Man Utd v Everton,Everton Win
3-2,33/1,Man Utd v Everton,Everton Win
4-0,125/1,Man Utd v Everton,Everton Win
4-1,80/1,Man Utd v Everton,Everton Win
4-2,90/1,Man Utd v Everton,Everton Win
4-3,125/1,Man Utd v Everton,Everton Win
5-0,200/1,Man Utd v Everton,Everton Win
5-1,150/1,Man Utd v Everton,Everton Win
5-2,200/1,Man Utd v Everton,Everton Win
6-0,250/1,Man Utd v Everton,Everton Win
6-1,250/1,Man Utd v Everton,Everton Win
6-2,250/1,Man Utd v Everton,Everton Win
7-0,250/1,Man Utd v Everton,Everton Win
7-1,250/1,Man Utd v Everton,Everton Win
8-0,250/1,Man Utd v Everton,Everton Win
9-0,250/1,Man Utd v Everton,Everton Win
1-0,15/2,Crystal Palace v Luton,Crystal Palace Win
2-0,8/1,Crystal Palace v Luton,Crystal Palace Win
2-1,8/1,Crystal Palace v Luton,Crystal Palace Win
3-0,14/1,Crystal Palace v Luton,Crystal Palace Win
3-1,14/1,Crystal Palace v Luton,Crystal Palace Win
3-2,25/1,Crystal Palace v Luton,Crystal Palace Win
4-0,28/1,Crystal Palace v Luton,Crystal Palace Win
4-1,28/1,Crystal Palace v Luton,Crystal Palace Win
4-2,50/1,Crystal Palace v Luton,Crystal Palace Win
4-3,100/1,Crystal Palace v Luton,Crystal Palace Win
5-0,70/1,Crystal Palace v Luton,Crystal Palace Win
5-1,66/1,Crystal Palace v Luton,Crystal Palace Win
5-2,100/1,Crystal Palace v Luton,Crystal Palace Win
6-0,150/1,Crystal Palace v Luton,Crystal Palace Win
6-1,150/1,Crystal Palace v Luton,Crystal Palace Win
6-2,200/1,Crystal Palace v Luton,Crystal Palace Win
7-0,200/1,Crystal Palace v Luton,Crystal Palace Win
7-1,200/1,Crystal Palace v Luton,Crystal Palace Win
8-0,250/1,Crystal Palace v Luton,Crystal Palace Win
9-0,250/1,Crystal Palace v Luton,Crystal Palace Win
10-0,250/1,Crystal Palace v Luton,Crystal Palace Win
0-0,12/1,Crystal Palace v Luton,Draw
1-1,6/1,Crystal Palace v Luton,Draw
2-2,14/1,Crystal Palace v Luton,Draw
3-3,60/1,Crystal Palace v Luton,Draw
4-4,200/1,Crystal Palace v Luton,Draw
1-0,14/1,Crystal Palace v Luton,Luton Win
2-0,25/1,Crystal Palace v Luton,Luton Win
2-1,14/1,Crystal Palace v Luton,Luton Win
3-0,65/1,Crystal Palace v Luton,Luton Win
3-1,40/1,Crystal Palace v Luton,Luton Win
3-2,45/1,Crystal Palace v Luton,Luton Win
4-0,150/1,Crystal Palace v Luton,Luton Win
4-1,100/1,Crystal Palace v Luton,Luton Win
4-2,125/1,Crystal Palace v Luton,Luton Win
4-3,150/1,Crystal Palace v Luton,Luton Win
5-0,200/1,Crystal Palace v Luton,Luton Win
5-1,200/1,Crystal Palace v Luton,Luton Win
5-2,200/1,Crystal Palace v Luton,Luton Win
6-0,250/1,Crystal Palace v Luton,Luton Win
6-1,250/1,Crystal Palace v Luton,Luton Win
6-2,250/1,Crystal Palace v Luton,Luton Win
7-0,250/1,Crystal Palace v Luton,Luton Win
7-1,250/1,Crystal Palace v Luton,Luton Win
8-0,250/1,Crystal Palace v Luton,Luton Win
9-0,250/1,Crystal Palace v Luton,Luton Win
1-0,8/1,Wolves v Fulham,Wolves Win
2-0,12/1,Wolves v Fulham,Wolves Win
2-1,17/2,Wolves v Fulham,Wolves Win
3-0,25/1,Wolves v Fulham,Wolves Win
3-1,18/1,Wolves v Fulham,Wolves Win
3-2,28/1,Wolves v Fulham,Wolves Win
4-0,60/1,Wolves v Fulham,Wolves Win
4-1,50/1,Wolves v Fulham,Wolves Win
4-2,66/1,Wolves v Fulham,Wolves Win
4-3,125/1,Wolves v Fulham,Wolves Win
5-0,150/1,Wolves v Fulham,Wolves Win
5-1,125/1,Wolves v Fulham,Wolves Win
5-2,150/1,Wolves v Fulham,Wolves Win
6-0,200/1,Wolves v Fulham,Wolves Win
6-1,200/1,Wolves v Fulham,Wolves Win
6-2,200/1,Wolves v Fulham,Wolves Win
7-0,250/1,Wolves v Fulham,Wolves Win
7-1,250/1,Wolves v Fulham,Wolves Win
8-0,250/1,Wolves v Fulham,Wolves Win
9-0,250/1,Wolves v Fulham,Wolves Win
10-0,250/1,Wolves v Fulham,Wolves Win
0-0,12/1,Wolves v Fulham,Draw
1-1,11/2,Wolves v Fulham,Draw
2-2,14/1,Wolves v Fulham,Draw
3-3,55/1,Wolves v Fulham,Draw
4-4,200/1,Wolves v Fulham,Draw
1-0,10/1,Wolves v Fulham,Fulham Win
2-0,14/1,Wolves v Fulham,Fulham Win
2-1,11/1,Wolves v Fulham,Fulham Win
3-0,33/1,Wolves v Fulham,Fulham Win
3-1,22/1,Wolves v Fulham,Fulham Win
3-2,33/1,Wolves v Fulham,Fulham Win
4-0,80/1,Wolves v Fulham,Fulham Win
4-1,60/1,Wolves v Fulham,Fulham Win
4-2,80/1,Wolves v Fulham,Fulham Win
4-3,125/1,Wolves v Fulham,Fulham Win
5-0,150/1,Wolves v Fulham,Fulham Win
5-1,150/1,Wolves v Fulham,Fulham Win
5-2,150/1,Wolves v Fulham,Fulham Win
6-0,250/1,Wolves v Fulham,Fulham Win
6-1,200/1,Wolves v Fulham,Fulham Win
6-2,250/1,Wolves v Fulham,Fulham Win
7-0,250/1,Wolves v Fulham,Fulham Win
7-1,250/1,Wolves v Fulham,Fulham Win
8-0,250/1,Wolves v Fulham,Fulham Win
9-0,250/1,Wolves v Fulham,Fulham Win
10-0,250/1,Wolves v Fulham,Fulham Win
1-0,9/1,Arsenal v Brentford,Arsenal Win
2-0,6/1,Arsenal v Brentford,Arsenal Win
2-1,9/1,Arsenal v Brentford,Arsenal Win
3-0,7/1,Arsenal v Brentford,Arsenal Win
3-1,10/1,Arsenal v Brentford,Arsenal Win
3-2,28/1,Arsenal v Brentford,Arsenal Win
4-0,11/1,Arsenal v Brentford,Arsenal Win
4-1,14/1,Arsenal v Brentford,Arsenal Win
4-2,40/1,Arsenal v Brentford,Arsenal Win
4-3,100/1,Arsenal v Brentford,Arsenal Win
5-0,20/1,Arsenal v Brentford,Arsenal Win
5-1,28/1,Arsenal v Brentford,Arsenal Win
5-2,60/1,Arsenal v Brentford,Arsenal Win
6-0,40/1,Arsenal v Brentford,Arsenal Win
6-1,50/1,Arsenal v Brentford,Arsenal Win
6-2,100/1,Arsenal v Brentford,Arsenal Win
7-0,80/1,Arsenal v Brentford,Arsenal Win
7-1,100/1,Arsenal v Brentford,Arsenal Win
8-0,150/1,Arsenal v Brentford,Arsenal Win
9-0,200/1,Arsenal v Brentford,Arsenal Win
10-0,200/1,Arsenal v Brentford,Arsenal Win
0-0,22/1,Arsenal v Brentford,Draw
1-1,12/1,Arsenal v Brentford,Draw
2-2,25/1,Arsenal v Brentford,Draw
3-3,80/1,Arsenal v Brentford,Draw
4-4,200/1,Arsenal v Brentford,Draw
1-0,35/1,Arsenal v Brentford,Brentford Win
2-0,80/1,Arsenal v Brentford,Brentford Win
2-1,35/1,Arsenal v Brentford,Brentford Win
3-0,150/1,Arsenal v Brentford,Brentford Win
3-1,100/1,Arsenal v Brentford,Brentford Win
3-2,80/1,Arsenal v Brentford,Brentford Win
4-0,200/1,Arsenal v Brentford,Brentford Win
4-1,200/1,Arsenal v Brentford,Brentford Win
4-2,200/1,Arsenal v Brentford,Brentford Win
4-3,200/1,Arsenal v Brentford,Brentford Win
5-0,250/1,Arsenal v Brentford,Brentford Win
5-1,200/1,Arsenal v Brentford,Brentford Win
5-2,200/1,Arsenal v Brentford,Brentford Win
6-0,250/1,Arsenal v Brentford,Brentford Win
6-1,250/1,Arsenal v Brentford,Brentford Win
6-2,250/1,Arsenal v Brentford,Brentford Win
7-0,250/1,Arsenal v Brentford,Brentford Win
7-1,250/1,Arsenal v Brentford,Brentford Win
1-0,16/1,Aston Villa v Tottenham,Aston Villa Win
2-0,18/1,Aston Villa v Tottenham,Aston Villa Win
2-1,10/1,Aston Villa v Tottenham,Aston Villa Win
3-0,28/1,Aston Villa v Tottenham,Aston Villa Win
3-1,16/1,Aston Villa v Tottenham,Aston Villa Win
3-2,18/1,Aston Villa v Tottenham,Aston Villa Win
4-0,50/1,Aston Villa v Tottenham,Aston Villa Win
4-1,33/1,Aston Villa v Tottenham,Aston Villa Win
4-2,35/1,Aston Villa v Tottenham,Aston Villa Win
4-3,55/1,Aston Villa v Tottenham,Aston Villa Win
5-0,100/1,Aston Villa v Tottenham,Aston Villa Win
5-1,66/1,Aston Villa v Tottenham,Aston Villa Win
5-2,80/1,Aston Villa v Tottenham,Aston Villa Win
6-0,150/1,Aston Villa v Tottenham,Aston Villa Win
6-1,125/1,Aston Villa v Tottenham,Aston Villa Win
6-2,150/1,Aston Villa v Tottenham,Aston Villa Win
7-0,200/1,Aston Villa v Tottenham,Aston Villa Win
7-1,200/1,Aston Villa v Tottenham,Aston Villa Win
8-0,200/1,Aston Villa v Tottenham,Aston Villa Win
9-0,250/1,Aston Villa v Tottenham,Aston Villa Win
10-0,250/1,Aston Villa v Tottenham,Aston Villa Win
0-0,28/1,Aston Villa v Tottenham,Draw
1-1,8/1,Aston Villa v Tottenham,Draw
2-2,10/1,Aston Villa v Tottenham,Draw
3-3,25/1,Aston Villa v Tottenham,Draw
4-4,90/1,Aston Villa v Tottenham,Draw
1-0,18/1,Aston Villa v Tottenham,Tottenham Win
2-0,20/1,Aston Villa v Tottenham,Tottenham Win
2-1,10/1,Aston Villa v Tottenham,Tottenham Win
3-0,33/1,Aston Villa v Tottenham,Tottenham Win
3-1,18/1,Aston Villa v Tottenham,Tottenham Win
3-2,18/1,Aston Villa v Tottenham,Tottenham Win
4-0,60/1,Aston Villa v Tottenham,Tottenham Win
4-1,35/1,Aston Villa v Tottenham,Tottenham Win
4-2,40/1,Aston Villa v Tottenham,Tottenham Win
4-3,55/1,Aston Villa v Tottenham,Tottenham Win
5-0,125/1,Aston Villa v Tottenham,Tottenham Win
5-1,80/1,Aston Villa v Tottenham,Tottenham Win
5-2,80/1,Aston Villa v Tottenham,Tottenham Win
6-0,200/1,Aston Villa v Tottenham,Tottenham Win
6-1,150/1,Aston Villa v Tottenham,Tottenham Win
6-2,150/1,Aston Villa v Tottenham,Tottenham Win
7-0,200/1,Aston Villa v Tottenham,Tottenham Win
7-1,200/1,Aston Villa v Tottenham,Tottenham Win
8-0,250/1,Aston Villa v Tottenham,Tottenham Win
9-0,250/1,Aston Villa v Tottenham,Tottenham Win
10-0,250/1,Aston Villa v Tottenham,Tottenham Win
