scoreline,scoreline_odds,contest,Outcome
1-0,11/1,Burnley v Brentford,Burnley Win
2-0,18/1,Burnley v Brentford,Burnley Win
2-1,11/1,Burnley v Brentford,Burnley Win
3-0,40/1,Burnley v Brentford,Burnley Win
3-1,25/1,Burnley v Brentford,Burnley Win
3-2,33/1,Burnley v Brentford,Burnley Win
4-0,90/1,Burnley v Brentford,Burnley Win
4-1,66/1,Burnley v Brentford,Burnley Win
4-2,80/1,Burnley v Brentford,Burnley Win
4-3,125/1,Burnley v Brentford,Burnley Win
5-0,200/1,Burnley v Brentford,Burnley Win
5-1,150/1,Burnley v Brentford,Burnley Win
5-2,150/1,Burnley v Brentford,Burnley Win
6-0,250/1,Burnley v Brentford,Burnley Win
6-1,250/1,Burnley v Brentford,Burnley Win
6-2,250/1,Burnley v Brentford,Burnley Win
7-0,250/1,Burnley v Brentford,Burnley Win
7-1,250/1,Burnley v Brentford,Burnley Win
8-0,250/1,Burnley v Brentford,Burnley Win
9-0,250/1,Burnley v Brentford,Burnley Win
10-0,250/1,Burnley v Brentford,Burnley Win
0-0,12/1,Burnley v Brentford,Draw
1-1,6/1,Burnley v Brentford,Draw
2-2,12/1,Burnley v Brentford,Draw
3-3,50/1,Burnley v Brentford,Draw
4-4,150/1,Burnley v Brentford,Draw
1-0,9/1,Burnley v Brentford,Brentford Win
2-0,11/1,Burnley v Brentford,Brentford Win
2-1,17/2,Burnley v Brentford,Brentford Win
3-0,20/1,Burnley v Brentford,Brentford Win
3-1,16/1,Burnley v Brentford,Brentford Win
3-2,25/1,Burnley v Brentford,Brentford Win
4-0,45/1,Burnley v Brentford,Brentford Win
4-1,40/1,Burnley v Brentford,Brentford Win
4-2,55/1,Burnley v Brentford,Brentford Win
4-3,100/1,Burnley v Brentford,Brentford Win
5-0,100/1,Burnley v Brentford,Brentford Win
5-1,90/1,Burnley v Brentford,Brentford Win
5-2,125/1,Burnley v Brentford,Brentford Win
6-0,200/1,Burnley v Brentford,Brentford Win
6-1,200/1,Burnley v Brentford,Brentford Win
6-2,200/1,Burnley v Brentford,Brentford Win
7-0,250/1,Burnley v Brentford,Brentford Win
7-1,250/1,Burnley v Brentford,Brentford Win
8-0,250/1,Burnley v Brentford,Brentford Win
9-0,250/1,Burnley v Brentford,Brentford Win
10-0,250/1,Burnley v Brentford,Brentford Win
1-0,12/1,Luton v Nottingham Forest,Luton Win
2-0,16/1,Luton v Nottingham Forest,Luton Win
2-1,10/1,Luton v Nottingham Forest,Luton Win
3-0,33/1,Luton v Nottingham Forest,Luton Win
3-1,20/1,Luton v Nottingham Forest,Luton Win
3-2,25/1,Luton v Nottingham Forest,Luton Win
4-0,70/1,Luton v Nottingham Forest,Luton Win
4-1,50/1,Luton v Nottingham Forest,Luton Win
4-2,60/1,Luton v Nottingham Forest,Luton Win
4-3,100/1,Luton v Nottingham Forest,Luton Win
5-0,150/1,Luton v Nottingham Forest,Luton Win
5-1,125/1,Luton v Nottingham Forest,Luton Win
5-2,125/1,Luton v Nottingham Forest,Luton Win
6-0,200/1,Luton v Nottingham Forest,Luton Win
6-1,200/1,Luton v Nottingham Forest,Luton Win
6-2,200/1,Luton v Nottingham Forest,Luton Win
7-0,250/1,Luton v Nottingham Forest,Luton Win
7-1,250/1,Luton v Nottingham Forest,Luton Win
8-0,250/1,Luton v Nottingham Forest,Luton Win
9-0,250/1,Luton v Nottingham Forest,Luton Win
10-0,250/1,Luton v Nottingham Forest,Luton Win
0-0,16/1,Luton v Nottingham Forest,Draw
1-1,6/1,Luton v Nottingham Forest,Draw
2-2,11/1,Luton v Nottingham Forest,Draw
3-3,40/1,Luton v Nottingham Forest,Draw
4-4,150/1,Luton v Nottingham Forest,Draw
1-0,10/1,Luton v Nottingham Forest,Nottingham Forest Win
2-0,14/1,Luton v Nottingham Forest,Nottingham Forest Win
2-1,9/1,Luton v Nottingham Forest,Nottingham Forest Win
3-0,25/1,Luton v Nottingham Forest,Nottingham Forest Win
3-1,18/1,Luton v Nottingham Forest,Nottingham Forest Win
3-2,22/1,Luton v Nottingham Forest,Nottingham Forest Win
4-0,55/1,Luton v Nottingham Forest,Nottingham Forest Win
4-1,40/1,Luton v Nottingham Forest,Nottingham Forest Win
4-2,55/1,Luton v Nottingham Forest,Nottingham Forest Win
4-3,90/1,Luton v Nottingham Forest,Nottingham Forest Win
5-0,125/1,Luton v Nottingham Forest,Nottingham Forest Win
5-1,100/1,Luton v Nottingham Forest,Nottingham Forest Win
5-2,125/1,Luton v Nottingham Forest,Nottingham Forest Win
6-0,200/1,Luton v Nottingham Forest,Nottingham Forest Win
6-1,200/1,Luton v Nottingham Forest,Nottingham Forest Win
6-2,200/1,Luton v Nottingham Forest,Nottingham Forest Win
7-0,250/1,Luton v Nottingham Forest,Nottingham Forest Win
7-1,250/1,Luton v Nottingham Forest,Nottingham Forest Win
8-0,250/1,Luton v Nottingham Forest,Nottingham Forest Win
9-0,250/1,Luton v Nottingham Forest,Nottingham Forest Win
10-0,250/1,Luton v Nottingham Forest,Nottingham Forest Win
1-0,16/1,Fulham v Tottenham,Fulham Win
2-0,22/1,Fulham v Tottenham,Fulham Win
2-1,12/1,Fulham v Tottenham,Fulham Win
3-0,45/1,Fulham v Tottenham,Fulham Win
3-1,25/1,Fulham v Tottenham,Fulham Win
3-2,28/1,Fulham v Tottenham,Fulham Win
4-0,90/1,Fulham v Tottenham,Fulham Win
4-1,60/1,Fulham v Tottenham,Fulham Win
4-2,65/1,Fulham v Tottenham,Fulham Win
4-3,90/1,Fulham v Tottenham,Fulham Win
5-0,150/1,Fulham v Tottenham,Fulham Win
5-1,125/1,Fulham v Tottenham,Fulham Win
5-2,125/1,Fulham v Tottenham,Fulham Win
6-0,200/1,Fulham v Tottenham,Fulham Win
6-1,200/1,Fulham v Tottenham,Fulham Win
6-2,200/1,Fulham v Tottenham,Fulham Win
7-0,250/1,Fulham v Tottenham,Fulham Win
7-1,200/1,Fulham v Tottenham,Fulham Win
8-0,250/1,Fulham v Tottenham,Fulham Win
9-0,250/1,Fulham v Tottenham,Fulham Win
10-0,250/1,Fulham v Tottenham,Fulham Win
0-0,20/1,Fulham v Tottenham,Draw
1-1,7/1,Fulham v Tottenham,Draw
2-2,11/1,Fulham v Tottenham,Draw
3-3,35/1,Fulham v Tottenham,Draw
4-4,125/1,Fulham v Tottenham,Draw
1-0,11/1,Fulham v Tottenham,Tottenham Win
2-0,12/1,Fulham v Tottenham,Tottenham Win
2-1,8/1,Fulham v Tottenham,Tottenham Win
3-0,18/1,Fulham v Tottenham,Tottenham Win
3-1,14/1,Fulham v Tottenham,Tottenham Win
3-2,20/1,Fulham v Tottenham,Tottenham Win
4-0,40/1,Fulham v Tottenham,Tottenham Win
4-1,28/1,Fulham v Tottenham,Tottenham Win
4-2,40/1,Fulham v Tottenham,Tottenham Win
4-3,70/1,Fulham v Tottenham,Tottenham Win
5-0,80/1,Fulham v Tottenham,Tottenham Win
5-1,65/1,Fulham v Tottenham,Tottenham Win
5-2,80/1,Fulham v Tottenham,Tottenham Win
6-0,150/1,Fulham v Tottenham,Tottenham Win
6-1,125/1,Fulham v Tottenham,Tottenham Win
6-2,150/1,Fulham v Tottenham,Tottenham Win
