scoreline,scoreline_odds,contest,Outcome
1-0,12/1,Bournemouth v Brentford,Bournemouth Win
2-0,12/1,Bournemouth v Brentford,Bournemouth Win
2-1,8/1,Bournemouth v Brentford,Bournemouth Win
3-0,18/1,Bournemouth v Brentford,Bournemouth Win
3-1,14/1,Bournemouth v Brentford,Bournemouth Win
3-2,18/1,Bournemouth v Brentford,Bournemouth Win
4-0,35/1,Bournemouth v Brentford,Bournemouth Win
4-1,25/1,Bournemouth v Brentford,Bournemouth Win
4-2,35/1,Bournemouth v Brentford,Bournemouth Win
4-3,65/1,Bournemouth v Brentford,Bournemouth Win
5-0,80/1,Bournemouth v Brentford,Bournemouth Win
5-1,60/1,Bournemouth v Brentford,Bournemouth Win
5-2,80/1,Bournemouth v Brentford,Bournemouth Win
6-0,150/1,Bournemouth v Brentford,Bournemouth Win
6-1,125/1,Bournemouth v Brentford,Bournemouth Win
6-2,150/1,Bournemouth v Brentford,Bournemouth Win
7-0,250/1,Bournemouth v Brentford,Bournemouth Win
7-1,200/1,Bournemouth v Brentford,Bournemouth Win
8-0,250/1,Bournemouth v Brentford,Bournemouth Win
9-0,250/1,Bournemouth v Brentford,Bournemouth Win
10-0,250/1,Bournemouth v Brentford,Bournemouth Win
0-0,22/1,Bournemouth v Brentford,Draw
1-1,7/1,Bournemouth v Brentford,Draw
2-2,11/1,Bournemouth v Brentford,Draw
3-3,33/1,Bournemouth v Brentford,Draw
4-4,125/1,Bournemouth v Brentford,Draw
1-0,16/1,Bournemouth v Brentford,Brentford Win
2-0,22/1,Bournemouth v Brentford,Brentford Win
2-1,12/1,Bournemouth v Brentford,Brentford Win
3-0,45/1,Bournemouth v Brentford,Brentford Win
3-1,25/1,Bournemouth v Brentford,Brentford Win
3-2,25/1,Bournemouth v Brentford,Brentford Win
4-0,100/1,Bournemouth v Brentford,Brentford Win
4-1,60/1,Bournemouth v Brentford,Brentford Win
4-2,60/1,Bournemouth v Brentford,Brentford Win
4-3,90/1,Bournemouth v Brentford,Brentford Win
5-0,150/1,Bournemouth v Brentford,Brentford Win
5-1,125/1,Bournemouth v Brentford,Brentford Win
5-2,125/1,Bournemouth v Brentford,Brentford Win
6-0,250/1,Bournemouth v Brentford,Brentford Win
6-1,250/1,Bournemouth v Brentford,Brentford Win
6-2,250/1,Bournemouth v Brentford,Brentford Win
7-0,250/1,Bournemouth v Brentford,Brentford Win
7-1,250/1,Bournemouth v Brentford,Brentford Win
8-0,250/1,Bournemouth v Brentford,Brentford Win
9-0,250/1,Bournemouth v Brentford,Brentford Win
10-0,250/1,Bournemouth v Brentford,Brentford Win
1-0,17/2,Everton v Sheffield Utd,Everton Win
2-0,7/1,Everton v Sheffield Utd,Everton Win
2-1,8/1,Everton v Sheffield Utd,Everton Win
3-0,10/1,Everton v Sheffield Utd,Everton Win
3-1,11/1,Everton v Sheffield Utd,Everton Win
3-2,22/1,Everton v Sheffield Utd,Everton Win
4-0,18/1,Everton v Sheffield Utd,Everton Win
4-1,18/1,Everton v Sheffield Utd,Everton Win
4-2,40/1,Everton v Sheffield Utd,Everton Win
4-3,90/1,Everton v Sheffield Utd,Everton Win
5-0,35/1,Everton v Sheffield Utd,Everton Win
5-1,40/1,Everton v Sheffield Utd,Everton Win
5-2,70/1,Everton v Sheffield Utd,Everton Win
6-0,80/1,Everton v Sheffield Utd,Everton Win
6-1,80/1,Everton v Sheffield Utd,Everton Win
6-2,125/1,Everton v Sheffield Utd,Everton Win
7-0,150/1,Everton v Sheffield Utd,Everton Win
7-1,150/1,Everton v Sheffield Utd,Everton Win
8-0,200/1,Everton v Sheffield Utd,Everton Win
9-0,250/1,Everton v Sheffield Utd,Everton Win
10-0,250/1,Everton v Sheffield Utd,Everton Win
0-0,18/1,Everton v Sheffield Utd,Draw
1-1,8/1,Everton v Sheffield Utd,Draw
2-2,16/1,Everton v Sheffield Utd,Draw
3-3,55/1,Everton v Sheffield Utd,Draw
4-4,150/1,Everton v Sheffield Utd,Draw
1-0,20/1,Everton v Sheffield Utd,Sheffield Utd Win
2-0,40/1,Everton v Sheffield Utd,Sheffield Utd Win
2-1,20/1,Everton v Sheffield Utd,Sheffield Utd Win
3-0,100/1,Everton v Sheffield Utd,Sheffield Utd Win
3-1,55/1,Everton v Sheffield Utd,Sheffield Utd Win
3-2,50/1,Everton v Sheffield Utd,Sheffield Utd Win
4-0,200/1,Everton v Sheffield Utd,Sheffield Utd Win
4-1,125/1,Everton v Sheffield Utd,Sheffield Utd Win
4-2,125/1,Everton v Sheffield Utd,Sheffield Utd Win
4-3,150/1,Everton v Sheffield Utd,Sheffield Utd Win
5-0,250/1,Everton v Sheffield Utd,Sheffield Utd Win
5-1,200/1,Everton v Sheffield Utd,Sheffield Utd Win
5-2,200/1,Everton v Sheffield Utd,Sheffield Utd Win
6-0,250/1,Everton v Sheffield Utd,Sheffield Utd Win
6-1,250/1,Everton v Sheffield Utd,Sheffield Utd Win
6-2,250/1,Everton v Sheffield Utd,Sheffield Utd Win
7-0,250/1,Everton v Sheffield Utd,Sheffield Utd Win
7-1,250/1,Everton v Sheffield Utd,Sheffield Utd Win
8-0,250/1,Everton v Sheffield Utd,Sheffield Utd Win
1-0,14/1,Newcastle v Brighton,Newcastle Win
2-0,12/1,Newcastle v Brighton,Newcastle Win
2-1,8/1,Newcastle v Brighton,Newcastle Win
3-0,14/1,Newcastle v Brighton,Newcastle Win
3-1,11/1,Newcastle v Brighton,Newcastle Win
3-2,16/1,Newcastle v Brighton,Newcastle Win
4-0,22/1,Newcastle v Brighton,Newcastle Win
4-1,18/1,Newcastle v Brighton,Newcastle Win
4-2,25/1,Newcastle v Brighton,Newcastle Win
