scoreline,scoreline_odds,contest,Outcome
1-0,17/2,Aston Villa v Nottingham Forest,Aston Villa Win
2-0,8/1,Aston Villa v Nottingham Forest,Aston Villa Win
2-1,7/1,Aston Villa v Nottingham Forest,Aston Villa Win
3-0,11/1,Aston Villa v Nottingham Forest,Aston Villa Win
3-1,11/1,Aston Villa v Nottingham Forest,Aston Villa Win
3-2,20/1,Aston Villa v Nottingham Forest,Aston Villa Win
4-0,20/1,Aston Villa v Nottingham Forest,Aston Villa Win
4-1,20/1,Aston Villa v Nottingham Forest,Aston Villa Win
4-2,35/1,Aston Villa v Nottingham Forest,Aston Villa Win
4-3,90/1,Aston Villa v Nottingham Forest,Aston Villa Win
5-0,45/1,Aston Villa v Nottingham Forest,Aston Villa Win
5-1,45/1,Aston Villa v Nottingham Forest,Aston Villa Win
5-2,70/1,Aston Villa v Nottingham Forest,Aston Villa Win
6-0,100/1,Aston Villa v Nottingham Forest,Aston Villa Win
6-1,100/1,Aston Villa v Nottingham Forest,Aston Villa Win
6-2,150/1,Aston Villa v Nottingham Forest,Aston Villa Win
7-0,200/1,Aston Villa v Nottingham Forest,Aston Villa Win
7-1,150/1,Aston Villa v Nottingham Forest,Aston Villa Win
8-0,250/1,Aston Villa v Nottingham Forest,Aston Villa Win
9-0,250/1,Aston Villa v Nottingham Forest,Aston Villa Win
10-0,250/1,Aston Villa v Nottingham Forest,Aston Villa Win
0-0,18/1,Aston Villa v Nottingham Forest,Draw
1-1,8/1,Aston Villa v Nottingham Forest,Draw
2-2,14/1,Aston Villa v Nottingham Forest,Draw
3-3,55/1,Aston Villa v Nottingham Forest,Draw
4-4,150/1,Aston Villa v Nottingham Forest,Draw
1-0,20/1,Aston Villa v Nottingham Forest,Nottingham Forest Win
2-0,35/1,Aston Villa v Nottingham Forest,Nottingham Forest Win
2-1,18/1,Aston Villa v Nottingham Forest,Nottingham Forest Win
3-0,90/1,Aston Villa v Nottingham Forest,Nottingham Forest Win
3-1,45/1,Aston Villa v Nottingham Forest,Nottingham Forest Win
3-2,45/1,Aston Villa v Nottingham Forest,Nottingham Forest Win
4-0,150/1,Aston Villa v Nottingham Forest,Nottingham Forest Win
4-1,125/1,Aston Villa v Nottingham Forest,Nottingham Forest Win
4-2,125/1,Aston Villa v Nottingham Forest,Nottingham Forest Win
4-3,150/1,Aston Villa v Nottingham Forest,Nottingham Forest Win
5-0,250/1,Aston Villa v Nottingham Forest,Nottingham Forest Win
5-1,250/1,Aston Villa v Nottingham Forest,Nottingham Forest Win
5-2,200/1,Aston Villa v Nottingham Forest,Nottingham Forest Win
6-0,250/1,Aston Villa v Nottingham Forest,Nottingham Forest Win
6-1,250/1,Aston Villa v Nottingham Forest,Nottingham Forest Win
