scoreline,scoreline_odds,contest,Outcome
1-0,11/1,Newcastle v West Ham,Newcastle Win
2-0,11/1,Newcastle v West Ham,Newcastle Win
2-1,8/1,Newcastle v West Ham,Newcastle Win
3-0,16/1,Newcastle v West Ham,Newcastle Win
3-1,12/1,Newcastle v West Ham,Newcastle Win
3-2,20/1,Newcastle v West Ham,Newcastle Win
4-0,33/1,Newcastle v West Ham,Newcastle Win
4-1,25/1,Newcastle v West Ham,Newcastle Win
4-2,35/1,Newcastle v West Ham,Newcastle Win
4-3,70/1,Newcastle v West Ham,Newcastle Win
5-0,70/1,Newcastle v West Ham,Newcastle Win
5-1,55/1,Newcastle v West Ham,Newcastle Win
5-2,80/1,Newcastle v West Ham,Newcastle Win
6-0,150/1,Newcastle v West Ham,Newcastle Win
6-1,125/1,Newcastle v West Ham,Newcastle Win
6-2,150/1,Newcastle v West Ham,Newcastle Win
7-0,200/1,Newcastle v West Ham,Newcastle Win
7-1,200/1,Newcastle v West Ham,Newcastle Win
8-0,250/1,Newcastle v West Ham,Newcastle Win
9-0,250/1,Newcastle v West Ham,Newcastle Win
10-0,250/1,Newcastle v West Ham,Newcastle Win
0-0,20/1,Newcastle v West Ham,Draw
1-1,7/1,Newcastle v West Ham,Draw
2-2,12/1,Newcastle v West Ham,Draw
3-3,40/1,Newcastle v West Ham,Draw
4-4,125/1,Newcastle v West Ham,Draw
1-0,16/1,Newcastle v West Ham,West Ham Win
2-0,25/1,Newcastle v West Ham,West Ham Win
2-1,12/1,Newcastle v West Ham,West Ham Win
3-0,50/1,Newcastle v West Ham,West Ham Win
3-1,28/1,Newcastle v West Ham,West Ham Win
3-2,28/1,Newcastle v West Ham,West Ham Win
4-0,100/1,Newcastle v West Ham,West Ham Win
4-1,70/1,Newcastle v West Ham,West Ham Win
4-2,70/1,Newcastle v West Ham,West Ham Win
4-3,100/1,Newcastle v West Ham,West Ham Win
5-0,200/1,Newcastle v West Ham,West Ham Win
5-1,150/1,Newcastle v West Ham,West Ham Win
5-2,150/1,Newcastle v West Ham,West Ham Win
6-0,250/1,Newcastle v West Ham,West Ham Win
6-1,200/1,Newcastle v West Ham,West Ham Win
6-2,200/1,Newcastle v West Ham,West Ham Win
7-0,250/1,Newcastle v West Ham,West Ham Win
7-1,250/1,Newcastle v West Ham,West Ham Win
8-0,250/1,Newcastle v West Ham,West Ham Win
9-0,250/1,Newcastle v West Ham,West Ham Win
10-0,250/1,Newcastle v West Ham,West Ham Win
1-0,9/1,Bournemouth v Everton,Bournemouth Win
2-0,11/1,Bournemouth v Everton,Bournemouth Win
2-1,17/2,Bournemouth v Everton,Bournemouth Win
3-0,20/1,Bournemouth v Everton,Bournemouth Win
3-1,16/1,Bournemouth v Everton,Bournemouth Win
3-2,25/1,Bournemouth v Everton,Bournemouth Win
4-0,45/1,Bournemouth v Everton,Bournemouth Win
4-1,35/1,Bournemouth v Everton,Bournemouth Win
4-2,55/1,Bournemouth v Everton,Bournemouth Win
4-3,100/1,Bournemouth v Everton,Bournemouth Win
5-0,100/1,Bournemouth v Everton,Bournemouth Win
5-1,90/1,Bournemouth v Everton,Bournemouth Win
5-2,125/1,Bournemouth v Everton,Bournemouth Win
6-0,200/1,Bournemouth v Everton,Bournemouth Win
6-1,150/1,Bournemouth v Everton,Bournemouth Win
6-2,200/1,Bournemouth v Everton,Bournemouth Win
7-0,200/1,Bournemouth v Everton,Bournemouth Win
7-1,200/1,Bournemouth v Everton,Bournemouth Win
8-0,250/1,Bournemouth v Everton,Bournemouth Win
9-0,250/1,Bournemouth v Everton,Bournemouth Win
10-0,250/1,Bournemouth v Everton,Bournemouth Win
0-0,14/1,Bournemouth v Everton,Draw
1-1,6/1,Bournemouth v Everton,Draw
2-2,12/1,Bournemouth v Everton,Draw
3-3,50/1,Bournemouth v Everton,Draw
4-4,150/1,Bournemouth v Everton,Draw
1-0,12/1,Bournemouth v Everton,Everton Win
2-0,18/1,Bournemouth v Everton,Everton Win
2-1,11/1,Bournemouth v Everton,Everton Win
3-0,40/1,Bournemouth v Everton,Everton Win
3-1,25/1,Bournemouth v Everton,Everton Win
3-2,33/1,Bournemouth v Everton,Everton Win
4-0,90/1,Bournemouth v Everton,Everton Win
4-1,66/1,Bournemouth v Everton,Everton Win
4-2,80/1,Bournemouth v Everton,Everton Win
4-3,125/1,Bournemouth v Everton,Everton Win
5-0,200/1,Bournemouth v Everton,Everton Win
5-1,150/1,Bournemouth v Everton,Everton Win
5-2,150/1,Bournemouth v Everton,Everton Win
6-0,200/1,Bournemouth v Everton,Everton Win
6-1,200/1,Bournemouth v Everton,Everton Win
6-2,200/1,Bournemouth v Everton,Everton Win
7-0,250/1,Bournemouth v Everton,Everton Win
7-1,250/1,Bournemouth v Everton,Everton Win
8-0,250/1,Bournemouth v Everton,Everton Win
9-0,250/1,Bournemouth v Everton,Everton Win
10-0,250/1,Bournemouth v Everton,Everton Win
1-0,17/2,Chelsea v Burnley,Chelsea Win
2-0,13/2,Chelsea v Burnley,Chelsea Win
2-1,17/2,Chelsea v Burnley,Chelsea Win
3-0,8/1,Chelsea v Burnley,Chelsea Win
3-1,10/1,Chelsea v Burnley,Chelsea Win
3-2,25/1,Chelsea v Burnley,Chelsea Win
4-0,14/1,Chelsea v Burnley,Chelsea Win
4-1,16/1,Chelsea v Burnley,Chelsea Win
4-2,35/1,Chelsea v Burnley,Chelsea Win
4-3,90/1,Chelsea v Burnley,Chelsea Win
5-0,25/1,Chelsea v Burnley,Chelsea Win
5-1,28/1,Chelsea v Burnley,Chelsea Win
5-2,65/1,Chelsea v Burnley,Chelsea Win
6-0,55/1,Chelsea v Burnley,Chelsea Win
6-1,60/1,Chelsea v Burnley,Chelsea Win
6-2,100/1,Chelsea v Burnley,Chelsea Win
7-0,100/1,Chelsea v Burnley,Chelsea Win
7-1,125/1,Chelsea v Burnley,Chelsea Win
8-0,200/1,Chelsea v Burnley,Chelsea Win
9-0,200/1,Chelsea v Burnley,Chelsea Win
10-0,250/1,Chelsea v Burnley,Chelsea Win
0-0,22/1,Chelsea v Burnley,Draw
1-1,10/1,Chelsea v Burnley,Draw
2-2,20/1,Chelsea v Burnley,Draw
3-3,66/1,Chelsea v Burnley,Draw
4-4,200/1,Chelsea v Burnley,Draw
1-0,28/1,Chelsea v Burnley,Burnley Win
2-0,60/1,Chelsea v Burnley,Burnley Win
2-1,28/1,Chelsea v Burnley,Burnley Win
3-0,125/1,Chelsea v Burnley,Burnley Win
3-1,80/1,Chelsea v Burnley,Burnley Win
3-2,66/1,Chelsea v Burnley,Burnley Win
4-0,200/1,Chelsea v Burnley,Burnley Win
4-1,150/1,Chelsea v Burnley,Burnley Win
4-2,150/1,Chelsea v Burnley,Burnley Win
4-3,150/1,Chelsea v Burnley,Burnley Win
5-0,250/1,Chelsea v Burnley,Burnley Win
5-1,250/1,Chelsea v Burnley,Burnley Win
5-2,200/1,Chelsea v Burnley,Burnley Win
6-0,250/1,Chelsea v Burnley,Burnley Win
6-1,250/1,Chelsea v Burnley,Burnley Win
6-2,250/1,Chelsea v Burnley,Burnley Win
7-0,250/1,Chelsea v Burnley,Burnley Win
7-1,250/1,Chelsea v Burnley,Burnley Win
8-0,250/1,Chelsea v Burnley,Burnley Win
1-0,7/1,Nottingham Forest v Crystal Palace,Nottingham Forest Win
2-0,10/1,Nottingham Forest v Crystal Palace,Nottingham Forest Win
2-1,9/1,Nottingham Forest v Crystal Palace,Nottingham Forest Win
3-0,22/1,Nottingham Forest v Crystal Palace,Nottingham Forest Win
3-1,20/1,Nottingham Forest v Crystal Palace,Nottingham Forest Win
3-2,35/1,Nottingham Forest v Crystal Palace,Nottingham Forest Win
4-0,60/1,Nottingham Forest v Crystal Palace,Nottingham Forest Win
4-1,55/1,Nottingham Forest v Crystal Palace,Nottingham Forest Win
4-2,80/1,Nottingham Forest v Crystal Palace,Nottingham Forest Win
4-3,150/1,Nottingham Forest v Crystal Palace,Nottingham Forest Win
5-0,150/1,Nottingham Forest v Crystal Palace,Nottingham Forest Win
5-1,125/1,Nottingham Forest v Crystal Palace,Nottingham Forest Win
5-2,150/1,Nottingham Forest v Crystal Palace,Nottingham Forest Win
6-0,250/1,Nottingham Forest v Crystal Palace,Nottingham Forest Win
6-1,250/1,Nottingham Forest v Crystal Palace,Nottingham Forest Win
6-2,250/1,Nottingham Forest v Crystal Palace,Nottingham Forest Win
7-0,250/1,Nottingham Forest v Crystal Palace,Nottingham Forest Win
7-1,250/1,Nottingham Forest v Crystal Palace,Nottingham Forest Win
8-0,250/1,Nottingham Forest v Crystal Palace,Nottingham Forest Win
9-0,250/1,Nottingham Forest v Crystal Palace,Nottingham Forest Win
10-0,250/1,Nottingham Forest v Crystal Palace,Nottingham Forest Win
0-0,9/1,Nottingham Forest v Crystal Palace,Draw
1-1,5/1,Nottingham Forest v Crystal Palace,Draw
2-2,14/1,Nottingham Forest v Crystal Palace,Draw
3-3,70/1,Nottingham Forest v Crystal Palace,Draw
4-4,250/1,Nottingham Forest v Crystal Palace,Draw
1-0,17/2,Nottingham Forest v Crystal Palace,Crystal Palace Win
2-0,16/1,Nottingham Forest v Crystal Palace,Crystal Palace Win
2-1,11/1,Nottingham Forest v Crystal Palace,Crystal Palace Win
3-0,40/1,Nottingham Forest v Crystal Palace,Crystal Palace Win
3-1,28/1,Nottingham Forest v Crystal Palace,Crystal Palace Win
3-2,40/1,Nottingham Forest v Crystal Palace,Crystal Palace Win
4-0,100/1,Nottingham Forest v Crystal Palace,Crystal Palace Win
4-1,90/1,Nottingham Forest v Crystal Palace,Crystal Palace Win
4-2,100/1,Nottingham Forest v Crystal Palace,Crystal Palace Win
4-3,150/1,Nottingham Forest v Crystal Palace,Crystal Palace Win
5-0,200/1,Nottingham Forest v Crystal Palace,Crystal Palace Win
5-1,200/1,Nottingham Forest v Crystal Palace,Crystal Palace Win
5-2,200/1,Nottingham Forest v Crystal Palace,Crystal Palace Win
6-0,250/1,Nottingham Forest v Crystal Palace,Crystal Palace Win
6-1,250/1,Nottingham Forest v Crystal Palace,Crystal Palace Win
6-2,250/1,Nottingham Forest v Crystal Palace,Crystal Palace Win
7-0,250/1,Nottingham Forest v Crystal Palace,Crystal Palace Win
7-1,250/1,Nottingham Forest v Crystal Palace,Crystal Palace Win
8-0,250/1,Nottingham Forest v Crystal Palace,Crystal Palace Win
9-0,250/1,Nottingham Forest v Crystal Palace,Crystal Palace Win
1-0,14/1,Sheffield Utd v Fulham,Sheffield Utd Win
2-0,25/1,Sheffield Utd v Fulham,Sheffield Utd Win
2-1,14/1,Sheffield Utd v Fulham,Sheffield Utd Win
3-0,60/1,Sheffield Utd v Fulham,Sheffield Utd Win
3-1,35/1,Sheffield Utd v Fulham,Sheffield Utd Win
3-2,40/1,Sheffield Utd v Fulham,Sheffield Utd Win
4-0,125/1,Sheffield Utd v Fulham,Sheffield Utd Win
4-1,90/1,Sheffield Utd v Fulham,Sheffield Utd Win
4-2,100/1,Sheffield Utd v Fulham,Sheffield Utd Win
4-3,125/1,Sheffield Utd v Fulham,Sheffield Utd Win
5-0,200/1,Sheffield Utd v Fulham,Sheffield Utd Win
5-1,200/1,Sheffield Utd v Fulham,Sheffield Utd Win
5-2,200/1,Sheffield Utd v Fulham,Sheffield Utd Win
6-0,250/1,Sheffield Utd v Fulham,Sheffield Utd Win
6-1,250/1,Sheffield Utd v Fulham,Sheffield Utd Win
6-2,250/1,Sheffield Utd v Fulham,Sheffield Utd Win
7-0,250/1,Sheffield Utd v Fulham,Sheffield Utd Win
7-1,250/1,Sheffield Utd v Fulham,Sheffield Utd Win
8-0,250/1,Sheffield Utd v Fulham,Sheffield Utd Win
9-0,250/1,Sheffield Utd v Fulham,Sheffield Utd Win
0-0,14/1,Sheffield Utd v Fulham,Draw
1-1,13/2,Sheffield Utd v Fulham,Draw
2-2,14/1,Sheffield Utd v Fulham,Draw
3-3,55/1,Sheffield Utd v Fulham,Draw
4-4,200/1,Sheffield Utd v Fulham,Draw
1-0,8/1,Sheffield Utd v Fulham,Fulham Win
2-0,17/2,Sheffield Utd v Fulham,Fulham Win
2-1,15/2,Sheffield Utd v Fulham,Fulham Win
3-0,14/1,Sheffield Utd v Fulham,Fulham Win
3-1,14/1,Sheffield Utd v Fulham,Fulham Win
3-2,22/1,Sheffield Utd v Fulham,Fulham Win
4-0,33/1,Sheffield Utd v Fulham,Fulham Win
4-1,28/1,Sheffield Utd v Fulham,Fulham Win
4-2,45/1,Sheffield Utd v Fulham,Fulham Win
4-3,100/1,Sheffield Utd v Fulham,Fulham Win
5-0,70/1,Sheffield Utd v Fulham,Fulham Win
5-1,65/1,Sheffield Utd v Fulham,Fulham Win
5-2,100/1,Sheffield Utd v Fulham,Fulham Win
6-0,150/1,Sheffield Utd v Fulham,Fulham Win
6-1,125/1,Sheffield Utd v Fulham,Fulham Win
6-2,150/1,Sheffield Utd v Fulham,Fulham Win
7-0,200/1,Sheffield Utd v Fulham,Fulham Win
7-1,200/1,Sheffield Utd v Fulham,Fulham Win
8-0,250/1,Sheffield Utd v Fulham,Fulham Win
9-0,250/1,Sheffield Utd v Fulham,Fulham Win
10-0,250/1,Sheffield Utd v Fulham,Fulham Win
1-0,14/1,Tottenham v Luton,Tottenham Win
2-0,9/1,Tottenham v Luton,Tottenham Win
2-1,10/1,Tottenham v Luton,Tottenham Win
3-0,9/1,Tottenham v Luton,Tottenham Win
3-1,9/1,Tottenham v Luton,Tottenham Win
3-2,20/1,Tottenham v Luton,Tottenham Win
4-0,12/1,Tottenham v Luton,Tottenham Win
4-1,12/1,Tottenham v Luton,Tottenham Win
4-2,25/1,Tottenham v Luton,Tottenham Win
4-3,65/1,Tottenham v Luton,Tottenham Win
5-0,20/1,Tottenham v Luton,Tottenham Win
5-1,20/1,Tottenham v Luton,Tottenham Win
5-2,40/1,Tottenham v Luton,Tottenham Win
6-0,35/1,Tottenham v Luton,Tottenham Win
6-1,35/1,Tottenham v Luton,Tottenham Win
6-2,65/1,Tottenham v Luton,Tottenham Win
7-0,66/1,Tottenham v Luton,Tottenham Win
7-1,70/1,Tottenham v Luton,Tottenham Win
8-0,125/1,Tottenham v Luton,Tottenham Win
9-0,200/1,Tottenham v Luton,Tottenham Win
10-0,200/1,Tottenham v Luton,Tottenham Win
0-0,40/1,Tottenham v Luton,Draw
1-1,14/1,Tottenham v Luton,Draw
2-2,18/1,Tottenham v Luton,Draw
3-3,50/1,Tottenham v Luton,Draw
4-4,150/1,Tottenham v Luton,Draw
1-0,40/1,Tottenham v Luton,Luton Win
2-0,70/1,Tottenham v Luton,Luton Win
2-1,28/1,Tottenham v Luton,Luton Win
3-0,125/1,Tottenham v Luton,Luton Win
3-1,70/1,Tottenham v Luton,Luton Win
3-2,55/1,Tottenham v Luton,Luton Win
4-0,200/1,Tottenham v Luton,Luton Win
4-1,150/1,Tottenham v Luton,Luton Win
4-2,125/1,Tottenham v Luton,Luton Win
4-3,125/1,Tottenham v Luton,Luton Win
5-0,200/1,Tottenham v Luton,Luton Win
5-1,200/1,Tottenham v Luton,Luton Win
5-2,200/1,Tottenham v Luton,Luton Win
6-0,250/1,Tottenham v Luton,Luton Win
6-1,250/1,Tottenham v Luton,Luton Win
6-2,250/1,Tottenham v Luton,Luton Win
7-0,250/1,Tottenham v Luton,Luton Win
7-1,250/1,Tottenham v Luton,Luton Win
8-0,250/1,Tottenham v Luton,Luton Win
1-0,9/1,Aston Villa v Wolves,Aston Villa Win
2-0,17/2,Aston Villa v Wolves,Aston Villa Win
2-1,15/2,Aston Villa v Wolves,Aston Villa Win
3-0,12/1,Aston Villa v Wolves,Aston Villa Win
3-1,11/1,Aston Villa v Wolves,Aston Villa Win
3-2,20/1,Aston Villa v Wolves,Aston Villa Win
4-0,25/1,Aston Villa v Wolves,Aston Villa Win
4-1,22/1,Aston Villa v Wolves,Aston Villa Win
4-2,35/1,Aston Villa v Wolves,Aston Villa Win
4-3,80/1,Aston Villa v Wolves,Aston Villa Win
5-0,50/1,Aston Villa v Wolves,Aston Villa Win
5-1,45/1,Aston Villa v Wolves,Aston Villa Win
5-2,70/1,Aston Villa v Wolves,Aston Villa Win
6-0,100/1,Aston Villa v Wolves,Aston Villa Win
6-1,100/1,Aston Villa v Wolves,Aston Villa Win
6-2,125/1,Aston Villa v Wolves,Aston Villa Win
7-0,200/1,Aston Villa v Wolves,Aston Villa Win
7-1,200/1,Aston Villa v Wolves,Aston Villa Win
8-0,250/1,Aston Villa v Wolves,Aston Villa Win
9-0,250/1,Aston Villa v Wolves,Aston Villa Win
10-0,250/1,Aston Villa v Wolves,Aston Villa Win
0-0,18/1,Aston Villa v Wolves,Draw
1-1,15/2,Aston Villa v Wolves,Draw
2-2,14/1,Aston Villa v Wolves,Draw
3-3,50/1,Aston Villa v Wolves,Draw
4-4,150/1,Aston Villa v Wolves,Draw
1-0,18/1,Aston Villa v Wolves,Wolves Win
2-0,33/1,Aston Villa v Wolves,Wolves Win
2-1,16/1,Aston Villa v Wolves,Wolves Win
3-0,70/1,Aston Villa v Wolves,Wolves Win
3-1,40/1,Aston Villa v Wolves,Wolves Win
3-2,40/1,Aston Villa v Wolves,Wolves Win
4-0,150/1,Aston Villa v Wolves,Wolves Win
4-1,100/1,Aston Villa v Wolves,Wolves Win
4-2,100/1,Aston Villa v Wolves,Wolves Win
4-3,125/1,Aston Villa v Wolves,Wolves Win
5-0,200/1,Aston Villa v Wolves,Wolves Win
5-1,200/1,Aston Villa v Wolves,Wolves Win
5-2,200/1,Aston Villa v Wolves,Wolves Win
6-0,250/1,Aston Villa v Wolves,Wolves Win
6-1,250/1,Aston Villa v Wolves,Wolves Win
6-2,250/1,Aston Villa v Wolves,Wolves Win
7-0,250/1,Aston Villa v Wolves,Wolves Win
7-1,250/1,Aston Villa v Wolves,Wolves Win
8-0,250/1,Aston Villa v Wolves,Wolves Win
9-0,250/1,Aston Villa v Wolves,Wolves Win
1-0,12/1,Brentford v Man Utd,Brentford Win
2-0,18/1,Brentford v Man Utd,Brentford Win
2-1,10/1,Brentford v Man Utd,Brentford Win
3-0,35/1,Brentford v Man Utd,Brentford Win
3-1,22/1,Brentford v Man Utd,Brentford Win
3-2,25/1,Brentford v Man Utd,Brentford Win
