assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,team_h_difficulty,team_a_difficulty,event
0,0,5,0,0.3,462,0.0,0.02,0.02,0.28,78,1,0,1.2,7.0,2024-10-19,12,0,0,0,0,0,0,0,False,11,0,0,0,0,8,0,346,0,3,2,5.0,1,9,36,27,50,True,0,462,0,1,0.0528060086071491,10,Sub,Southampton,Leicester,2,3,26678,2024,681392,0.0,0,0,0,0.0528060086071491,0.0528060086071491,0.0,9630,Southampton,1,1,8
0,0,2,0,0.0,462,0.0,0.0,0.0,0.52,89,0,0,0.0,0.0,2024-10-26,3,0,0,0,0,0,0,0,False,13,0,0,0,0,9,0,402,0,0,1,0.0,1,15,42,27,50,False,0,462,0,0,0.0,2,Sub,Manchester City,Southampton,1,0,26683,2024,682954,0.0,0,0,0,0.0,0.0,0.0,9630,Southampton,1,4,9
0,0,5,0,0.0,462,0.0,0.0,0.0,0.08,122,0,0,0.1,1.0,2024-11-29,2,0,0,0,0,0,0,0,False,5,0,0,0,0,13,0,628,0,1,1,0.0,1,4,50,46,50,False,0,462,0,0,0.0,1,Sub,Brighton,Southampton,1,1,26723,2024,689641,0.0,0,0,0,0.0,0.0,0.0,9630,Southampton,1,3,13
0,0,1,0,0.8,462,0.01,0.01,0.0,1.86,140,2,0,0.9,2.0,2024-12-04,28,0,0,0,0,0,0,0,False,6,0,0,0,0,14,0,657,0,5,1,6.0,1,3,53,50,50,True,0,462,0,0,0.0,23,Sub,Southampton,Chelsea,1,5,26741,2024,691458,0.0,0,0,0,0.0,0.0,0.0,9630,Southampton,3,1,14
0,0,5,0,0.3,462,0.0,0.0,0.0,0.26,141,0,0,0.2,2.0,2024-12-07,1,0,0,0,0,0,0,0,False,2,0,0,0,0,15,0,702,0,0,1,0.0,1,3,61,58,50,False,0,462,0,0,0.0,1,Sub,Aston Villa,Southampton,1,0,26742,2024,692188,0.0,0,0,0,0.0,0.0,0.0,9630,Southampton,1,4,15
0,0,3,0,0.9,462,0.0,0.0,0.0,1.23,159,3,0,0.0,0.0,2024-12-15,14,0,0,0,0,0,0,0,False,18,0,0,0,0,16,0,711,1,5,0,0.0,1,-50,24,74,50,True,0,462,0,0,0.0,14,FW,Southampton,Tottenham,0,5,26759,2024,694626,0.0,0,0,0,0.0,0.0,0.0,9630,Southampton,2,1,16
0,0,1,0,4.5,462,0.03,0.03,0.0,0.15,179,0,0,1.0,5.2,2024-12-26,17,0,0,0,0,0,0,0,False,19,0,0,0,0,18,0,787,0,1,0,0.0,1,-1,47,48,50,True,0,462,0,0,0.0,7,Sub,Southampton,West Ham,0,1,26780,2024,696280,0.0,0,0,0,0.0,0.0232840497046709,0.0232840497046709,9630,Southampton,2,1,18
0,0,3,0,1.8,462,0.0,0.0,0.0,0.22,183,0,0,0.2,0.6,2024-12-29,25,0,0,0,0,0,0,0,False,7,0,0,0,0,19,0,854,0,1,2,0.0,1,37,82,45,50,False,0,462,0,0,0.0,23,Sub,Crystal Palace,Southampton,2,1,26784,2024,696666,0.0,0,0,0,0.0,0.0,0.0,9630,Southampton,1,3,19
0,0,3,0,18.1,462,0.11,0.12,0.01,1.51,198,1,0,2.8,2.8,2025-01-04,54,0,0,0,0,0,0,0,False,4,0,0,0,0,20,0,850,1,5,0,7.0,1,-55,45,100,50,True,0,462,0,1,0.0166539624333381,58,FWL,Southampton,Brentford,0,5,26799,2024,697197,0.0177782252430915,0,1,0,0.0166539624333381,0.0344321876764297,0.0,9630,Southampton,3,1,20
0,0,6,0,2.3,462,0.01,0.32,0.31,3.2,209,3,0,4.3,7.8,2025-01-16,90,0,0,0,0,0,0,0,False,14,0,0,0,0,21,0,926,1,1,3,33.0,2,2,52,50,50,False,0,462,0,4,0.3521885871887207,90,FW,Manchester United,Southampton,3,1,26811,2024,699590,0.0,0,0,0,0.3521885871887207,0.3521885871887207,0.0,9630,Southampton,1,3,21
