id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,understat_id
0,1250,Mohamed Salah,29,2586,27,22.273566246032715,17,11.828257355839014,106,68,1,0,F M,Liverpool,18,15.4230466671288,35.5909341648221,10.719409372657536,player
1,8260,Erling Haaland,27,2398,20,21.99611907452345,3,3.3539292896166444,100,26,2,0,F,Manchester City,19,20.473781384527683,21.962912306189537,3.048169631510973,player
2,5232,Alexander Isak,25,2088,19,15.708589904010296,5,4.89659633859992,69,36,1,0,F,Newcastle United,17,14.186252199113367,20.762745589017868,3.1614764854311943,player
3,4456,Chris Wood,28,2323,18,12.47575643658638,3,2.3563519548624754,51,15,1,0,F S,Nottingham Forest,15,10.192249804735184,11.332491640001535,1.3927944768220186,player
4,6552,Bryan Mbeumo,28,2519,15,10.180879693478346,4,7.763437854126096,60,50,2,0,D F M,Brentford,11,7.136204246431589,20.097389437258244,7.739358428865671,player
5,8497,Cole Palmer,28,2479,14,13.60785699263215,6,9.766083031892776,102,69,4,0,M,Chelsea,11,10.563181560486557,22.978556850925088,7.2019323371350765,player
6,7080,Matheus Cunha,26,2158,13,6.695632383227348,4,6.292770346626639,86,43,3,0,F M S,Wolverhampton Wanderers,13,6.695632383227348,15.532685063779354,6.229968358762562,player
7,8865,Ollie Watkins,29,2121,13,16.21034386754036,6,3.31786048412323,72,21,0,0,F S,Aston Villa,11,14.688006073236464,16.042568415403366,2.6828529611229897,player
8,5735,Jean-Philippe Mateta,27,2153,12,13.262070763856173,2,3.612476220354438,54,26,2,0,F S,Crystal Palace,10,11.739733029156923,15.480508914217353,2.6924072885885835,player
9,5786,Yoane Wissa,25,2043,12,14.40400069206953,2,2.281300328671932,62,19,2,0,F M S,Brentford,12,14.40400069206953,20.01479181274772,3.901313431560993,player
10,6963,Justin Kluivert,27,1905,12,10.10940053127706,6,4.7975802924484015,56,39,6,0,M S,Bournemouth,6,5.5423873998224735,13.834104228764772,5.073739780113101,player
11,4105,Raúl Jiménez,28,1809,10,11.961864560842514,3,3.4909527394920588,76,15,3,0,F S,Fulham,7,9.6783579736948,14.161849589087067,4.109031109139323,player
12,8868,Liam Delap,27,2167,10,10.287600941956043,2,2.6852929890155792,55,18,8,0,F S,Ipswich,8,8.765263266861439,12.503040708601477,2.3090162966400385,player
13,5220,Kai Havertz,21,1848,9,11.7567791454494,3,2.870583821088076,52,16,4,0,F M,Arsenal,9,11.7567791454494,15.865237101912498,4.696250442415476,player
14,6818,James Maddison,26,1525,9,5.785530749708414,5,4.227351136505604,37,33,6,0,M S,Tottenham,9,5.785530749708414,13.587522245943546,6.948407521471381,player
15,10048,Nicolas Jackson,23,1799,9,12.69150261580944,5,3.297819571569562,63,25,5,0,F S,Chelsea,9,12.69150261580944,15.456820771098135,2.84748069383204,player
16,10408,Luis Díaz,28,1874,9,8.44802911579609,4,4.450430917553604,54,39,2,0,F M S,Liverpool,9,8.44802911579609,19.968602813780308,8.557804137468338,player
17,10760,Brennan Johnson,25,1727,9,9.888225626200438,2,2.121981587260961,49,15,4,0,F M S,Tottenham,9,9.888225626200438,14.221506748348476,3.490306168794632,player
18,8272,João Pedro,22,1631,8,6.783183487132192,6,4.406644674018025,39,22,3,0,F M S,Brighton,5,4.49967691488564,13.392270851880312,6.290030941367149,player
19,11296,Cody Gakpo,26,1435,8,7.0785902831703424,3,4.213390661403537,44,30,4,0,F M S,Liverpool,8,7.0785902831703424,15.656454613432288,5.603423799388111,player
20,453,Son Heung-Min,25,1835,7,6.815732242539525,9,8.606489922851324,51,47,1,0,F M S,Tottenham,6,5.293394574895501,16.54250206053257,5.96799860149622,player
21,500,Alex Iwobi,28,2327,7,4.187718514353037,4,6.578779387287796,52,48,1,0,D F M S,Fulham,7,4.187718514353037,17.525329769589007,8.742300789803267,player
22,501,Danny Welbeck,21,1507,7,7.411339405924082,4,1.6913414858281612,42,16,2,0,F S,Brighton,7,7.411339405924082,11.972252633422611,4.714782349765301,player
23,755,Jamie Vardy,26,2182,7,9.81077248416841,3,2.881069660186768,44,15,4,0,F,Leicester,6,9.049603616818786,11.697507295757532,0.6154491845518351,player
24,1228,Bruno Fernandes,27,2294,7,8.79693365469575,7,6.785764256492257,71,60,2,2,F M,Manchester United,4,6.513427268713713,18.979288971051574,10.42752356082201,player
25,1679,Dominic Solanke,19,1698,7,9.69375879690051,3,2.36846986040473,48,13,0,0,F,Tottenham,7,9.69375879690051,12.731845553964376,2.5901747569441795,player
26,1776,Jarrod Bowen,24,2111,7,6.6944834385067225,4,5.477581337094307,61,41,1,0,F M,West Ham,6,5.93331460095942,10.459220558404922,2.1499844882637262,player
27,5675,Ismaila Sarr,28,1941,7,9.376350492238998,3,7.040864322334528,43,31,3,0,F M S,Crystal Palace,7,9.376350492238998,18.7062934730202,6.333087330684066,player
28,6055,Phil Foden,23,1610,7,5.549630206078291,2,5.247917555272579,50,42,2,0,F M S,Manchester City,7,5.549630206078291,12.892741076648235,5.273441381752491,player
29,6691,Dejan Kulusevski,27,2161,7,5.163171479478478,4,6.387374710291624,43,62,3,0,F M S,Tottenham,7,5.163171479478478,15.719758842140436,5.70547001529485,player
30,9156,Kevin Schade,28,1506,7,6.034288167953491,2,2.800496128387749,38,14,2,0,F M S,Brentford,7,6.034288167953491,11.349975168704988,3.101454984396696,player
31,9662,Dango Ouattara,25,1512,7,9.6040574349463,4,4.980179606005549,48,26,1,0,F M S,Bournemouth,7,9.6040574349463,15.922490917146206,3.3532563988119364,player
32,10806,Kaoru Mitoma,28,2251,7,8.29288899153471,3,4.616389259696007,45,32,0,0,F M S,Brighton,7,8.29288899153471,17.915579333901405,7.048836503177881,player
