h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,understat_id
0,a,2.6703,2.8047,2.6703,2.04353,"{'att': 260, 'def': 23}","{'att': 224, 'def': 24}",8,5,2,1,1.2989000000000002,w,2024-08-17 16:30:00,1,0,0,3,0.62677,Villa
1,h,1.31664,1.41399,1.31664,1.41399,"{'att': 311, 'def': 18}","{'att': 175, 'def': 30}",3,10,0,2,1.2362000000000002,l,2024-08-24 16:30:00,0,0,1,0,-0.09735,Villa
2,a,2.16385,0.774741,2.16385,0.774741,"{'att': 314, 'def': 30}","{'att': 224, 'def': 35}",6,3,2,1,2.448,w,2024-08-31 14:00:00,1,0,0,3,1.389109,Villa
3,h,3.15876,0.852158,3.15876,0.852158,"{'att': 121, 'def': 23}","{'att': 294, 'def': 18}",9,3,3,2,2.7595,w,2024-09-14 16:30:00,1,0,0,3,2.306602,Villa
4,h,2.37351,0.520117,2.37351,0.520117,"{'att': 236, 'def': 20}","{'att': 216, 'def': 16}",9,4,3,1,2.6481,w,2024-09-21 14:00:00,1,0,0,3,1.853393,Villa
5,a,1.14494,1.84608,1.14494,1.84608,"{'att': 262, 'def': 22}","{'att': 265, 'def': 16}",5,6,2,2,0.8247,d,2024-09-29 13:00:00,0,1,0,1,-0.7011399999999999,Villa
6,h,0.532809,0.448537,0.532809,0.448537,"{'att': 199, 'def': 14}","{'att': 236, 'def': 17}",9,1,0,0,1.3408,d,2024-10-06 13:00:00,0,1,0,1,0.0842719999999999,Villa
7,a,1.43595,2.63074,1.43595,1.86957,"{'att': 252, 'def': 15}","{'att': 247, 'def': 20}",9,3,3,1,0.5631,w,2024-10-19 14:00:00,1,0,0,3,-0.4336199999999999,Villa
8,h,1.974,0.328651,1.974,0.328651,"{'att': 186, 'def': 18}","{'att': 229, 'def': 26}",16,6,1,1,2.5908,d,2024-10-26 14:00:00,0,1,0,1,1.645349,Villa
9,a,2.48749,2.09751,2.48749,2.09751,"{'att': 178, 'def': 17}","{'att': 234, 'def': 43}",3,11,1,4,1.6758,l,2024-11-03 14:00:00,0,0,1,0,0.38998,Villa
10,a,1.66337,2.68196,1.66337,2.68196,"{'att': 389, 'def': 22}","{'att': 224, 'def': 26}",4,7,0,2,0.7257,l,2024-11-09 20:00:00,0,0,1,0,-1.01859,Villa
11,h,3.04455,1.61437,2.28338,1.61437,"{'att': 111, 'def': 15}","{'att': 348, 'def': 22}",11,2,2,2,2.3213,d,2024-11-23 15:00:00,0,1,0,1,0.6690100000000001,Villa
12,a,0.875443,1.94939,0.875443,1.94939,"{'att': 396, 'def': 10}","{'att': 243, 'def': 30}",4,4,0,3,0.6308,l,2024-12-01 13:30:00,0,0,1,0,-1.073947,Villa
13,h,3.21673,1.13266,2.45556,1.13266,"{'att': 211, 'def': 19}","{'att': 225, 'def': 31}",11,5,3,1,2.6043000000000003,w,2024-12-04 20:15:00,1,0,0,3,1.3229000000000002,Villa
14,h,2.51338,0.385832,2.51338,0.385832,"{'att': 276, 'def': 35}","{'att': 239, 'def': 27}",13,7,1,0,2.7499,w,2024-12-07 15:00:00,1,0,0,3,2.127548,Villa
15,a,0.389423,2.2861,0.389423,2.2861,"{'att': 237, 'def': 14}","{'att': 277, 'def': 16}",7,5,1,2,0.198,l,2024-12-14 17:30:00,0,0,1,0,-1.896677,Villa
16,h,2.05988,1.09627,2.05988,1.09627,"{'att': 257, 'def': 14}","{'att': 294, 'def': 15}",7,4,2,1,2.0925,w,2024-12-21 12:30:00,1,0,0,3,0.96361,Villa
17,a,0.225522,2.82867,0.225522,2.82867,"{'att': 304, 'def': 14}","{'att': 171, 'def': 28}",2,20,0,3,0.0707,l,2024-12-26 15:00:00,0,0,1,0,-2.603148,Villa
18,h,1.87997,0.938042,1.1188,0.938042,"{'att': 199, 'def': 20}","{'att': 275, 'def': 32}",13,6,2,2,2.1243,d,2024-12-30 19:45:00,0,1,0,1,0.1807579999999999,Villa
19,h,2.3456,0.81548,2.3456,0.81548,"{'att': 262, 'def': 29}","{'att': 396, 'def': 19}",9,3,2,1,2.5573,w,2025-01-04 15:00:00,1,0,0,3,1.53012,Villa
20,a,1.28522,1.23126,1.28522,1.23126,"{'att': 219, 'def': 15}","{'att': 271, 'def': 28}",5,4,1,0,1.3870999999999998,w,2025-01-15 19:30:00,1,0,0,3,0.05396,Villa
21,a,1.20602,1.64458,1.20602,1.64458,"{'att': 210, 'def': 14}","{'att': 150, 'def': 22}",1,8,2,2,1.0374,d,2025-01-18 17:30:00,0,1,0,1,-0.4385599999999998,Villa
22,h,0.907851,1.67886,0.907851,1.67886,"{'att': 269, 'def': 31}","{'att': 196, 'def': 31}",7,5,1,1,0.7566999999999999,d,2025-01-26 16:30:00,0,1,0,1,-0.771009,Villa
23,a,0.742809,2.00146,0.742809,2.00146,"{'att': 161, 'def': 14}","{'att': 294, 'def': 24}",4,2,0,2,0.4517,l,2025-02-01 17:30:00,0,0,1,0,-1.2586509999999995,Villa
24,h,2.89841,0.332864,2.89841,0.332864,"{'att': 115, 'def': 15}","{'att': 317, 'def': 24}",19,0,1,1,2.853,d,2025-02-15 15:00:00,0,1,0,1,2.5655460000000003,Villa
25,h,1.02269,2.04279,1.02269,2.04279,"{'att': 230, 'def': 20}","{'att': 239, 'def': 18}",13,17,2,2,0.6596,d,2025-02-19 15:00:00,0,1,0,1,-1.0201,Villa
26,h,2.69413,2.17418,2.69413,2.17418,"{'att': 270, 'def': 28}","{'att': 293, 'def': 25}",5,7,2,1,1.7705000000000002,w,2025-02-22 17:30:00,1,0,0,3,0.5199500000000001,Villa
27,a,0.667217,4.02522,0.667217,4.02522,"{'att': 120, 'def': 21}","{'att': 270, 'def': 42}",1,9,1,4,0.0199,l,2025-02-25 19:30:00,0,0,1,0,-3.358003,Villa
28,a,1.29638,0.637743,1.29638,0.637743,"{'att': 243, 'def': 12}","{'att': 156, 'def': 27}",5,10,1,0,1.9199,w,2025-03-08 17:30:00,1,0,0,3,0.6586370000000001,Villa
29,a,1.20715,0.558009,1.20715,0.558009,"{'att': 250, 'def': 20}","{'att': 240, 'def': 32}",4,12,3,0,1.9562,w,2025-04-02 19:45:00,1,0,0,3,0.649141,Villa
30,h,2.63349,0.96769,2.63349,0.96769,"{'att': 189, 'def': 19}","{'att': 242, 'def': 23}",7,4,2,1,2.4585,w,2025-04-05 16:30:00,1,0,0,3,1.6658,Villa
