player names,one plus ,two plus,contest
Danny Welbeck,3/1,25/1,Brighton v Leeds
Georginio Rutter,10/3,28/1,Brighton v Leeds
Yankuba Minteh,4/1,,Brighton v Leeds
Diego Gomez,5/1,,Brighton v Leeds
Yasin Ayari,5/1,,Brighton v Leeds
Carlos Baleba,7/1,,Brighton v Leeds
Mats Wieffer,7/1,,Brighton v Leeds
Ferdi Kadioglu,9/1,,Brighton v Leeds
Dominic Calvert-Lewin,9/2,,Brighton v Leeds
Noah Okafor,5/1,,Brighton v Leeds
Sean Longstaff,8/1,,Brighton v Leeds
Brenden Aaronson,17/2,,Brighton v Leeds
Ao Tanaka,9/1,,Brighton v Leeds
Gabriel Gudmondsson,10/1,,Brighton v Leeds
Ethan Ampadu,11/1,,Brighton v Leeds
Jayden Bogle,11/1,,Brighton v Leeds
Jaka Bijol,14/1,,Brighton v Leeds
Zian Flemming,9/1,9/1,Burnley v Arsenal
Jaidon Anthony,9/1,12/1,Burnley v Arsenal
Jacob Bruun Larsen,10/1,20/1,Burnley v Arsenal
Josh Cullen,11/1,33/1,Burnley v Arsenal
Quilindschy Hartman,14/1,33/1,Burnley v Arsenal
Lesley Ugochukwu,16/1,,Burnley v Arsenal
Axel Tuanzebe,20/1,,Burnley v Arsenal
Kyle Walker,22/1,,Burnley v Arsenal
Maxime Esteve,28/1,,Burnley v Arsenal
Viktor Gyokeres,13/8,,Burnley v Arsenal
Bukayo Saka,21/10,,Burnley v Arsenal
Eberechi Eze,14/5,,Burnley v Arsenal
Declan Rice,15/4,,Burnley v Arsenal
Leandro Trossard,15/4,,Burnley v Arsenal
Martin Zubimendi,11/2,,Burnley v Arsenal
Piero Hincapie,8/1,,Burnley v Arsenal
Cristhian Mosquera,8/1,,Burnley v Arsenal
Riccardo Calafiori,9/1,,Burnley v Arsenal
Jean-Philippe Mateta,5/2,18/1,Crystal Palace v Brentford
Ismaila Sarr,14/5,20/1,Crystal Palace v Brentford
Daichi Kamada,17/4,,Crystal Palace v Brentford
Tyrick Mitchell,19/4,,Crystal Palace v Brentford
Daniel Munoz,19/4,,Crystal Palace v Brentford
Will Hughes,11/2,,Crystal Palace v Brentford
Maxence Lacroix,15/2,,Crystal Palace v Brentford
Chris Richards,9/1,,Crystal Palace v Brentford
Dango Ouattara,4/1,,Crystal Palace v Brentford
Kevin Schade,17/4,,Crystal Palace v Brentford
Igor Thiago,9/2,,Crystal Palace v Brentford
Mikkel Damsgaard,5/1,,Crystal Palace v Brentford
Yehor Yarmolyuk,13/2,,Crystal Palace v Brentford
Jordan Henderson,9/1,,Crystal Palace v Brentford
Nathan Collins,14/1,,Crystal Palace v Brentford
Sepp van den Berg,14/1,,Crystal Palace v Brentford
Aaron Hickey,16/1,,Crystal Palace v Brentford
Alex Iwobi,4/1,33/1,Fulham v Wolves
Harry Wilson,4/1,33/1,Fulham v Wolves
Ryan Sessegnon,17/4,,Fulham v Wolves
Emile Smith Rowe,11/2,,Fulham v Wolves
Sander Berge,6/1,,Fulham v Wolves
Kenny Tete,17/2,,Fulham v Wolves
Sasa Lukic,17/2,,Fulham v Wolves
Jhon Arias,9/2,,Fulham v Wolves
Jorgen Strand Larsen,19/4,,Fulham v Wolves
Hwang Hee-chan,7/1,,Fulham v Wolves
Marshall Munetsi,9/1,,Fulham v Wolves
Ladislav Krejci,12/1,,Fulham v Wolves
Santiago Bueno,14/1,,Fulham v Wolves
Emmanuel Agbadou,18/1,,Fulham v Wolves
Toti Gomes,18/1,,Fulham v Wolves
Morgan Gibbs-White,4/1,40/1,Nottingham Forest v Man Utd
Igor Jesus,19/4,12/1,Nottingham Forest v Man Utd
Callum Hudson-Odoi,5/1,16/1,Nottingham Forest v Man Utd
Dan Ndoye,11/2,18/1,Nottingham Forest v Man Utd
Elliot Anderson,6/1,33/1,Nottingham Forest v Man Utd
Neco Williams,15/2,33/1,Nottingham Forest v Man Utd
Nikola Milenkovic,12/1,,Nottingham Forest v Man Utd
Murillo,12/1,,Nottingham Forest v Man Utd
Nicolo Savona,12/1,,Nottingham Forest v Man Utd
Bruno Fernandes,2/1,,Nottingham Forest v Man Utd
Matheus Cunha,12/5,,Nottingham Forest v Man Utd
Bryan Mbeumo,13/5,,Nottingham Forest v Man Utd
Benjamin Sesko,15/4,,Nottingham Forest v Man Utd
Amad Diallo,15/4,,Nottingham Forest v Man Utd
Casemiro,9/2,,Nottingham Forest v Man Utd
Diogo Dalot,5/1,,Nottingham Forest v Man Utd
Luke Shaw,5/1,,Nottingham Forest v Man Utd
Matthijs de Ligt,15/2,,Nottingham Forest v Man Utd
Mohammed Kudus,3/1,25/1,Tottenham v Chelsea
Brennan Johnson,18/5,33/1,Tottenham v Chelsea
Xavi Simons,15/4,33/1,Tottenham v Chelsea
Randal Kolo Muani,17/4,12/1,Tottenham v Chelsea
Pedro Porro,15/2,33/1,Tottenham v Chelsea
Djed Spence,9/1,40/1,Tottenham v Chelsea
Rodrigo Bentancur,11/1,40/1,Tottenham v Chelsea
Joao Pedro,2/1,,Tottenham v Chelsea
Pedro Neto,4/1,,Tottenham v Chelsea
Alejandro Garnacho,4/1,,Tottenham v Chelsea
Enzo Fernandez,4/1,,Tottenham v Chelsea
Marc Guiu,17/4,,Tottenham v Chelsea
Reece James,13/2,,Tottenham v Chelsea
Moises Caicedo,11/1,,Tottenham v Chelsea
Marc Cucurella,11/1,,Tottenham v Chelsea
Wesley Fofana,12/1,,Tottenham v Chelsea
Mohamed Salah,8/5,9/1,Liverpool v Aston Villa
Hugo Ekitike,29/10,22/1,Liverpool v Aston Villa
Cody Gakpo,18/5,33/1,Liverpool v Aston Villa
Dominik Szoboszlai,19/4,20/1,Liverpool v Aston Villa
Alexis MacAllister,11/2,,Liverpool v Aston Villa
Ryan Gravenberch,6/1,,Liverpool v Aston Villa
Conor Bradley,6/1,,Liverpool v Aston Villa
Milos Kerkez,9/1,,Liverpool v Aston Villa
Ollie Watkins,13/5,,Liverpool v Aston Villa
Morgan Rogers,19/4,,Liverpool v Aston Villa
Evann Guessand,11/2,,Liverpool v Aston Villa
John McGinn,7/1,,Liverpool v Aston Villa
Amadou Onana,17/2,,Liverpool v Aston Villa
Boubacar Kamara,9/1,,Liverpool v Aston Villa
Matty Cash,14/1,,Liverpool v Aston Villa
Pau Torres,14/1,,Liverpool v Aston Villa
Jarrod Bowen,19/4,20/1,West Ham v Newcastle
Callum Wilson,5/1,22/1,West Ham v Newcastle
Lucas Paqueta,7/1,28/1,West Ham v Newcastle
Crysencio Summerville,15/2,,West Ham v Newcastle
El Hadji Malick Diouf,10/1,,West Ham v Newcastle
Aaron Wan-Bissaka,11/1,,West Ham v Newcastle
Jean-Clair Todibo,18/1,,West Ham v Newcastle
Nick Woltemade,11/4,,West Ham v Newcastle
Anthony Gordon,3/1,,West Ham v Newcastle
Jacob Murphy,7/2,,West Ham v Newcastle
Kieran Trippier,11/2,,West Ham v Newcastle
Bruno Guimaraes,11/2,,West Ham v Newcastle
Sandro Tonali,6/1,,West Ham v Newcastle
Joelinton,13/2,,West Ham v Newcastle
Malick Thiaw,9/1,,West Ham v Newcastle
Dan Burn,10/1,,West Ham v Newcastle
Savinho,23/10,14/1,Man City v Bournemouth
Erling Haaland,12/5,16/1,Man City v Bournemouth
Jeremy Doku,11/4,20/1,Man City v Bournemouth
Phil Foden,3/1,25/1,Man City v Bournemouth
Tijjani Reijnders,9/2,,Man City v Bournemouth
Matheus Nunes,11/2,,Man City v Bournemouth
Nico O'Reilly,6/1,,Man City v Bournemouth
Josko Gvardiol,10/1,,Man City v Bournemouth
Antoine Semenyo,17/4,,Man City v Bournemouth
Justin Kluivert,6/1,,Man City v Bournemouth
Marcus Tavernier,13/2,,Man City v Bournemouth
Alex Scott,9/1,,Man City v Bournemouth
Adrien Truffert,9/1,,Man City v Bournemouth
Marcos Senesi,12/1,,Man City v Bournemouth
Alejandro Jimenez,14/1,,Man City v Bournemouth
Tyler Adams,14/1,,Man City v Bournemouth
Wilson Isidor,17/4,28/1,Sunderland v Everton
Bertrand Traore,5/1,,Sunderland v Everton
Enzo Le Fee,7/1,,Sunderland v Everton
Granit Xhaka,8/1,,Sunderland v Everton
Chris Rigg,9/1,,Sunderland v Everton
Trai Hume,11/1,,Sunderland v Everton
Nordi Mukiele,14/1,,Sunderland v Everton
Omar Alderete,14/1,,Sunderland v Everton
Reinildo Mandava,14/1,,Sunderland v Everton
Noah Sadiki,16/1,,Sunderland v Everton
Jack Grealish,18/5,,Sunderland v Everton
Beto,4/1,,Sunderland v Everton
Iliman Ndiaye,11/2,,Sunderland v Everton
Kiernan Dewsbury-Hall,13/2,,Sunderland v Everton
James Garner,9/1,,Sunderland v Everton
Idrissa Gueye,11/1,,Sunderland v Everton
James Tarkowski,14/1,,Sunderland v Everton
Jake O'Brien,14/1,,Sunderland v Everton
Michael Keane,14/1,,Sunderland v Everton
