player names,one plus ,two plus,contest
Chris Wood,4/1,40/1,Nottingham Forest v Chelsea
Morgan Gibbs-White,19/4,16/1,Nottingham Forest v Chelsea
Callum Hudson-Odoi,6/1,33/1,Nottingham Forest v Chelsea
Oleksandr Zinchenko,13/2,33/1,Nottingham Forest v Chelsea
Joao Pedro,12/5,33/1,Nottingham Forest v Chelsea
Enzo Fernandez,15/4,,Nottingham Forest v Chelsea
Alejandro Garnacho,4/1,,Nottingham Forest v Chelsea
Pedro Neto,4/1,,Nottingham Forest v Chelsea
Ismaila Sarr,15/4,28/1,Crystal Palace v Bournemouth
Daichi Kamada,5/1,,Crystal Palace v Bournemouth
Daniel Munoz,11/2,,Crystal Palace v Bournemouth
Tyrick Mitchell,11/2,,Crystal Palace v Bournemouth
Evanilson,5/1,,Crystal Palace v Bournemouth
Antoine Semenyo,11/2,,Crystal Palace v Bournemouth
David Brooks,6/1,,Crystal Palace v Bournemouth
Marcus Tavernier,6/1,,Crystal Palace v Bournemouth
Erling Haaland,29/10,20/1,Man City v Everton
Phil Foden,29/10,20/1,Man City v Everton
Savinho,3/1,20/1,Man City v Everton
Tijani Reijnders,4/1,33/1,Man City v Everton
Oscar Bobb,9/2,,Man City v Everton
Matheus Nunes,5/1,,Man City v Everton
Nico O'Reilly,6/1,,Man City v Everton
Josko Gvardiol,10/1,,Man City v Everton
Thierno Barry,13/2,,Man City v Everton
Iliman Ndiaye,17/2,,Man City v Everton
Kiernan Dewsbury-Hall,10/1,,Man City v Everton
James Garner,14/1,,Man City v Everton
Idrissa Gueye,16/1,,Man City v Everton
Tim Iroegbunam,16/1,,Man City v Everton
James Tarkowski,18/1,,Man City v Everton
Jake O'Brien,20/1,,Man City v Everton
Vitaliy Mykolenko,22/1,,Man City v Everton
Wilson Isidor,5/1,,Sunderland v Wolves
Bertrand Traore,5/1,,Sunderland v Wolves
Simon Adingra,11/2,,Sunderland v Wolves
Enzo Le Fee,7/1,,Sunderland v Wolves
Granit Xhaka,7/1,,Sunderland v Wolves
Arthur Masuaku,9/1,,Sunderland v Wolves
Trai Hume,9/1,,Sunderland v Wolves
Nordi Mukiele,11/1,,Sunderland v Wolves
Dan Ballard,12/1,,Sunderland v Wolves
Jhon Arias,5/1,,Sunderland v Wolves
Jorgen Strand Larsen,5/1,,Sunderland v Wolves
Marshall Munetsi,9/1,,Sunderland v Wolves
Joao Gomes,10/1,,Sunderland v Wolves
Jackson Tchatchoua,10/1,,Sunderland v Wolves
Ladislav Krejci,20/1,,Sunderland v Wolves
Alex Iwobi,15/2,16/1,Fulham v Arsenal
Ryan Sessegnon,15/2,20/1,Fulham v Arsenal
Harry Wilson,8/1,33/1,Fulham v Arsenal
Samuel Chukwueze,9/1,,Fulham v Arsenal
Tom Cairney,11/1,,Fulham v Arsenal
Sander Berge,12/1,,Fulham v Arsenal
Timothy Castagne,12/1,,Fulham v Arsenal
Calvin Bassey,20/1,,Fulham v Arsenal
Joachim Andersen,20/1,,Fulham v Arsenal
Viktor Gyokeres,12/5,,Fulham v Arsenal
Bukayo Saka,13/5,,Fulham v Arsenal
Eberechi Eze,18/5,,Fulham v Arsenal
Leandro Trossard,5/1,,Fulham v Arsenal
Declan Rice,11/2,,Fulham v Arsenal
Martin Zubimendi,15/2,,Fulham v Arsenal
Jaidon Anthony,6/1,,Burnley v Leeds
Josh Cullen,15/2,,Burnley v Leeds
Quilindschy Hartman,9/1,,Burnley v Leeds
Armando Broja,9/1,,Burnley v Leeds
Josh Laurent,9/1,,Burnley v Leeds
Loum Tchaouna,9/1,,Burnley v Leeds
Axel Tuanzebe,14/1,,Burnley v Leeds
Florentino Luis,14/1,,Burnley v Leeds
Kyle Walker,14/1,,Burnley v Leeds
Maxime Esteve,20/1,,Burnley v Leeds
Dominic Calvert-Lewin,9/2,,Burnley v Leeds
Noah Okafor,9/2,,Burnley v Leeds
Anton Stach,19/4,,Burnley v Leeds
Sean Longstaff,7/1,,Burnley v Leeds
Brenden Aaronson,15/2,,Burnley v Leeds
Jayden Bogle,9/1,,Burnley v Leeds
Ethan Ampadu,9/1,,Burnley v Leeds
Pascal Struijk,9/1,,Burnley v Leeds
Gabriel Gudmundsson,11/1,,Burnley v Leeds
Mohamed Salah,19/10,11/1,Liverpool v Man Utd
Cody Gakpo,7/2,28/1,Liverpool v Man Utd
Dominik Szoboszlai,17/4,40/1,Liverpool v Man Utd
Alexander Isak,9/2,40/1,Liverpool v Man Utd
Alexis MacAllister,11/2,,Liverpool v Man Utd
Conor Bradley,6/1,,Liverpool v Man Utd
Ryan Gravenberch,7/1,,Liverpool v Man Utd
Bruno Fernandes,4/1,,Liverpool v Man Utd
Matheus Cunha,4/1,,Liverpool v Man Utd
Bryan Mbeumo,9/2,,Liverpool v Man Utd
Amad Diallo,13/2,,Liverpool v Man Utd
Benjamin Sesko,13/2,,Liverpool v Man Utd
Casemiro,7/1,,Liverpool v Man Utd
Luke Shaw,15/2,,Liverpool v Man Utd
Patrick Dorgu,8/1,,Liverpool v Man Utd
Matthijs de Ligt,10/1,,Liverpool v Man Utd
Mohammed Kudus,16/5,25/1,Tottenham v Aston Villa
Richarlison,10/3,28/1,Tottenham v Aston Villa
Xavi Simons,18/5,28/1,Tottenham v Aston Villa
Pedro Porro,6/1,,Tottenham v Aston Villa
Lucas Bergvall,7/1,,Tottenham v Aston Villa
Djed Spence,8/1,,Tottenham v Aston Villa
Pape Matar Sarr,8/1,,Tottenham v Aston Villa
Rodrigo Bentancur,9/1,,Tottenham v Aston Villa
Ollie Watkins,5/1,,Tottenham v Aston Villa
Morgan Rogers,5/1,,Tottenham v Aston Villa
Donyell Malen,11/2,,Tottenham v Aston Villa
John McGinn,15/2,,Tottenham v Aston Villa
Boubacar Kamara,9/1,,Tottenham v Aston Villa
Lucas Digne,9/1,,Tottenham v Aston Villa
Lamare Bogarde,16/1,,Tottenham v Aston Villa
Matty Cash,16/1,,Tottenham v Aston Villa
Pau Torres,16/1,,Tottenham v Aston Villa
