player names,one plus ,two plus,contest
Igor Thiago,9/5,11/1,Brentford v Burnley
Kevin Schade,23/10,14/1,Brentford v Burnley
Dango Ouattara,23/10,14/1,Brentford v Burnley
Mikkel Damsgaard,3/1,22/1,Brentford v Burnley
Yehor Yarmolyuk,17/4,,Brentford v Burnley
Kristoffer Ajer,5/1,,Brentford v Burnley
Jordan Henderson,11/2,,Brentford v Burnley
Nathan Collins,17/2,,Brentford v Burnley
Quilindschy Hartman,17/4,,Brentford v Burnley
Jaidon Anthony,6/1,,Brentford v Burnley
Zian Flemming,6/1,,Brentford v Burnley
Loum Tchaouna,17/2,,Brentford v Burnley
Axel Tuanzebe,9/1,,Brentford v Burnley
Josh Cullen,11/1,,Brentford v Burnley
Lesley Ugochukwu,11/1,,Brentford v Burnley
Kyle Walker,12/1,,Brentford v Burnley
Erling Haaland,21/10,12/1,Man City v Leeds
Rayan Cherki,23/10,12/1,Man City v Leeds
Jeremy Doku,14/5,18/1,Man City v Leeds
Phil Foden,14/5,18/1,Man City v Leeds
Bernardo Silva,17/4,,Man City v Leeds
Nico Gonzalez,11/2,,Man City v Leeds
Matheus Nunes,11/2,,Man City v Leeds
Nico O'Reilly,17/2,,Man City v Leeds
Noah Okafor,15/2,,Man City v Leeds
Lukas Nmecha,8/1,,Man City v Leeds
Brenden Aaronson,10/1,,Man City v Leeds
Ilia Gruev,10/1,,Man City v Leeds
Ao Tanaka,10/1,,Man City v Leeds
Gabriel Gudmundsson,11/1,,Man City v Leeds
Jayden Bogle,11/1,,Man City v Leeds
Pascal Struijk,22/1,,Man City v Leeds
Wilson Isidor,15/4,33/1,Sunderland v Bournemouth
Granit Xhaka,4/1,40/1,Sunderland v Bournemouth
Bertrand Traore,19/4,,Sunderland v Bournemouth
Enzo Le Fee,5/1,,Sunderland v Bournemouth
Nordi Mukiele,6/1,,Sunderland v Bournemouth
Trai Hume,8/1,,Sunderland v Bournemouth
Reinildo Mandava,8/1,,Sunderland v Bournemouth
Noah Sadiki,11/1,,Sunderland v Bournemouth
Lutsharel Geertruida,11/1,,Sunderland v Bournemouth
Daniel Ballard,12/1,,Sunderland v Bournemouth
Marcus Tavernier,4/1,,Sunderland v Bournemouth
David Brooks,11/2,,Sunderland v Bournemouth
Tyler Adams,7/1,,Sunderland v Bournemouth
Evanilson,7/1,,Sunderland v Bournemouth
Lewis Cook,7/1,,Sunderland v Bournemouth
Alex Scott,15/2,,Sunderland v Bournemouth
Eli Junior Kroupi,8/1,,Sunderland v Bournemouth
Adrien Truffert,9/1,,Sunderland v Bournemouth
Marcos Senesi,10/1,,Sunderland v Bournemouth
Bafode Diakite,10/1,,Sunderland v Bournemouth
Jack Grealish,14/5,22/1,Everton v Newcastle
Thierno Barry,17/4,40/1,Everton v Newcastle
Iliman Ndiaye,5/1,33/1,Everton v Newcastle
Kiernan Dewsbury-Hall,6/1,33/1,Everton v Newcastle
Vitaliy Mykolenko,8/1,,Everton v Newcastle
James Garner,9/1,,Everton v Newcastle
Jake O'Brien,9/1,,Everton v Newcastle
Tim Iroegbunam,10/1,,Everton v Newcastle
Harvey Barnes,15/4,,Everton v Newcastle
Jacob Murphy,15/4,,Everton v Newcastle
Nick Woltemade,19/4,,Everton v Newcastle
Bruno Guimaraes,6/1,,Everton v Newcastle
Lewis Hall,7/1,,Everton v Newcastle
Sandro Tonali,15/2,,Everton v Newcastle
Joelinton,17/2,,Everton v Newcastle
Tino Livramento,10/1,,Everton v Newcastle
Yeremy Pino,3/1,28/1,Crystal Palace v Man Utd
Ismaila Sarr,4/1,40/1,Crystal Palace v Man Utd
Jean-Philippe Mateta,9/2,18/1,Crystal Palace v Man Utd
Daichi Kamada,5/1,28/1,Crystal Palace v Man Utd
Daniel Munoz,5/1,,Crystal Palace v Man Utd
Tyrick Mitchell,11/2,,Crystal Palace v Man Utd
Maxence Lacroix,15/2,,Crystal Palace v Man Utd
Marc Guehi,15/2,,Crystal Palace v Man Utd
Bryan Mbeumo,13/5,,Crystal Palace v Man Utd
Bruno Fernandes,7/2,,Crystal Palace v Man Utd
Amad Diallo,17/4,,Crystal Palace v Man Utd
Mason Mount,11/2,,Crystal Palace v Man Utd
Luke Shaw,6/1,,Crystal Palace v Man Utd
Patrick Dorgu,6/1,,Crystal Palace v Man Utd
Joshua Zirkzee,13/2,,Crystal Palace v Man Utd
Casemiro,8/1,,Crystal Palace v Man Utd
Leny Yoro,11/1,,Crystal Palace v Man Utd
Morgan Rogers,5/2,16/1,Aston Villa v Wolves
Donyell Malen,3/1,25/1,Aston Villa v Wolves
John McGinn,4/1,33/1,Aston Villa v Wolves
Ollie Watkins,4/1,33/1,Aston Villa v Wolves
Youri Tielemans,17/4,,Aston Villa v Wolves
Boubacar Kamara,11/2,,Aston Villa v Wolves
Lucas Digne,13/2,,Aston Villa v Wolves
Matty Cash,15/2,,Aston Villa v Wolves
Jorgen Strand Larsen,17/2,,Aston Villa v Wolves
Jackson Tchatchoua,17/2,,Aston Villa v Wolves
Tolu Arokodare,17/2,,Aston Villa v Wolves
Marshall Munetsi,9/1,,Aston Villa v Wolves
Joao Gomes,9/1,,Aston Villa v Wolves
David Moller Wolfe,9/1,,Aston Villa v Wolves
Toti Gomes,12/1,,Aston Villa v Wolves
Emmanuel Agbadou,12/1,,Aston Villa v Wolves
Morgan Gibbs-White,10/3,28/1,Nottingham Forest v Brighton
Dan Ndoye,11/2,18/1,Nottingham Forest v Brighton
Elliot Anderson,6/1,22/1,Nottingham Forest v Brighton
Igor Jesus,7/1,25/1,Nottingham Forest v Brighton
Nicolas Dominguez,7/1,,Nottingham Forest v Brighton
Ibrahim Sangare,15/2,,Nottingham Forest v Brighton
Neco Williams,8/1,,Nottingham Forest v Brighton
Nicolo Savona,9/1,,Nottingham Forest v Brighton
Murillo,10/1,,Nottingham Forest v Brighton
Yankuba Minteh,13/5,,Nottingham Forest v Brighton
Danny Welbeck,3/1,,Nottingham Forest v Brighton
Georginio Rutter,16/5,,Nottingham Forest v Brighton
Diego Gomez,6/1,,Nottingham Forest v Brighton
Yasin Ayari,6/1,,Nottingham Forest v Brighton
Carlos Baleba,8/1,,Nottingham Forest v Brighton
Mats Wieffer,9/1,,Nottingham Forest v Brighton
Ferdi Kadioglu,10/1,,Nottingham Forest v Brighton
Jarrod Bowen,16/5,25/1,West Ham v Liverpool
Callum Wilson,10/3,28/1,West Ham v Liverpool
El Hadji Malick Diouf,5/1,11/1,West Ham v Liverpool
Crysencio Summerville,11/2,20/1,West Ham v Liverpool
Mateus Fernandes,13/2,25/1,West Ham v Liverpool
Lucas Paqueta,7/1,40/1,West Ham v Liverpool
Aaron Wan-Bissaka,15/2,,West Ham v Liverpool
Freddie Potts,17/2,,West Ham v Liverpool
Jean-Clair Todibo,9/1,,West Ham v Liverpool
Mohamed Salah,19/10,,West Ham v Liverpool
Alexander Isak,13/5,,West Ham v Liverpool
Cody Gakpo,3/1,,West Ham v Liverpool
Dominik Szoboszlai,15/4,,West Ham v Liverpool
Andrew Robertson,11/2,,West Ham v Liverpool
Alexis MacAllister,13/2,,West Ham v Liverpool
Ryan Gravenberch,13/2,,West Ham v Liverpool
Joe Gomez,10/1,,West Ham v Liverpool
Joao Pedro,19/4,14/1,Chelsea v Arsenal
Alejandro Garnacho,5/1,33/1,Chelsea v Arsenal
Pedro Neto,5/1,,Chelsea v Arsenal
Enzo Fernandez,7/1,,Chelsea v Arsenal
Liam Delap,15/2,,Chelsea v Arsenal
Reece James,17/2,,Chelsea v Arsenal
Marc Cucurella,10/1,,Chelsea v Arsenal
Moises Caicedo,11/1,,Chelsea v Arsenal
Trevoh Chalobah,12/1,,Chelsea v Arsenal
Bukayo Saka,23/10,,Chelsea v Arsenal
Eberechi Eze,4/1,,Chelsea v Arsenal
Noni Madueke,9/2,,Chelsea v Arsenal
Declan Rice,19/4,,Chelsea v Arsenal
Mikel Merino,5/1,,Chelsea v Arsenal
Jurrien Timber,6/1,,Chelsea v Arsenal
Riccardo Calafiori,7/1,,Chelsea v Arsenal
Martin Zubimendi,9/1,,Chelsea v Arsenal
Piero Hincapie,11/1,,Chelsea v Arsenal
William Saliba,11/1,,Chelsea v Arsenal
Mohammed Kudus,3/1,25/1,Tottenham v Fulham
Randal Kolo Muani,7/2,28/1,Tottenham v Fulham
Xavi Simons,4/1,40/1,Tottenham v Fulham
Wilson Odobert,9/2,,Tottenham v Fulham
Joao Palhinha,7/1,,Tottenham v Fulham
Pedro Porro,7/1,,Tottenham v Fulham
Pape Sarr,15/2,,Tottenham v Fulham
Destiny Udogie,15/2,,Tottenham v Fulham
Harry Wilson,5/1,,Tottenham v Fulham
Alex Iwobi,5/1,,Tottenham v Fulham
Ryan Sessegnon,11/2,,Tottenham v Fulham
Raul Jimenez,13/2,,Tottenham v Fulham
Josh King,7/1,,Tottenham v Fulham
Sander Berge,9/1,,Tottenham v Fulham
Kenny Tete,10/1,,Tottenham v Fulham
