player names,one plus ,two plus,contest
Estevao,29/10,25/1,Chelsea v Fulham
Enzo Fernandez,10/3,28/1,Chelsea v Fulham
Joao Pedro,18/5,28/1,Chelsea v Fulham
Pedro Neto,15/4,33/1,Chelsea v Fulham
Reece James,17/4,40/1,Chelsea v Fulham
Liam Delap,9/2,,Chelsea v Fulham
Marc Cucurella,15/2,,Chelsea v Fulham
Moises Caicedo,15/2,,Chelsea v Fulham
Tosin Adarabioyo,10/1,,Chelsea v Fulham
Trevoh Chalobah,10/1,,Chelsea v Fulham
Joshua King,17/4,,Chelsea v Fulham
Alex Iwobi,15/2,,Chelsea v Fulham
Harry Wilson,15/2,,Chelsea v Fulham
Rodrigo Muniz,8/1,,Chelsea v Fulham
Ryan Sessegnon,8/1,,Chelsea v Fulham
Sander Berge,9/1,,Chelsea v Fulham
Kenny Tete,11/1,,Chelsea v Fulham
Sasa Lukic,11/1,,Chelsea v Fulham
Calvin Bassey,18/1,,Chelsea v Fulham
Joachim Andersen,18/1,,Chelsea v Fulham
Bruno Fernandes,5/2,16/1,Man Utd v Burnley
Matheus Cunha,16/5,28/1,Man Utd v Burnley
Bryan Mbeumo,18/5,33/1,Man Utd v Burnley
Amad Diallo,17/4,,Man Utd v Burnley
Casemiro,17/4,,Man Utd v Burnley
Luke Shaw,19/4,,Man Utd v Burnley
Patrick Dorgu,19/4,,Man Utd v Burnley
Benjamin Sesko,5/1,,Man Utd v Burnley
Matthijs de Ligt,6/1,,Man Utd v Burnley
Josh Cullen,15/2,,Man Utd v Burnley
Jaidon Anthony,9/1,,Man Utd v Burnley
Lyle Foster,9/1,,Man Utd v Burnley
Quilindschy Hartman,10/1,,Man Utd v Burnley
Hannibal Mejbri,10/1,,Man Utd v Burnley
Jacob Bruun Larsen,10/1,,Man Utd v Burnley
Lesley Ugochukwu,10/1,,Man Utd v Burnley
Hjalmar Ekdal,12/1,,Man Utd v Burnley
Kyle Walker,14/1,,Man Utd v Burnley
Maxime Esteve,16/1,,Man Utd v Burnley
Eliezer Mayenda,11/2,16/5,Sunderland v Brentford
Habib Diarra,11/2,,Sunderland v Brentford
Simon Adingra,11/2,,Sunderland v Brentford
Chemsdine Talbi,11/2,,Sunderland v Brentford
Granit Xhaka,13/2,,Sunderland v Brentford
Trai Hume,8/1,,Sunderland v Brentford
Reinildo Mandava,9/1,,Sunderland v Brentford
Omar Alderete,10/1,,Sunderland v Brentford
Jenson Seelt,12/1,,Sunderland v Brentford
Mikkel Damsgaard,4/6,,Sunderland v Brentford
Dango Ouattara,9/2,,Sunderland v Brentford
Keane Lewis-Potter,5/1,,Sunderland v Brentford
Kevin Schade,11/2,,Sunderland v Brentford
Jordan Henderson,8/1,,Sunderland v Brentford
Nathan Collins,10/1,,Sunderland v Brentford
Sepp Van den Berg,11/1,,Sunderland v Brentford
Mohammed Kudus,15/4,33/1,Tottenham v Bournemouth
Richarlison,4/1,40/1,Tottenham v Bournemouth
Brennan Johnson,4/1,40/1,Tottenham v Bournemouth
Pedro Porro,4/1,40/1,Tottenham v Bournemouth
Djed Spence,5/1,,Tottenham v Bournemouth
Rodrigo Bentancur,11/2,,Tottenham v Bournemouth
Pape Matar Sarr,6/1,,Tottenham v Bournemouth
Cristian Romero,8/1,,Tottenham v Bournemouth
Joao Palhinha,17/2,,Tottenham v Bournemouth
Micky van de Ven,17/2,,Tottenham v Bournemouth
Evanilson,5/1,,Tottenham v Bournemouth
David Brooks,11/2,,Tottenham v Bournemouth
Marcus Tavernier,11/2,,Tottenham v Bournemouth
Ryan Christie,11/2,,Tottenham v Bournemouth
Antoine Semenyo,6/1,,Tottenham v Bournemouth
Adrien Truffert,13/2,,Tottenham v Bournemouth
Marcos Senesi,15/2,,Tottenham v Bournemouth
Tyler Adams,10/1,,Tottenham v Bournemouth
Adam Smith,10/1,,Tottenham v Bournemouth
Jhon Arias,17/4,33/1,Wolves v Everton
Jorgen Strand Larsen,5/1,,Wolves v Everton
Jackson Tchatchoua,13/2,,Wolves v Everton
Matt Doherty,13/2,,Wolves v Everton
Marshall Munetsi,13/2,,Wolves v Everton
Joao Gomes,7/1,,Wolves v Everton
Toti Gomes,9/1,,Wolves v Everton
Emmanuel Agbadou,9/1,,Wolves v Everton
Santiago Bueno,10/1,,Wolves v Everton
Jack Grealish,15/4,,Wolves v Everton
Kiernan Dewsbury-Hall,11/2,,Wolves v Everton
Carlos Alcaraz,6/1,,Wolves v Everton
Iliman Ndiaye,6/1,,Wolves v Everton
Thierno Barry,6/1,,Wolves v Everton
Idrissa Gueye,17/2,,Wolves v Everton
James Tarkowski,9/1,,Wolves v Everton
Michael Keane,10/1,,Wolves v Everton
Jake O'Brien,10/1,,Wolves v Everton
Vitaliy Mykolenko,10/1,,Wolves v Everton
Anton Stach,19/4,22/1,Leeds v Newcastle
Wilfried Gnonto,11/2,33/1,Leeds v Newcastle
Joel Piroe,11/2,,Leeds v Newcastle
Daniel James,6/1,,Leeds v Newcastle
Sean Longstaff,13/2,,Leeds v Newcastle
Ilia Gruev,7/1,,Leeds v Newcastle
Gabriel Gudmundsson,17/2,,Leeds v Newcastle
Jayden Bogle,17/2,,Leeds v Newcastle
Pascal Struijk,9/1,,Leeds v Newcastle
Tino Livramento,29/10,,Leeds v Newcastle
Anthony Elanga,15/4,,Leeds v Newcastle
Harvey Barnes,19/4,,Leeds v Newcastle
Jacob Ramsey,5/1,,Leeds v Newcastle
Bruno Guimaraes,5/1,,Leeds v Newcastle
William Osula,11/2,,Leeds v Newcastle
Kieran Trippier,6/1,,Leeds v Newcastle
Sandro Tonali,13/2,,Leeds v Newcastle
Malick Thiaw,7/1,,Leeds v Newcastle
Dan Burn,10/1,,Leeds v Newcastle
Georginio Rutter,19/4,25/1,Brighton v Man City
Kaoru Mitoma,5/1,28/1,Brighton v Man City
Yankuba Minteh,11/2,28/1,Brighton v Man City
Matt O'Riley,11/2,33/1,Brighton v Man City
Maxim De Cuyper,13/2,40/1,Brighton v Man City
Mats Wieffer,15/2,,Brighton v Man City
Jack Hinshelwood,10/1,,Brighton v Man City
Jan Paul van Hecke,14/1,,Brighton v Man City
Jeremy Doku,16/5,,Brighton v Man City
Erling Haaland,7/2,,Brighton v Man City
Rayan Ait-Nouri,7/2,,Brighton v Man City
Bernardo Silva,15/4,,Brighton v Man City
Tijjani Reijnders,17/4,,Brighton v Man City
Oscar Bobb,9/2,,Brighton v Man City
Nico Gonzalez,5/1,,Brighton v Man City
Rico Lewis,6/1,,Brighton v Man City
John Stones,11/1,,Brighton v Man City
Morgan Gibbs-White,4/1,33/1,Nottingham Forest v West Ham
Elliot Anderson,17/4,,Nottingham Forest v West Ham
Callum Hudson-Odoi,9/2,,Nottingham Forest v West Ham
Neco Williams,19/4,,Nottingham Forest v West Ham
Dan Ndoye,5/1,,Nottingham Forest v West Ham
Chris Wood,11/2,,Nottingham Forest v West Ham
Ola Aina,6/1,,Nottingham Forest v West Ham
Ibrahim Sangare,15/2,,Nottingham Forest v West Ham
Murillo,15/2,,Nottingham Forest v West Ham
Nikola Milenkovic,15/2,,Nottingham Forest v West Ham
Jarrod Bowen,11/2,,Nottingham Forest v West Ham
Lucas Paqueta,15/2,,Nottingham Forest v West Ham
Niclas Fullkrug,8/1,,Nottingham Forest v West Ham
Kyle Walker-Peters,17/2,,Nottingham Forest v West Ham
Aaron Wan-Bissaka,11/1,,Nottingham Forest v West Ham
Nayef Aguerd,11/1,,Nottingham Forest v West Ham
Freddie Potts,12/1,,Nottingham Forest v West Ham
Max Kilman,16/1,,Nottingham Forest v West Ham
Mohamed Salah,5/2,18/1,Liverpool v Arsenal
Florian Wirtz,16/5,25/1,Liverpool v Arsenal
Hugo Ekitike,17/4,,Liverpool v Arsenal
Cody Gakpo,19/4,,Liverpool v Arsenal
Alexis Mac Allister,5/1,,Liverpool v Arsenal
Conor Bradley,11/2,,Liverpool v Arsenal
Ryan Gravenberch,7/1,,Liverpool v Arsenal
Milos Kerkez,17/2,,Liverpool v Arsenal
Ibrahima Konate,10/1,,Liverpool v Arsenal
Virgil Van Dijk,11/1,,Liverpool v Arsenal
Viktor Gyokeres,9/2,,Liverpool v Arsenal
Eberechi Eze,19/4,,Liverpool v Arsenal
Ethan Nwaneri,5/1,,Liverpool v Arsenal
Noni Madueke,11/2,,Liverpool v Arsenal
Declan Rice,6/1,,Liverpool v Arsenal
Martin Zubimendi,7/1,,Liverpool v Arsenal
Riccardo Calafiori,10/1,,Liverpool v Arsenal
Jurrien Timber,12/1,,Liverpool v Arsenal
Ollie Watkins,15/4,33/1,Aston Villa v Crystal Palace
Morgan Rogers,9/2,40/1,Aston Villa v Crystal Palace
Donyell Malen,19/4,,Aston Villa v Crystal Palace
John McGinn,19/4,,Aston Villa v Crystal Palace
Youri Tielemans,19/4,,Aston Villa v Crystal Palace
Amadou Onana,13/2,,Aston Villa v Crystal Palace
Ian Maatsen,13/2,,Aston Villa v Crystal Palace
Tyrone Mings,15/2,,Aston Villa v Crystal Palace
Matty Cash,10/1,,Aston Villa v Crystal Palace
Jean-Philippe Mateta,15/4,,Aston Villa v Crystal Palace
Ismaila Sarr,5/1,,Aston Villa v Crystal Palace
Daniel Munoz,6/1,,Aston Villa v Crystal Palace
Tyrick Mitchell,6/1,,Aston Villa v Crystal Palace
Maxence Lacroix,9/1,,Aston Villa v Crystal Palace
Chris Richards,10/1,,Aston Villa v Crystal Palace
