player names,one plus ,two plus,contest
Jaidon Anthony,5/1,12/1,Burnley v Newcastle
Zian Flemming,13/2,18/1,Burnley v Newcastle
Jacob Bruun Larsen,15/2,20/1,Burnley v Newcastle
Lucas Pires,10/1,33/1,Burnley v Newcastle
Anthony Gordon,21/10,,Burnley v Newcastle
Harvey Barnes,13/5,,Burnley v Newcastle
Yoane Wissa,11/4,,Burnley v Newcastle
Sandro Tonali,15/4,,Burnley v Newcastle
Cole Palmer,11/5,14/1,Chelsea v Bournemouth
Estevao,5/2,16/1,Chelsea v Bournemouth
Joao Pedro,13/5,18/1,Chelsea v Bournemouth
Pedro Neto,3/1,22/1,Chelsea v Bournemouth
Antoine Semenyo,9/2,,Chelsea v Bournemouth
Marcus Tavernier,11/2,,Chelsea v Bournemouth
Eli Junior Kroupi,13/2,,Chelsea v Bournemouth
Ryan Christie,8/1,,Chelsea v Bournemouth
Morgan Gibbs-White,18/5,33/1,Nottingham Forest v Everton
Elliot Anderson,17/4,33/1,Nottingham Forest v Everton
Omari Hutchinson,5/1,,Nottingham Forest v Everton
Callum Hudson-Odoi,11/2,,Nottingham Forest v Everton
Jack Grealish,15/4,,Nottingham Forest v Everton
Carlos Alcaraz,11/2,,Nottingham Forest v Everton
Dwight McNeil,6/1,,Nottingham Forest v Everton
Thierno Barry,13/2,,Nottingham Forest v Everton
Callum Wilson,9/2,16/1,West Ham v Brighton
Crysencio Summerville,5/1,22/1,West Ham v Brighton
Lucas Paqueta,11/2,33/1,West Ham v Brighton
Freddie Potts,11/2,,West Ham v Brighton
Yankuba Minteh,12/5,,West Ham v Brighton
Georginio Rutter,29/10,,West Ham v Brighton
Kaoru Mitoma,18/5,,West Ham v Brighton
Danny Welbeck,17/4,,West Ham v Brighton
Bukayo Saka,9/5,10/1,Arsenal v Aston Villa
Declan Rice,14/5,18/1,Arsenal v Aston Villa
Martin Odegaard,29/10,20/1,Arsenal v Aston Villa
Gabriel Martinelli,3/1,20/1,Arsenal v Aston Villa
Morgan Rogers,6/1,,Arsenal v Aston Villa
Lucas Digne,10/1,,Arsenal v Aston Villa
Youri Tielemans,10/1,,Arsenal v Aston Villa
John McGinn,11/1,,Arsenal v Aston Villa
Matheus Cunha,21/10,12/1,Man Utd v Wolves
Benjamin Sesko,13/5,18/1,Man Utd v Wolves
Joshua Zirkzee,7/2,28/1,Man Utd v Wolves
Diogo Dalot,18/5,33/1,Man Utd v Wolves
Jhon Arias,17/4,,Man Utd v Wolves
Jorgen Strand Larsen,17/2,,Man Utd v Wolves
Hwang Hee-chan,9/1,,Man Utd v Wolves
Jackson Tchatchoua,10/1,,Man Utd v Wolves
Yeremy Pino,17/4,33/1,Crystal Palace v Fulham
Justin Devenny,5/1,,Crystal Palace v Fulham
Jean-Philippe Mateta,5/1,,Crystal Palace v Fulham
Jefferson Lerma,6/1,,Crystal Palace v Fulham
Harry Wilson,4/1,,Crystal Palace v Fulham
Sasa Lukic,11/2,,Crystal Palace v Fulham
Emile Smith Rowe,6/1,,Crystal Palace v Fulham
Kevin,6/1,,Crystal Palace v Fulham
Hugo Ekitike,12/5,14/1,Liverpool v Leeds
Dominik Szoboszlai,5/2,16/1,Liverpool v Leeds
Florian Wirtz,29/10,22/1,Liverpool v Leeds
Alexis MacAllister,4/1,33/1,Liverpool v Leeds
Anton Stach,9/2,,Liverpool v Leeds
Dominic Calvert-Lewin,5/1,,Liverpool v Leeds
Noah Okafor,5/1,,Liverpool v Leeds
Brenden Aaronson,11/2,,Liverpool v Leeds
Igor Thiago,12/5,18/1,Brentford v Tottenham
Kevin Schade,14/5,22/1,Brentford v Tottenham
Keane Lewis-Potter,17/4,22/1,Brentford v Tottenham
Mathias Jensen,9/2,25/1,Brentford v Tottenham
Mohammed Kudus,3/1,33/1,Brentford v Tottenham
Richarlison,3/1,,Brentford v Tottenham
Randal Kolo Muani,18/5,,Brentford v Tottenham
Pedro Porro,7/1,,Brentford v Tottenham
Granit Xhaka,11/2,11/1,Sunderland v Man City
Brian Brobbey,6/1,20/1,Sunderland v Man City
Simon Adingra,7/1,33/1,Sunderland v Man City
Enzo Le Fee,9/1,,Sunderland v Man City
Rayan Cherki,9/5,,Sunderland v Man City
Phil Foden,13/5,,Sunderland v Man City
Erling Haaland,15/4,,Sunderland v Man City
Tijjani Reijnders,9/2,,Sunderland v Man City
Jaidon Anthony,5/1,14/1,Burnley v Newcastle
Zian Flemming,7/1,20/1,Burnley v Newcastle
Jacob Bruun Larsen,8/1,22/1,Burnley v Newcastle
Josh Laurent,12/1,28/1,Burnley v Newcastle
Anthony Gordon,23/10,,Burnley v Newcastle
Harvey Barnes,14/5,,Burnley v Newcastle
Yoane Wissa,29/10,,Burnley v Newcastle
Sandro Tonali,18/5,,Burnley v Newcastle
Cole Palmer,13/5,18/1,Chelsea v Bournemouth
Estevao,14/5,20/1,Chelsea v Bournemouth
Alejandro Garnacho,29/10,20/1,Chelsea v Bournemouth
Liam Delap,16/5,25/1,Chelsea v Bournemouth
Enzo Fernandez,10/3,25/1,Chelsea v Bournemouth
Malo Gusto,15/4,33/1,Chelsea v Bournemouth
Josh Acheampong,15/2,,Chelsea v Bournemouth
Antoine Semenyo,5/1,,Chelsea v Bournemouth
David Brooks,5/1,,Chelsea v Bournemouth
Marcus Tavernier,11/2,,Chelsea v Bournemouth
Justin Kluivert,7/1,,Chelsea v Bournemouth
Alex Scott,8/1,,Chelsea v Bournemouth
Adrien Truffert,9/1,,Chelsea v Bournemouth
Evanilson,10/1,,Chelsea v Bournemouth
James Hill,12/1,,Chelsea v Bournemouth
Morgan Gibbs-White,7/2,28/1,Nottingham Forest v Everton
Elliot Anderson,19/4,,Nottingham Forest v Everton
Omari Hutchinson,5/1,,Nottingham Forest v Everton
Callum Hudson-Odoi,11/2,,Nottingham Forest v Everton
Jack Grealish,5/1,,Nottingham Forest v Everton
Dwight McNeil,7/1,,Nottingham Forest v Everton
Thierno Barry,7/1,,Nottingham Forest v Everton
Carlos Alcaraz,15/2,,Nottingham Forest v Everton
Jarrod Bowen,3/1,28/1,West Ham v Brighton
Callum Wilson,17/4,12/1,West Ham v Brighton
Lucas Paqueta,5/1,,West Ham v Brighton
Freddie Potts,5/1,,West Ham v Brighton
Mateus Fernandes,11/2,,West Ham v Brighton
Soungoutou Magassa,13/2,,West Ham v Brighton
Kyle Walker-Peters,15/2,,West Ham v Brighton
Yankuba Minteh,21/10,,West Ham v Brighton
Danny Welbeck,17/4,,West Ham v Brighton
Diego Gomez,17/4,,West Ham v Brighton
Yasin Ayari,5/1,,West Ham v Brighton
James Milner,5/1,,West Ham v Brighton
Maxime De Cuyper,11/2,,West Ham v Brighton
Ferdi Kadioglu,15/2,,West Ham v Brighton
Yeremy Pino,9/2,33/1,Crystal Palace v Fulham
Jean-Philippe Mateta,11/2,,Crystal Palace v Fulham
Jefferson Lerma,13/2,,Crystal Palace v Fulham
Tyrick Mitchell,13/2,,Crystal Palace v Fulham
Harry Wilson,4/1,,Crystal Palace v Fulham
Sasa Lukic,11/2,,Crystal Palace v Fulham
Emile Smith Rowe,11/2,,Crystal Palace v Fulham
Kevin,6/1,,Crystal Palace v Fulham
Hugo Ekitike,23/10,14/1,Liverpool v Leeds
Dominik Szoboszlai,5/2,16/1,Liverpool v Leeds
Florian Wirtz,29/10,22/1,Liverpool v Leeds
Alexis MacAllister,4/1,40/1,Liverpool v Leeds
Anton Stach,19/4,,Liverpool v Leeds
Dominic Calvert-Lewin,5/1,,Liverpool v Leeds
Noah Okafor,5/1,,Liverpool v Leeds
Brenden Aaronson,11/2,,Liverpool v Leeds
Kevin Schade,5/2,18/1,Brentford v Tottenham
Mikkel Damsgaard,11/4,20/1,Brentford v Tottenham
Igor Thiago,7/2,28/1,Brentford v Tottenham
Keane Lewis-Potter,17/4,28/1,Brentford v Tottenham
Randal Kolo Muani,7/2,33/1,Brentford v Tottenham
Mohammed Kudus,15/4,,Brentford v Tottenham
Richarlison,17/4,,Brentford v Tottenham
Pedro Porro,6/1,,Brentford v Tottenham
Granit Xhaka,11/2,7/1,Sunderland v Man City
Brian Brobbey,6/1,16/1,Sunderland v Man City
Simon Adingra,7/1,28/1,Sunderland v Man City
Enzo Le Fee,9/1,,Sunderland v Man City
Rayan Cherki,13/10,,Sunderland v Man City
Phil Foden,13/5,,Sunderland v Man City
Erling Haaland,7/2,,Sunderland v Man City
Tijjani Reijnders,17/4,,Sunderland v Man City
