player names,one plus ,two plus,contest
Morgan Rogers,16/5,25/1,Aston Villa v Nottingham Forest
Lucas Digne,9/2,,Aston Villa v Nottingham Forest
Youri Tielemans,9/2,,Aston Villa v Nottingham Forest
Ollie Watkins,9/2,,Aston Villa v Nottingham Forest
John McGinn,5/1,,Aston Villa v Nottingham Forest
Matty Cash,13/2,,Aston Villa v Nottingham Forest
Boubacar Kamara,9/1,,Aston Villa v Nottingham Forest
Morgan Gibbs-White,13/2,,Aston Villa v Nottingham Forest
Omari Hutchinson,7/1,,Aston Villa v Nottingham Forest
Callum Hudson-Odoi,7/1,,Aston Villa v Nottingham Forest
Elliot Anderson,15/2,,Aston Villa v Nottingham Forest
Nicolas Dominguez,9/1,,Aston Villa v Nottingham Forest
Igor Jesus,9/1,,Aston Villa v Nottingham Forest
Oleksandr Zinchenko,11/1,,Aston Villa v Nottingham Forest
Neco Williams,16/1,,Aston Villa v Nottingham Forest
Diego Gomez,7/2,28/1,Brighton v Burnley
Brajan Gruda,18/5,33/1,Brighton v Burnley
Danny Welbeck,15/4,33/1,Brighton v Burnley
James Milner,19/4,,Brighton v Burnley
Yasin Ayari,19/4,,Brighton v Burnley
Maxime De Cuyper,5/1,,Brighton v Burnley
Ferdi Kadioglu,10/1,,Brighton v Burnley
Marcus Edwards,8/1,,Brighton v Burnley
Armando Broja,17/2,,Brighton v Burnley
Josh Laurent,11/1,,Brighton v Burnley
Lesley Ugochukwu,11/1,,Brighton v Burnley
Lucas Pires,11/1,,Brighton v Burnley
Loum Tchaouna,11/1,,Brighton v Burnley
Bashir Humphreys,14/1,,Brighton v Burnley
Hjalmar Ekdal,22/1,,Brighton v Burnley
Kyle Walker,22/1,,Brighton v Burnley
Jhon Arias,13/5,18/1,Wolves v West Ham
Fernando Lopez,15/4,33/1,Wolves v West Ham
Jackson Tchatchoua,15/2,33/1,Wolves v West Ham
Tolu Arokodare,17/2,,Wolves v West Ham
Matt Doherty,10/1,,Wolves v West Ham
Joao Gomes,11/1,,Wolves v West Ham
Jarrod Bowen,15/4,,Wolves v West Ham
Mateus Fernandes,19/4,,Wolves v West Ham
Lucas Paqueta,11/2,,Wolves v West Ham
Callum Wilson,15/2,,Wolves v West Ham
