player names,one plus ,two plus,contest
Antoine Semenyo,3/1,25/1,Bournemouth v Everton
Marcus Tavernier,15/4,40/1,Bournemouth v Everton
Amine Adli,5/1,28/1,Bournemouth v Everton
Evanilson,11/2,,Bournemouth v Everton
Alex Scott,15/2,,Bournemouth v Everton
Adrien Truffert,8/1,,Bournemouth v Everton
Tyler Adams,9/1,,Bournemouth v Everton
Bafode Diakite,10/1,,Bournemouth v Everton
Jack Grealish,10/3,,Bournemouth v Everton
Iliman Ndiaye,19/4,,Bournemouth v Everton
Carlos Alcaraz,13/2,,Bournemouth v Everton
Kiernan Dewsbury-Hall,13/2,,Bournemouth v Everton
Beto,7/1,,Bournemouth v Everton
James Garner,9/1,,Bournemouth v Everton
Vitaliy Mykolenko,12/1,,Bournemouth v Everton
Jake O'Brien,12/1,,Bournemouth v Everton
James Tarkowski,12/1,,Bournemouth v Everton
Alex Iwobi,5/1,25/1,Fulham v Man City
Adama Traore,11/2,28/1,Fulham v Man City
Ryan Sessegnon,11/2,28/1,Fulham v Man City
Raul Jimenez,15/2,,Fulham v Man City
Joshua King,8/1,,Fulham v Man City
Kenny Tete,10/1,,Fulham v Man City
Sander Berge,12/1,,Fulham v Man City
Rayan Cherki,3/1,,Fulham v Man City
Phil Foden,16/5,,Fulham v Man City
Jeremy Doku,10/3,,Fulham v Man City
Erling Haaland,17/4,,Fulham v Man City
Tijjani Reijnders,9/2,,Fulham v Man City
Matheus Nunes,13/2,,Fulham v Man City
Nico Gonzalez,13/2,,Fulham v Man City
Josko Gvardiol,13/2,,Fulham v Man City
Nico O'Reilly,17/2,,Fulham v Man City
Anthony Gordon,23/10,14/1,Newcastle v Tottenham
Nick Woltemade,24/5,33/1,Newcastle v Tottenham
Bruno Guimaraes,5/1,,Newcastle v Tottenham
Sandro Tonali,6/1,,Newcastle v Tottenham
Joelinton,6/1,,Newcastle v Tottenham
Tino Livramento,15/2,,Newcastle v Tottenham
Alex Murphy,8/1,,Newcastle v Tottenham
Dan Burn,9/1,,Newcastle v Tottenham
Mohammed Kudus,18/5,,Newcastle v Tottenham
Randal Kolo Muani,24/5,,Newcastle v Tottenham
Xavi Simons,5/1,,Newcastle v Tottenham
Wilson Odobert,6/1,,Newcastle v Tottenham
Pape Sarr,15/2,,Newcastle v Tottenham
Pedro Porro,13/2,,Newcastle v Tottenham
Rodrigo Bentancur,9/1,,Newcastle v Tottenham
Cristian Romero,10/1,,Newcastle v Tottenham
Djed Spence,11/1,,Newcastle v Tottenham
Bukayo Saka,23/10,14/1,Arsenal v Brentford
Martin Odegaard,14/5,18/1,Arsenal v Brentford
Noni Madueke,3/1,22/1,Arsenal v Brentford
Declan Rice,7/2,28/1,Arsenal v Brentford
Jurrien Timber,19/4,,Arsenal v Brentford
Martin Zubimendi,11/2,,Arsenal v Brentford
Viktor Gyokeres,11/2,,Arsenal v Brentford
Myles Lewis-Skelly,15/2,,Arsenal v Brentford
Piero Hincapie,8/1,,Arsenal v Brentford
Igor Thiago,17/4,,Arsenal v Brentford
Jordan Henderson,5/1,,Arsenal v Brentford
Kevin Schade,6/1,,Arsenal v Brentford
Dango Ouattara,13/2,,Arsenal v Brentford
Mikkel Damsgaard,15/2,,Arsenal v Brentford
Mathias Jensen,17/2,,Arsenal v Brentford
Aaron Hickey,10/1,,Arsenal v Brentford
Yankuba Minteh,23/10,14/1,Brighton v Aston Villa
Danny Welbeck,13/5,20/1,Brighton v Aston Villa
Brajan Gruda,17/4,33/1,Brighton v Aston Villa
Diego Gomez,5/1,,Brighton v Aston Villa
Yasin Ayari,6/1,,Brighton v Aston Villa
Joel Veltman,15/2,,Brighton v Aston Villa
Carlos Baleba,8/1,,Brighton v Aston Villa
Ferdi Kadioglu,17/2,,Brighton v Aston Villa
Morgan Rogers,15/4,,Brighton v Aston Villa
Youri Tielemans,11/2,,Brighton v Aston Villa
Ollie Watkins,6/1,,Brighton v Aston Villa
Jadon Sancho,6/1,,Brighton v Aston Villa
Lucas Digne,13/2,,Brighton v Aston Villa
John McGinn,15/2,,Brighton v Aston Villa
Boubacar Kamara,15/2,,Brighton v Aston Villa
Matty Cash,9/1,,Brighton v Aston Villa
Zian Flemming,19/4,22/1,Burnley v Crystal Palace
Hannibal Mejbri,5/1,,Burnley v Crystal Palace
Lyle Foster,6/1,,Burnley v Crystal Palace
Josh Cullen,7/1,,Burnley v Crystal Palace
Loum Tchaouna,8/1,,Burnley v Crystal Palace
Axel Tuanzebe,9/1,,Burnley v Crystal Palace
Quilindschy Hartman,9/1,,Burnley v Crystal Palace
Kyle Walker,11/1,,Burnley v Crystal Palace
Yeremy Pino,3/1,,Burnley v Crystal Palace
Daichi Kamada,9/2,,Burnley v Crystal Palace
Jean-Philippe Mateta,19/4,,Burnley v Crystal Palace
Daniel Munoz,19/4,,Burnley v Crystal Palace
Eddie Nketiah,5/1,,Burnley v Crystal Palace
Tyrick Mitchell,5/1,,Burnley v Crystal Palace
Marc Guehi,7/1,,Burnley v Crystal Palace
Maxence Lacroix,17/2,,Burnley v Crystal Palace
Jhon Arias,15/4,33/1,Wolves v Nottingham Forest
Joao Gomes,5/1,33/1,Wolves v Nottingham Forest
Jorgen Strand Larsen,6/1,,Wolves v Nottingham Forest
Jean-Ricner Bellegarde,6/1,,Wolves v Nottingham Forest
Jackson Tchatchoua,9/1,,Wolves v Nottingham Forest
Yerson Mosquera,10/1,,Wolves v Nottingham Forest
Toti Gomes,11/1,,Wolves v Nottingham Forest
Emmanuel Agbadou,12/1,,Wolves v Nottingham Forest
Morgan Gibbs-White,18/5,,Wolves v Nottingham Forest
Omari Hutchinson,5/1,,Wolves v Nottingham Forest
Igor Jesus,11/2,,Wolves v Nottingham Forest
Elliot Anderson,6/1,,Wolves v Nottingham Forest
Callum Hudson-Odoi,6/1,,Wolves v Nottingham Forest
Ryan Yates,15/2,,Wolves v Nottingham Forest
Neco Williams,8/1,,Wolves v Nottingham Forest
Nicolo Savona,10/1,,Wolves v Nottingham Forest
Murillo,12/1,,Wolves v Nottingham Forest
Dominic Calvert-Lewin,4/1,40/1,Leeds v Chelsea
Noah Okafor,5/1,25/1,Leeds v Chelsea
Brenden Aaronson,8/1,33/1,Leeds v Chelsea
Ilia Gruev,9/1,33/1,Leeds v Chelsea
Gabriel Gudmondsson,9/1,33/1,Leeds v Chelsea
Ao Tanaka,10/1,,Leeds v Chelsea
Jayden Bogle,10/1,,Leeds v Chelsea
Cole Palmer,3/1,,Leeds v Chelsea
Alejandro Garnacho,15/4,,Leeds v Chelsea
Joao Pedro,15/4,,Leeds v Chelsea
Pedro Neto,15/4,,Leeds v Chelsea
Enzo Fernandez,17/4,,Leeds v Chelsea
Liam Delap,5/1,,Leeds v Chelsea
Malo Gusto,11/2,,Leeds v Chelsea
Andrey Santos,6/1,,Leeds v Chelsea
Marc Cucurella,15/2,,Leeds v Chelsea
Trevoh Chalobah,11/1,,Leeds v Chelsea
Mohamed Salah,23/10,14/1,Liverpool v Sunderland
Alexander Isak,23/10,14/1,Liverpool v Sunderland
Cody Gakpo,11/4,20/1,Liverpool v Sunderland
Florian Wirtz,10/3,28/1,Liverpool v Sunderland
Dominik Szoboszlai,15/4,33/1,Liverpool v Sunderland
Alexis MacAllister,4/1,40/1,Liverpool v Sunderland
Ryan Gravenberch,11/2,28/1,Liverpool v Sunderland
Milos Kerkez,13/2,,Liverpool v Sunderland
Bertrand Traore,10/3,,Liverpool v Sunderland
Wilson Isidor,17/4,,Liverpool v Sunderland
Granit Xhaka,9/2,,Liverpool v Sunderland
Enzo Le Fee,11/2,,Liverpool v Sunderland
Trai Hume,7/1,,Liverpool v Sunderland
Lutsharel Geertruida,17/2,,Liverpool v Sunderland
Reinildo Mandava,9/1,,Liverpool v Sunderland
Noah Sadiki,9/1,,Liverpool v Sunderland
Nordi Mukiele,10/1,,Liverpool v Sunderland
Daniel Ballard,22/1,,Liverpool v Sunderland
Bryan Mbeumo,9/5,11/1,Man Utd v West Ham
Matheus Cunha,19/10,11/1,Man Utd v West Ham
Bruno Fernandes,9/4,14/1,Man Utd v West Ham
Amad Diallo,12/5,16/1,Man Utd v West Ham
Mason Mount,10/3,28/1,Man Utd v West Ham
Diogo Dalot,18/5,33/1,Man Utd v West Ham
Luke Shaw,15/4,33/1,Man Utd v West Ham
Noussair Mazraoui,17/4,22/1,Man Utd v West Ham
Casemiro,9/2,,Man Utd v West Ham
El Hadji Malick Diouf,29/10,,Man Utd v West Ham
Jarrod Bowen,9/2,,Man Utd v West Ham
Luis Guilherme,11/2,,Man Utd v West Ham
Niclas Fullkrug,13/2,,Man Utd v West Ham
Aaron Wan-Bissaka,13/2,,Man Utd v West Ham
Mateus Fernandes,17/2,,Man Utd v West Ham
Tomas Soucek,17/2,,Man Utd v West Ham
Freddie Potts,9/1,,Man Utd v West Ham
Jean-Clair Todibo,14/1,,Man Utd v West Ham
