player names,one plus ,two plus,contest
Mohammed Kudus,7/2,33/1,Tottenham v Man Utd
Randal Kolo Muani,4/1,40/1,Tottenham v Man Utd
Xavi Simons,17/4,14/1,Tottenham v Man Utd
Pape Matar Sarr,8/1,18/1,Tottenham v Man Utd
Pedro Porro,8/1,18/1,Tottenham v Man Utd
Rodrigo Bentancur,10/1,33/1,Tottenham v Man Utd
Djed Spence,10/1,,Tottenham v Man Utd
Bruno Fernandes,23/10,,Tottenham v Man Utd
Matheus Cunha,5/2,,Tottenham v Man Utd
Bryan Mbeumo,13/5,,Tottenham v Man Utd
Benjamin Sesko,15/4,,Tottenham v Man Utd
Amad Diallo,17/4,,Tottenham v Man Utd
Diogo Dalot,5/1,,Tottenham v Man Utd
Luke Shaw,11/2,,Tottenham v Man Utd
Casemiro,6/1,,Tottenham v Man Utd
Matthijs De Ligt,15/2,,Tottenham v Man Utd
Jack Grealish,16/5,25/1,Everton v Fulham
Thierno Barry,9/2,,Everton v Fulham
Iliman Ndiaye,19/4,,Everton v Fulham
Kiernan Dewsbury-Hall,6/1,,Everton v Fulham
James Garner,17/2,,Everton v Fulham
Idrissa Gueye,9/1,,Everton v Fulham
James Tarkowski,11/1,,Everton v Fulham
Michael Keane,12/1,,Everton v Fulham
Jake O'Brien,14/1,,Everton v Fulham
Vitaliy Mykolenko,14/1,,Everton v Fulham
Alex Iwobi,6/1,,Everton v Fulham
Harry Wilson,6/1,,Everton v Fulham
Raul Jimenez,6/1,,Everton v Fulham
Ryan Sessegnon,13/2,,Everton v Fulham
Joshua King,15/2,,Everton v Fulham
Sander Berge,11/1,,Everton v Fulham
Kenny Tete,14/1,,Everton v Fulham
Jarrod Bowen,5/2,16/1,West Ham v Burnley
El Hadji Malick Diouf,5/2,16/1,West Ham v Burnley
Callum Wilson,16/5,25/1,West Ham v Burnley
Crysencio Summerville,9/2,,West Ham v Burnley
Mateus Fernandes,5/1,,West Ham v Burnley
Lucas Paqueta,5/1,,West Ham v Burnley
Freddie Potts,7/1,,West Ham v Burnley
Aaron Wan-Bissaka,15/2,,West Ham v Burnley
Jean-Clair Todibo,10/1,,West Ham v Burnley
Maximilian Kilman,10/1,,West Ham v Burnley
Jaidon Anthony,5/1,,West Ham v Burnley
Zian Flemming,5/1,,West Ham v Burnley
Josh Cullen,7/1,,West Ham v Burnley
Jacob Bruun Larsen,7/1,,West Ham v Burnley
Quilindschy Hartman,17/2,,West Ham v Burnley
Josh Laurent,9/1,,West Ham v Burnley
Lesley Ugochukwu,9/1,,West Ham v Burnley
Axel Tuanzebe,12/1,,West Ham v Burnley
Kyle Walker,14/1,,West Ham v Burnley
Maxime Esteve,18/1,,West Ham v Burnley
Bertrand Traore,7/1,16/1,Sunderland v Arsenal
Wilson Isidor,15/2,33/1,Sunderland v Arsenal
Enzo Le Fee,8/1,33/1,Sunderland v Arsenal
Granit Xhaka,14/1,33/1,Sunderland v Arsenal
Trai Hume,16/1,28/1,Sunderland v Arsenal
Nordi Mukiele,20/1,,Sunderland v Arsenal
Reinildo Mandava,22/1,,Sunderland v Arsenal
Daniel Ballard,25/1,,Sunderland v Arsenal
Bukayo Saka,9/4,,Sunderland v Arsenal
Mikel Merino,10/3,,Sunderland v Arsenal
Eberechi Eze,18/5,,Sunderland v Arsenal
Leandro Trossard,17/5,,Sunderland v Arsenal
