player names,one plus ,two plus,contest
Jarrod Bowen,5/1,20/1,West Ham v Chelsea
Lucas Paqueta,13/2,25/1,West Ham v Chelsea
Niclas Fullkrug,13/2,33/1,West Ham v Chelsea
James Ward-Prowse,7/1,,West Ham v Chelsea
Aaron Wan-Bissaka,8/1,,West Ham v Chelsea
Guido Rodriguez,10/1,,West Ham v Chelsea
Maximilian Kilman,11/1,,West Ham v Chelsea
Jean-Clair Todibo,14/1,,West Ham v Chelsea
Nayef Aguerd,14/1,,West Ham v Chelsea
Cole Palmer,14/5,,West Ham v Chelsea
Enzo Fernandez,3/1,,West Ham v Chelsea
Pedro Neto,15/4,,West Ham v Chelsea
Jamie Gittens,17/4,,West Ham v Chelsea
Joao Pedro,17/4,,West Ham v Chelsea
Reece James,17/4,,West Ham v Chelsea
Marc Cucurella,8/1,,West Ham v Chelsea
Moises Caicedo,17/2,,West Ham v Chelsea
Trevoh Chalobah,9/1,,West Ham v Chelsea
Rayan Ait-Nouri,3/1,25/1,Man City v Tottenham
Tijani Reijnders,10/3,25/1,Man City v Tottenham
Jeremy Doku,10/3,28/1,Man City v Tottenham
Bernardo Silva,7/2,33/1,Man City v Tottenham
Oscar Bobb,15/4,33/1,Man City v Tottenham
Erling Haaland,17/4,,Man City v Tottenham
Rico Lewis,5/1,,Man City v Tottenham
Nico Gonzalez,11/2,,Man City v Tottenham
Mohammed Kudus,5/1,,Man City v Tottenham
Pedro Porro,6/1,,Man City v Tottenham
Richarlison,6/1,,Man City v Tottenham
Djed Spence,8/1,,Man City v Tottenham
Lucas Bergvall,17/2,,Man City v Tottenham
Pape Sarr,9/1,,Man City v Tottenham
Cristian Romero,14/1,,Man City v Tottenham
Joao Palhinha,14/1,,Man City v Tottenham
Kevin Danso,16/1,,Man City v Tottenham
Micky van de Ven,18/1,,Man City v Tottenham
David Brooks,7/2,33/1,Bournemouth v Wolves
Evanilson,15/4,33/1,Bournemouth v Wolves
Marcus Tavernier,15/4,33/1,Bournemouth v Wolves
Adrien Truffert,17/4,,Bournemouth v Wolves
Antoine Semenyo,17/4,,Bournemouth v Wolves
Alex Scott,5/1,,Bournemouth v Wolves
Marcos Senesi,5/1,,Bournemouth v Wolves
Adam Smith,6/1,,Bournemouth v Wolves
Tyler Adams,6/1,,Bournemouth v Wolves
Jorgen Strand Larsen,11/2,,Bournemouth v Wolves
Jean-Ricner Bellegarde,13/2,,Bournemouth v Wolves
Ki-Jana Hoever,7/1,,Bournemouth v Wolves
Joao Gomes,15/2,,Bournemouth v Wolves
Marshall Munetsi,8/1,,Bournemouth v Wolves
Matt Doherty,9/1,,Bournemouth v Wolves
David Moller Wolfe,10/1,,Bournemouth v Wolves
Toti Gomes,12/1,,Bournemouth v Wolves
Emmanuel Agbadou,14/1,,Bournemouth v Wolves
Mikkel Damsgaard,5/1,,Brentford v Aston Villa
Mathias Jensen,11/2,,Brentford v Aston Villa
Kevin Schade,6/1,,Brentford v Aston Villa
Igor Thiago,17/2,,Brentford v Aston Villa
Nathan Collins,11/1,,Brentford v Aston Villa
Sepp van den Berg,12/1,,Brentford v Aston Villa
Rico Henry,12/1,,Brentford v Aston Villa
Ollie Watkins,17/4,,Brentford v Aston Villa
Youri Tielemans,9/2,,Brentford v Aston Villa
John McGinn,9/2,,Brentford v Aston Villa
Morgan Rogers,19/4,,Brentford v Aston Villa
Lucas Digne,5/1,,Brentford v Aston Villa
Amadou Onana,11/2,,Brentford v Aston Villa
Boubacar Kamara,6/1,,Brentford v Aston Villa
Tyrone Mings,13/2,,Brentford v Aston Villa
Matty Cash,9/1,,Brentford v Aston Villa
Pau Torres,9/1,,Brentford v Aston Villa
Josh Cullen,5/1,,Burnley v Sunderland
Quilindschy Hartman,6/1,,Burnley v Sunderland
Jaidon Anthony,7/1,,Burnley v Sunderland
Lyle Foster,7/1,,Burnley v Sunderland
Marcus Edwards,7/1,,Burnley v Sunderland
Lesley Ugochukwu,15/2,,Burnley v Sunderland
Hannibal Mejbri,15/2,,Burnley v Sunderland
Hjalmar Ekdal,9/1,,Burnley v Sunderland
Kyle Walker,10/1,,Burnley v Sunderland
Maxime Esteve,12/1,,Burnley v Sunderland
Eliezer Mayenda,6/1,,Burnley v Sunderland
Habib Diarra,13/2,,Burnley v Sunderland
Chemsdine Talbi,15/2,,Burnley v Sunderland
Simon Adingra,15/2,,Burnley v Sunderland
Trai Hume,15/2,,Burnley v Sunderland
Granit Xhaka,15/2,,Burnley v Sunderland
Reinildo Mandava,11/1,,Burnley v Sunderland
Daniel Ballard,12/1,,Burnley v Sunderland
Noah Sadiki,16/1,,Burnley v Sunderland
Bukayo Saka,13/5,18/1,Arsenal v Leeds
Martin Odegaard,3/1,25/1,Arsenal v Leeds
Viktor Gyokeres,3/1,25/1,Arsenal v Leeds
Declan Rice,15/4,33/1,Arsenal v Leeds
Gabriel Martinelli,4/1,33/1,Arsenal v Leeds
Martin Zubimendi,17/4,,Arsenal v Leeds
Ben White,5/1,,Arsenal v Leeds
Riccardo Calafiori,6/1,,Arsenal v Leeds
Anton Stach,7/1,,Arsenal v Leeds
Joel Piroe,17/2,,Arsenal v Leeds
Wilfried Gnonto,10/1,,Arsenal v Leeds
Daniel James,10/1,,Arsenal v Leeds
Sean Longstaff,11/1,,Arsenal v Leeds
Ao Tanaka,12/1,,Arsenal v Leeds
Jayden Bogle,12/1,,Arsenal v Leeds
Pascal Struijk,12/1,,Arsenal v Leeds
Gabriel Gudmondsson,14/1,,Arsenal v Leeds
Jean-Philippe Mateta,18/5,33/1,Crystal Palace v Nottingham Forest
Ismaila Sarr,9/2,,Crystal Palace v Nottingham Forest
Tyrick Mitchell,19/4,,Crystal Palace v Nottingham Forest
Daniel Munoz,5/1,,Crystal Palace v Nottingham Forest
Will Hughes,6/1,,Crystal Palace v Nottingham Forest
