player names,one plus ,two plus,contest
Zian Flemming,11/2,25/1,Burnley v Chelsea
Jaidon Anthony,11/2,33/1,Burnley v Chelsea
Josh Cullen,9/1,33/1,Burnley v Chelsea
Josh Laurent,10/1,40/1,Burnley v Chelsea
Quilindschy Hartman,10/1,,Burnley v Chelsea
Lesley Ugochukwu,11/1,,Burnley v Chelsea
Axel Tuanzebe,16/1,,Burnley v Chelsea
Kyle Walker,22/1,,Burnley v Chelsea
Joao Pedro,3/1,,Burnley v Chelsea
Alejandro Garnacho,10/3,,Burnley v Chelsea
Pedro Neto,7/2,,Burnley v Chelsea
Enzo Fernandez,4/1,,Burnley v Chelsea
Liam Delap,5/1,,Burnley v Chelsea
Reece James,13/2,,Burnley v Chelsea
Moises Caicedo,8/1,,Burnley v Chelsea
Marc Cucurella,10/1,,Burnley v Chelsea
Antoine Semenyo,13/5,20/1,Bournemouth v West Ham
Marcus Tavernier,4/1,40/1,Bournemouth v West Ham
David Brooks,17/4,,Bournemouth v West Ham
Alex Scott,11/2,,Bournemouth v West Ham
Evanilson,11/2,,Bournemouth v West Ham
Adrien Truffert,6/1,,Bournemouth v West Ham
Marcos Senesi,7/1,,Bournemouth v West Ham
Tyler Adams,7/1,,Bournemouth v West Ham
Alejandro Jimenez,8/1,,Bournemouth v West Ham
Jarrod Bowen,17/4,,Bournemouth v West Ham
Callum Wilson,19/4,,Bournemouth v West Ham
El Hadji Malick Diouf,5/1,,Bournemouth v West Ham
Crysencio Summerville,15/2,,Bournemouth v West Ham
Mateus Fernandes,8/1,,Bournemouth v West Ham
Freddie Potts,10/1,,Bournemouth v West Ham
Aaron Wan-Bissaka,10/1,,Bournemouth v West Ham
Tomas Soucek,11/1,,Bournemouth v West Ham
Danny Welbeck,3/1,22/1,Brighton v Brentford
Georginio Rutter,3/1,22/1,Brighton v Brentford
Yankuba Minteh,17/4,33/1,Brighton v Brentford
Diego Gomez,5/1,,Brighton v Brentford
Yasin Ayari,6/1,,Brighton v Brentford
Carlos Baleba,15/2,,Brighton v Brentford
Mats Wieffer,15/2,,Brighton v Brentford
Ferdi Kadioglu,10/1,,Brighton v Brentford
Igor Thiago,4/1,,Brighton v Brentford
Dango Ouattara,9/2,,Brighton v Brentford
Kevin Schade,19/4,,Brighton v Brentford
Mikkel Damsgaard,5/1,,Brighton v Brentford
Yehor Yarmolyuk,15/2,,Brighton v Brentford
Jordan Henderson,9/1,,Brighton v Brentford
Nathan Collins,14/1,,Brighton v Brentford
Harry Wilson,4/1,40/1,Fulham v Sunderland
Alex Iwobi,17/4,,Fulham v Sunderland
Ryan Sessegnon,19/4,,Fulham v Sunderland
Raul Jimenez,5/1,,Fulham v Sunderland
Joshua King,13/2,,Fulham v Sunderland
Sander Berge,15/2,,Fulham v Sunderland
Kenny Tete,9/1,,Fulham v Sunderland
Wilson Isidor,4/1,,Fulham v Sunderland
Bertrand Traore,11/2,,Fulham v Sunderland
Enzo Le Fee,13/2,,Fulham v Sunderland
Granit Xhaka,8/1,,Fulham v Sunderland
Trai Hume,11/1,,Fulham v Sunderland
Noah Sadiki,11/1,,Fulham v Sunderland
Nordi Mukiele,11/1,,Fulham v Sunderland
Daniel Ballard,14/1,,Fulham v Sunderland
Reinildo Mandava,16/1,,Fulham v Sunderland
Mohamed Salah,7/5,8/1,Liverpool v Nottingham Forest
Alexander Isak,12/5,14/1,Liverpool v Nottingham Forest
Hugo Ekitike,13/5,16/1,Liverpool v Nottingham Forest
Cody Gakpo,10/3,25/1,Liverpool v Nottingham Forest
Dominik Szoboszlai,17/4,,Liverpool v Nottingham Forest
Alexis MacAllister,11/2,,Liverpool v Nottingham Forest
Ryan Gravenberch,13/2,,Liverpool v Nottingham Forest
Andrew Robertson,8/1,,Liverpool v Nottingham Forest
Morgan Gibbs-White,11/2,,Liverpool v Nottingham Forest
Igor Jesus,7/1,,Liverpool v Nottingham Forest
Dan Ndoye,17/2,,Liverpool v Nottingham Forest
Omari Hutchinson,9/1,,Liverpool v Nottingham Forest
Elliot Anderson,9/1,,Liverpool v Nottingham Forest
Ibrahim Sangare,11/1,,Liverpool v Nottingham Forest
Neco Williams,11/1,,Liverpool v Nottingham Forest
Jean-Ricner Bellegarde,11/2,22/1,Wolves v Crystal Palace
Jorgen Strand Larsen,13/2,33/1,Wolves v Crystal Palace
Hwang Hee-chan,7/1,,Wolves v Crystal Palace
Joao Gomes,9/1,,Wolves v Crystal Palace
Jackson Tchatchoua,9/1,,Wolves v Crystal Palace
Toti Gomes,16/1,,Wolves v Crystal Palace
Yeremy Pino,3/1,,Wolves v Crystal Palace
Ismaila Sarr,4/1,,Wolves v Crystal Palace
Daichi Kamada,5/1,,Wolves v Crystal Palace
Daniel Munoz,5/1,,Wolves v Crystal Palace
Jean-Philippe Mateta,11/2,,Wolves v Crystal Palace
Tyrick Mitchell,11/2,,Wolves v Crystal Palace
Marc Guehi,7/1,,Wolves v Crystal Palace
Maxence Lacroix,8/1,,Wolves v Crystal Palace
Chris Richards,10/1,,Wolves v Crystal Palace
Harvey Barnes,9/2,28/1,Newcastle v Man City
Jacob Murphy,9/2,33/1,Newcastle v Man City
Nick Woltemade,11/2,33/1,Newcastle v Man City
Bruno Guimaraes,7/1,,Newcastle v Man City
Sandro Tonali,15/2,,Newcastle v Man City
Joelinton,17/2,,Newcastle v Man City
Kieran Trippier,10/1,,Newcastle v Man City
Lewis Hall,12/1,,Newcastle v Man City
Malick Thiaw,14/1,,Newcastle v Man City
Sven Botman,16/1,,Newcastle v Man City
Rayan Cherki,18/5,,Newcastle v Man City
Jeremy Doku,15/4,,Newcastle v Man City
Phil Foden,4/1,,Newcastle v Man City
Erling Haaland,17/4,,Newcastle v Man City
Bernardo Silva,11/2,,Newcastle v Man City
Matheus Nunes,13/2,,Newcastle v Man City
Nico Gonzalez,13/2,,Newcastle v Man City
Nico O'Reilly,9/1,,Newcastle v Man City
Bukayo Saka,12/5,16/1,Arsenal v Tottenham
Eberechi Eze,10/3,28/1,Arsenal v Tottenham
Declan Rice,17/4,40/1,Arsenal v Tottenham
Leandro Trossard,17/4,40/1,Arsenal v Tottenham
Mikel Merino,5/1,,Arsenal v Tottenham
Martin Zubimendi,15/2,,Arsenal v Tottenham
Myles Lewis-Skelly,9/1,,Arsenal v Tottenham
Jurrien Timber,9/1,,Arsenal v Tottenham
Piero Hincapie,10/1,,Arsenal v Tottenham
Mohammed Kudus,11/2,,Arsenal v Tottenham
Richarlison,11/2,,Arsenal v Tottenham
Xavi Simons,8/1,,Arsenal v Tottenham
Wilson Odobert,17/2,,Arsenal v Tottenham
Joao Palhinha,11/1,,Arsenal v Tottenham
Destiny Udogie,11/1,,Arsenal v Tottenham
Cristian Romero,12/1,,Arsenal v Tottenham
Pedro Porro,12/1,,Arsenal v Tottenham
Rodrigo Bentancur,16/1,,Arsenal v Tottenham
Matheus Cunha,19/10,12/1,Man Utd v Everton
Bryan Mbeumo,2/1,12/1,Man Utd v Everton
Bruno Fernandes,3/1,25/1,Man Utd v Everton
Amad Diallo,7/2,28/1,Man Utd v Everton
Luke Shaw,5/1,28/1,Man Utd v Everton
Mason Mount,5/1,,Man Utd v Everton
Patrick Dorgu,5/1,,Man Utd v Everton
Casemiro,13/2,,Man Utd v Everton
Jack Grealish,16/5,,Man Utd v Everton
Thierno Barry,19/4,,Man Utd v Everton
Iliman Ndiaye,11/2,,Man Utd v Everton
Kiernan Dewsbury-Hall,13/2,,Man Utd v Everton
James Garner,9/1,,Man Utd v Everton
Tim Iroegbunam,10/1,,Man Utd v Everton
James Tarkowski,14/1,,Man Utd v Everton
Michael Keane,14/1,,Man Utd v Everton
Idrissa Gueye,14/1,,Man Utd v Everton
Dominic Calvert-Lewin,15/4,33/1,Leeds v Aston Villa
Noah Okafor,5/1,,Leeds v Aston Villa
Anton Stach,11/2,,Leeds v Aston Villa
Sean Longstaff,13/2,,Leeds v Aston Villa
Brenden Aaronson,13/2,,Leeds v Aston Villa
Ethan Ampadu,11/1,,Leeds v Aston Villa
Jayden Bogle,11/1,,Leeds v Aston Villa
Gabriel Gudmondsson,12/1,,Leeds v Aston Villa
Jaka Bijol,14/1,,Leeds v Aston Villa
Morgan Rogers,4/1,,Leeds v Aston Villa
Ollie Watkins,6/1,,Leeds v Aston Villa
Youri Tielemans,6/1,,Leeds v Aston Villa
Amadou Onana,7/1,,Leeds v Aston Villa
John McGinn,15/2,,Leeds v Aston Villa
Boubacar Kamara,8/1,,Leeds v Aston Villa
Lucas Digne,9/1,,Leeds v Aston Villa
Matty Cash,14/1,,Leeds v Aston Villa
Pau Torres,14/1,,Leeds v Aston Villa
