player names,one plus ,two plus,contest
Joao Pedro,7/4,10/1,Chelsea v Sunderland
Enzo Fernandez,14/5,20/1,Chelsea v Sunderland
Marc Guiu,3/1,22/1,Chelsea v Sunderland
Alejandro Garnacho,3/1,22/1,Chelsea v Sunderland
Pedro Neto,3/1,22/1,Chelsea v Sunderland
Reece James,9/2,,Chelsea v Sunderland
Marc Cucurella,8/1,,Chelsea v Sunderland
Moises Caicedo,8/1,,Chelsea v Sunderland
Wilson Isidor,7/1,,Chelsea v Sunderland
Bertrand Traore,7/1,,Chelsea v Sunderland
Granit Xhaka,9/1,,Chelsea v Sunderland
Chris Rigg,10/1,,Chelsea v Sunderland
Enzo Le Fee,11/1,,Chelsea v Sunderland
Trai Hume,14/1,,Chelsea v Sunderland
Nordi Mukiele,14/1,,Chelsea v Sunderland
Reinildo Mandava,18/1,,Chelsea v Sunderland
Daniel Ballard,22/1,,Chelsea v Sunderland
Bruno Fernandes,5/2,16/1,Man Utd v Brighton
Matheus Cunha,13/5,18/1,Man Utd v Brighton
Bryan Mbeumo,3/1,22/1,Man Utd v Brighton
Benjamin Sesko,17/4,33/1,Man Utd v Brighton
Amad Diallo,9/2,33/1,Man Utd v Brighton
Luke Shaw,5/1,,Man Utd v Brighton
Casemiro,11/2,,Man Utd v Brighton
Diogo Dalot,11/2,,Man Utd v Brighton
Harry Maguire,7/1,,Man Utd v Brighton
Matthijs de Ligt,7/1,,Man Utd v Brighton
Danny Welbeck,15/4,,Man Utd v Brighton
Georginio Rutter,4/1,,Man Utd v Brighton
Yankuba Minteh,5/1,,Man Utd v Brighton
Diego Gomez,6/1,,Man Utd v Brighton
Mats Wieffer,9/1,,Man Utd v Brighton
Carlos Baleba,9/1,,Man Utd v Brighton
Ferdi Kadioglu,12/1,,Man Utd v Brighton
Viktor Gyokeres,2/1,12/1,Arsenal v Crystal Palace
Bukayo Saka,11/5,14/1,Arsenal v Crystal Palace
Eberechi Eze,29/10,20/1,Arsenal v Crystal Palace
Leandro Trossard,17/4,,Arsenal v Crystal Palace
Declan Rice,17/4,,Arsenal v Crystal Palace
Martin Zubimendi,6/1,,Arsenal v Crystal Palace
Piero Hincapie,17/2,,Arsenal v Crystal Palace
Jean-Philippe Mateta,11/2,,Arsenal v Crystal Palace
Ismaila Sarr,13/2,,Arsenal v Crystal Palace
Daichi Kamada,11/1,,Arsenal v Crystal Palace
Daniel Munoz,12/1,,Arsenal v Crystal Palace
Tyrick Mitchell,12/1,,Arsenal v Crystal Palace
Maxence Lacroix,14/1,,Arsenal v Crystal Palace
Chris Richards,18/1,,Arsenal v Crystal Palace
Ollie Watkins,7/2,25/1,Aston Villa v Man City
Morgan Rogers,6/1,25/1,Aston Villa v Man City
Donyell Malen,7/1,28/1,Aston Villa v Man City
John McGinn,17/2,33/1,Aston Villa v Man City
Amadou Onana,10/1,40/1,Aston Villa v Man City
Boubacar Kamara,10/1,,Aston Villa v Man City
Savinho,3/1,,Aston Villa v Man City
Erling Haaland,16/5,,Aston Villa v Man City
Jeremy Doku,15/4,,Aston Villa v Man City
Phil Foden,15/4,,Aston Villa v Man City
Tijani Reijnders,5/1,,Aston Villa v Man City
Matheus Nunes,7/1,,Aston Villa v Man City
Mateo Kovacic,8/1,,Aston Villa v Man City
Nico O'Reilly,8/1,,Aston Villa v Man City
Josko Gvardiol,12/1,,Aston Villa v Man City
Antoine Semenyo,18/5,28/1,Bournemouth v Nottingham Forest
Eli Junior Kroupi,4/1,,Bournemouth v Nottingham Forest
Justin Kluivert,17/4,,Bournemouth v Nottingham Forest
Marcus Tavernier,17/4,,Bournemouth v Nottingham Forest
Alex Scott,11/2,,Bournemouth v Nottingham Forest
Adrien Truffert,6/1,,Bournemouth v Nottingham Forest
Marcos Senesi,7/1,,Bournemouth v Nottingham Forest
Tyler Adams,17/2,,Bournemouth v Nottingham Forest
Alejandro Jimenez,17/2,,Bournemouth v Nottingham Forest
Bafode Diakite,9/1,,Bournemouth v Nottingham Forest
Morgan Gibbs-White,5/1,,Bournemouth v Nottingham Forest
Taiwo Awoniyi,13/2,,Bournemouth v Nottingham Forest
Callum Hudson-Odoi,13/2,,Bournemouth v Nottingham Forest
Dan Ndoye,8/1,,Bournemouth v Nottingham Forest
Elliot Anderson,17/2,,Bournemouth v Nottingham Forest
Neco Williams,10/1,,Bournemouth v Nottingham Forest
Ibrahim Sangare,14/1,,Bournemouth v Nottingham Forest
Nicolo Savona,16/1,,Bournemouth v Nottingham Forest
Murillo,18/1,,Bournemouth v Nottingham Forest
Nikola Milenkovic,18/1,,Bournemouth v Nottingham Forest
Jhon Arias,10/3,28/1,Wolves v Burnley
Jorgen Strand Larsen,7/2,33/1,Wolves v Burnley
Marshall Munetsi,13/2,,Wolves v Burnley
Joao Gomes,15/2,,Wolves v Burnley
Ladislav Krejci,12/1,,Wolves v Burnley
Jaidon Anthony,6/1,,Wolves v Burnley
Josh Cullen,15/2,,Wolves v Burnley
