player names,one plus ,two plus,contest
Cole Palmer,11/5,14/1,Chelsea v Everton
Alejandro Garnacho,12/5,16/1,Chelsea v Everton
Reece James,3/1,25/1,Chelsea v Everton
Pedro Neto,16/5,28/1,Chelsea v Everton
Jack Grealish,15/4,33/1,Chelsea v Everton
Kiernan Dewsbury-Hall,15/4,33/1,Chelsea v Everton
Iliman Ndiaye,11/2,,Chelsea v Everton
James Garner,15/2,,Chelsea v Everton
Dominik Szoboszlai,9/4,14/1,Liverpool v Brighton
Florian Wirtz,3/1,28/1,Liverpool v Brighton
Hugo Ekitike,4/1,40/1,Liverpool v Brighton
Alexis MacAllister,9/2,22/1,Liverpool v Brighton
Yankuba Minteh,16/5,33/1,Liverpool v Brighton
Georginio Rutter,4/1,,Liverpool v Brighton
Mats Wieffer,11/2,,Liverpool v Brighton
Diego Gomez,13/2,,Liverpool v Brighton
Jaidon Anthony,9/2,25/1,Burnley v Fulham
Quilindschy Hartman,5/1,28/1,Burnley v Fulham
Lyle Foster,11/2,33/1,Burnley v Fulham
Zian Flemming,7/1,40/1,Burnley v Fulham
Alex Iwobi,16/5,,Burnley v Fulham
Samuel Chukwueze,7/2,,Burnley v Fulham
Harry Wilson,15/4,,Burnley v Fulham
Raul Jimenez,4/1,,Burnley v Fulham
Bukayo Saka,6/4,9/1,Arsenal v Wolves
Declan Rice,7/4,10/1,Arsenal v Wolves
Eberechi Eze,2/1,12/1,Arsenal v Wolves
Noni Madueke,12/5,16/1,Arsenal v Wolves
Jhon Arias,8/1,,Arsenal v Wolves
Fernando Lopez,9/1,,Arsenal v Wolves
Emmanuel Agbadou,12/1,,Arsenal v Wolves
Joao Gomes,12/1,,Arsenal v Wolves
Yeremy Pino,7/2,28/1,Crystal Palace v Man City
Maxence Lacroix,5/1,14/1,Crystal Palace v Man City
Daichi Kamada,6/1,28/1,Crystal Palace v Man City
Eddie Nketiah,13/2,33/1,Crystal Palace v Man City
Rayan Cherki,12/5,,Crystal Palace v Man City
Jeremy Doku,7/2,,Crystal Palace v Man City
Phil Foden,18/5,,Crystal Palace v Man City
Erling Haaland,17/4,,Crystal Palace v Man City
Morgan Gibbs-White,10/3,28/1,Nottingham Forest v Tottenham
Elliot Anderson,15/4,33/1,Nottingham Forest v Tottenham
Omari Hutchinson,9/2,20/1,Nottingham Forest v Tottenham
Dan Ndoye,5/1,28/1,Nottingham Forest v Tottenham
Mohammed Kudus,14/5,33/1,Nottingham Forest v Tottenham
Randal Kolo Muani,18/5,,Nottingham Forest v Tottenham
Wilson Odobert,15/4,,Nottingham Forest v Tottenham
Pedro Porro,11/2,,Nottingham Forest v Tottenham
Granit Xhaka,15/4,40/1,Sunderland v Newcastle
Brian Brobbey,9/2,28/1,Sunderland v Newcastle
Enzo Le Fee,19/4,28/1,Sunderland v Newcastle
Chemsdine Talbi,5/1,,Sunderland v Newcastle
Harvey Barnes,10/3,,Sunderland v Newcastle
Sandro Tonali,18/5,,Sunderland v Newcastle
Nick Woltemade,19/4,,Sunderland v Newcastle
Bruno Guimaraes,11/2,,Sunderland v Newcastle
Jarrod Bowen,10/3,28/1,West Ham v Aston Villa
El Hadji Malick Diouf,19/4,25/1,West Ham v Aston Villa
Jean-Clair Todibo,11/2,33/1,West Ham v Aston Villa
Freddie Potts,11/2,,West Ham v Aston Villa
Morgan Rogers,10/3,,West Ham v Aston Villa
Matty Cash,15/4,,West Ham v Aston Villa
Youri Tielemans,19/4,,West Ham v Aston Villa
Ollie Watkins,5/1,,West Ham v Aston Villa
Mikkel Damsgaard,12/5,16/1,Brentford v Leeds
Dango Ouattara,13/5,18/1,Brentford v Leeds
Igor Thiago,15/4,33/1,Brentford v Leeds
Keane Lewis-Potter,17/4,25/1,Brentford v Leeds
Anton Stach,3/1,,Brentford v Leeds
Noah Okafor,19/4,,Brentford v Leeds
Dominic Calvert-Lewin,5/1,,Brentford v Leeds
Jayden Bogle,9/1,,Brentford v Leeds
Bruno Fernandes,23/10,14/1,Man Utd v Bournemouth
Mason Mount,7/2,28/1,Man Utd v Bournemouth
Matheus Cunha,15/4,33/1,Man Utd v Bournemouth
Joshua Zirkzee,15/4,33/1,Man Utd v Bournemouth
Antoine Semenyo,17/4,,Man Utd v Bournemouth
Marcus Tavernier,9/2,,Man Utd v Bournemouth
Alex Scott,11/2,,Man Utd v Bournemouth
Justin Kluivert,6/1,,Man Utd v Bournemouth
