player names,one plus ,two plus,contest
Matheus Cunha,10/3,28/1,Man Utd v Newcastle
Benjamin Sesko,15/4,33/1,Man Utd v Newcastle
Mason Mount,17/4,40/1,Man Utd v Newcastle
Diogo Dalot,11/2,18/1,Man Utd v Newcastle
Anthony Gordon,13/5,22/1,Man Utd v Newcastle
Jacob Murphy,3/1,33/1,Man Utd v Newcastle
Sandro Tonali,4/1,,Man Utd v Newcastle
Jacob Ramsey,11/2,,Man Utd v Newcastle
Morgan Gibbs-White,9/2,16/1,Nottingham Forest v Man City
Elliot Anderson,5/1,22/1,Nottingham Forest v Man City
Omari Hutchinson,15/2,,Nottingham Forest v Man City
Callum Hudson-Odoi,15/2,,Nottingham Forest v Man City
Rayan Cherki,23/10,,Nottingham Forest v Man City
Phil Foden,14/5,,Nottingham Forest v Man City
Tijjani Reijnders,19/4,,Nottingham Forest v Man City
Bernardo Silva,11/2,,Nottingham Forest v Man City
Bukayo Saka,13/8,9/1,Arsenal v Brighton
Declan Rice,23/10,14/1,Arsenal v Brighton
Leandro Trossard,13/5,18/1,Arsenal v Brighton
Martin Odegaard,14/5,20/1,Arsenal v Brighton
Yankuba Minteh,5/1,,Arsenal v Brighton
Georginio Rutter,11/2,,Arsenal v Brighton
Brajan Gruda,17/2,,Arsenal v Brighton
Diego Gomez,17/2,,Arsenal v Brighton
Igor Thiago,12/5,18/1,Brentford v Bournemouth
Kevin Schade,13/5,20/1,Brentford v Bournemouth
Keane Lewis-Potter,17/4,50/1,Brentford v Bournemouth
Mathias Jensen,17/4,,Brentford v Bournemouth
David Brooks,17/4,,Brentford v Bournemouth
Antoine Semenyo,17/4,,Brentford v Bournemouth
Marcus Tavernier,19/4,,Brentford v Bournemouth
Justin Kluivert,11/2,,Brentford v Bournemouth
Jaidon Anthony,19/4,18/1,Burnley v Everton
Armando Broja,19/4,,Burnley v Everton
Loum Tchaouna,15/2,,Burnley v Everton
Josh Cullen,9/1,,Burnley v Everton
Jack Grealish,5/2,,Burnley v Everton
Thierno Barry,9/2,,Burnley v Everton
Dwight McNeil,9/2,,Burnley v Everton
Tim Iroegbunam,5/1,,Burnley v Everton
Hugo Ekitike,7/4,10/1,Liverpool v Wolves
Florian Wirtz,23/10,14/1,Liverpool v Wolves
Alexis Mac Allister,15/4,33/1,Liverpool v Wolves
Jeremie Frimpong,17/4,,Liverpool v Wolves
Jorgen Strand Larsen,10/1,,Liverpool v Wolves
Hwang Hee-chan,11/1,,Liverpool v Wolves
David Moller Wolfe,14/1,,Liverpool v Wolves
Matt Doherty,18/1,,Liverpool v Wolves
Jarrod Bowen,14/5,20/1,West Ham v Fulham
Crysencio Summerville,19/4,33/1,West Ham v Fulham
Lucas Paqueta,5/1,40/1,West Ham v Fulham
Freddie Potts,5/1,,West Ham v Fulham
Harry Wilson,10/3,,West Ham v Fulham
Sasa Lukic,4/1,,West Ham v Fulham
Emile Smith Rowe,9/2,,West Ham v Fulham
Raul Jimenez,6/1,,West Ham v Fulham
Cole Palmer,12/5,16/1,Chelsea v Aston Villa
Alejandro Garnacho,14/5,22/1,Chelsea v Aston Villa
Joao Pedro,10/3,28/1,Chelsea v Aston Villa
Pedro Neto,10/3,28/1,Chelsea v Aston Villa
Morgan Rogers,4/1,33/1,Chelsea v Aston Villa
Youri Tielemans,13/2,,Chelsea v Aston Villa
John McGinn,7/1,,Chelsea v Aston Villa
Ollie Watkins,7/1,,Chelsea v Aston Villa
Granit Xhaka,15/4,33/1,Sunderland v Leeds
Brian Brobbey,9/2,40/1,Sunderland v Leeds
Simon Adingra,19/4,40/1,Sunderland v Leeds
Enzo Le Fee,11/2,,Sunderland v Leeds
Anton Stach,4/1,,Sunderland v Leeds
Noah Okafor,4/1,,Sunderland v Leeds
Brenden Aaronson,17/4,,Sunderland v Leeds
Dominic Calvert-Lewin,9/2,,Sunderland v Leeds
Yeremi Pino,17/4,28/1,Crystal Palace v Tottenham
Eddie Nketiah,11/2,,Crystal Palace v Tottenham
Jean-Philippe Mateta,11/2,,Crystal Palace v Tottenham
Will Hughes,13/2,,Crystal Palace v Tottenham
Tyrick Mitchell,7/1,,Crystal Palace v Tottenham
Jaydee Canvot,17/2,,Crystal Palace v Tottenham
Mohammed Kudus,7/2,,Crystal Palace v Tottenham
Randal Kolo Muani,17/4,,Crystal Palace v Tottenham
Brennan Johnson,9/2,,Crystal Palace v Tottenham
Pedro Porro,8/1,,Crystal Palace v Tottenham
Lucas Bergvall,9/1,,Crystal Palace v Tottenham
Rodrigo Bentancur,14/1,,Crystal Palace v Tottenham
Djed Spence,16/1,,Crystal Palace v Tottenham
