player names,one plus ,two plus,contest
Boubacar Kamara,19/4,16/1,Aston Villa v Arsenal
Morgan Rogers,5/1,22/1,Aston Villa v Arsenal
Evann Guessand,6/1,22/1,Aston Villa v Arsenal
Matty Cash,6/1,28/1,Aston Villa v Arsenal
Ollie Watkins,15/2,33/1,Aston Villa v Arsenal
Ian Maatsen,9/1,,Aston Villa v Arsenal
John McGinn,9/1,,Aston Villa v Arsenal
Amadou Onana,12/1,,Aston Villa v Arsenal
Bukayo Saka,12/5,,Aston Villa v Arsenal
Declan Rice,3/1,,Aston Villa v Arsenal
Eberechi Eze,3/1,,Aston Villa v Arsenal
Gabriel Martinelli,7/2,,Aston Villa v Arsenal
Martin Odegaard,4/1,,Aston Villa v Arsenal
Noni Madueke,9/2,,Aston Villa v Arsenal
Mikel Merino,19/4,,Aston Villa v Arsenal
Riccardo Calafiori,5/1,,Aston Villa v Arsenal
Jurrien Timber,8/1,,Aston Villa v Arsenal
Ben White,17/2,,Aston Villa v Arsenal
Martin Zubimendi,17/2,,Aston Villa v Arsenal
David Brooks,4/1,25/1,Bournemouth v Chelsea
Antoine Semenyo,5/1,40/1,Bournemouth v Chelsea
Alex Scott,11/2,,Bournemouth v Chelsea
Justin Kluivert,11/2,,Bournemouth v Chelsea
Eli Junior Kroupi,6/1,,Bournemouth v Chelsea
Marcos Senesi,6/1,,Bournemouth v Chelsea
Adrien Truffert,13/2,,Bournemouth v Chelsea
Julio Soler,7/1,,Bournemouth v Chelsea
Estevao,29/10,,Bournemouth v Chelsea
Joao Pedro,15/4,,Bournemouth v Chelsea
Jamie Gittens,17/4,,Bournemouth v Chelsea
Enzo Fernandez,9/2,,Bournemouth v Chelsea
Liam Delap,5/1,,Bournemouth v Chelsea
Andrey Santos,13/2,,Bournemouth v Chelsea
Marc Cucurella,15/2,,Bournemouth v Chelsea
Trevoh Chalobah,12/1,,Bournemouth v Chelsea
Kiernan Dewsbury-Hall,11/4,20/1,Everton v Nottingham Forest
Jack Grealish,11/4,22/1,Everton v Nottingham Forest
