player names,one plus ,two plus,contest
David Brooks,17/4,33/1,Bournemouth v Brighton
Evanilson,17/4,,Bournemouth v Brighton
Ryan Christie,17/4,,Bournemouth v Brighton
Marcus Tavernier,9/2,,Bournemouth v Brighton
Antoine Semenyo,5/1,,Bournemouth v Brighton
Adrien Truffert,5/1,,Bournemouth v Brighton
Marcos Senesi,13/2,,Bournemouth v Brighton
James Hill,13/2,,Bournemouth v Brighton
Bafode Diakite,15/2,,Bournemouth v Brighton
Tyler Adams,8/1,,Bournemouth v Brighton
Kaoru Mitoma,15/4,,Bournemouth v Brighton
Georginio Rutter,17/4,,Bournemouth v Brighton
Yankuba Minteh,19/4,,Bournemouth v Brighton
Danny Welbeck,5/1,,Bournemouth v Brighton
Maxime De Cuyper,11/2,,Bournemouth v Brighton
Carlos Baleba,15/2,,Bournemouth v Brighton
Jack Hinshelwood,17/2,,Bournemouth v Brighton
Joel Veltman,10/1,,Bournemouth v Brighton
Jan Paul van Hecke,12/1,,Bournemouth v Brighton
Jack Grealish,13/5,18/1,Everton v Aston Villa
Beto,17/4,,Everton v Aston Villa
Kiernan Dewsbury-Hall,9/2,,Everton v Aston Villa
Carlos Alcaraz,5/1,,Everton v Aston Villa
James Garner,6/1,,Everton v Aston Villa
Idrissa Gueye,8/1,,Everton v Aston Villa
James Tarkowski,17/2,,Everton v Aston Villa
Jake O'Brien,9/1,,Everton v Aston Villa
Michael Keane,10/1,,Everton v Aston Villa
Vitaliy Mykolenko,11/1,,Everton v Aston Villa
Ollie Watkins,17/4,,Everton v Aston Villa
Morgan Rogers,5/1,,Everton v Aston Villa
Donyell Malen,11/2,,Everton v Aston Villa
John McGinn,6/1,,Everton v Aston Villa
Youri Tielemans,6/1,,Everton v Aston Villa
Lucas Digne,13/2,,Everton v Aston Villa
Harvey Elliott,7/1,,Everton v Aston Villa
Tyrone Mings,10/1,,Everton v Aston Villa
Matty Cash,12/1,,Everton v Aston Villa
Joshua King,15/4,28/1,Fulham v Leeds
Alex Iwobi,17/4,,Fulham v Leeds
Harry Wilson,17/4,,Fulham v Leeds
Antonee Robinson,9/2,,Fulham v Leeds
Rodrigo Muniz,9/2,,Fulham v Leeds
Sander Berge,6/1,,Fulham v Leeds
Sasa Lukic,13/2,,Fulham v Leeds
Kenny Tete,13/2,,Fulham v Leeds
Joachim Andersen,11/1,,Fulham v Leeds
Calvin Bassey,12/1,,Fulham v Leeds
Anton Stach,11/2,,Fulham v Leeds
Daniel James,7/1,,Fulham v Leeds
Wilfried Gnonto,7/1,,Fulham v Leeds
Lukas Nmecha,15/2,,Fulham v Leeds
Sean Longstaff,17/2,,Fulham v Leeds
Ilia Gruev,9/1,,Fulham v Leeds
Jayden Bogle,10/1,,Fulham v Leeds
Gabriel Gudmundsson,11/1,,Fulham v Leeds
Pascal Struijk,11/1,,Fulham v Leeds
Anthony Elanga,12/5,14/1,Newcastle v Wolves
Nick Woltemade,3/1,25/1,Newcastle v Wolves
Harvey Barnes,10/3,25/1,Newcastle v Wolves
Bruno Guimaraes,15/4,33/1,Newcastle v Wolves
Joelinton,17/4,,Newcastle v Wolves
Sandro Tonali,9/2,,Newcastle v Wolves
Lewis Hall,6/1,,Newcastle v Wolves
Dan Burn,13/2,,Newcastle v Wolves
Fabian Schar,8/1,,Newcastle v Wolves
Jhon Arias,5/1,,Newcastle v Wolves
Jackson Tchatchoua,9/1,,Newcastle v Wolves
Hwang Hee-chan,9/1,,Newcastle v Wolves
Joao Gomes,9/1,,Newcastle v Wolves
Marshall Munetsi,9/1,,Newcastle v Wolves
Emmanuel Agbadou,12/1,,Newcastle v Wolves
David Moller Wolfe,14/1,,Newcastle v Wolves
Toti Gomes,18/1,,Newcastle v Wolves
Santiago Bueno,20/1,,Newcastle v Wolves
Jarrod Bowen,15/4,33/1,West Ham v Tottenham
Lucas Paqueta,17/4,40/1,West Ham v Tottenham
Callum Wilson,19/4,25/1,West Ham v Tottenham
Mateus Fernandes,11/2,40/1,West Ham v Tottenham
James Ward Prowse,11/2,40/1,West Ham v Tottenham
Kyle Walker-Peters,6/1,,West Ham v Tottenham
Konstantinos Mavropanos,17/2,,West Ham v Tottenham
Max Kilman,10/1,,West Ham v Tottenham
Mohammed Kudus,3/1,,West Ham v Tottenham
Richarlison,4/1,,West Ham v Tottenham
Brennan Johnson,4/1,,West Ham v Tottenham
Pedro Porro,9/2,,West Ham v Tottenham
Djed Spence,11/2,,West Ham v Tottenham
Pape Matar Sarr,13/2,,West Ham v Tottenham
Rodrigo Bentancur,7/1,,West Ham v Tottenham
Cristian Romero,10/1,,West Ham v Tottenham
Micky van de Ven,10/1,,West Ham v Tottenham
Joao Palhinha,11/1,,West Ham v Tottenham
Dango Ouattara,11/2,22/1,Brentford v Chelsea
Mikkel Damsgaard,11/2,22/1,Brentford v Chelsea
Kevin Schade,13/2,25/1,Brentford v Chelsea
Keane Lewis-Potter,7/1,28/1,Brentford v Chelsea
Yehor Yarmolyuk,17/2,28/1,Brentford v Chelsea
Jordan Henderson,11/1,,Brentford v Chelsea
Nathan Collins,14/1,,Brentford v Chelsea
Sepp van den Berg,14/1,,Brentford v Chelsea
Estevao,29/10,,Brentford v Chelsea
Joao Pedro,3/1,,Brentford v Chelsea
Enzo Fernandez,3/1,,Brentford v Chelsea
Pedro Neto,16/5,,Brentford v Chelsea
Jamie Gittens,7/2,,Brentford v Chelsea
Malo Gusto,11/2,,Brentford v Chelsea
Marc Cucurella,8/1,,Brentford v Chelsea
Moises Caicedo,9/1,,Brentford v Chelsea
Tosin Adarabioyo,9/1,,Brentford v Chelsea
Trevoh Chalobah,10/1,,Brentford v Chelsea
Josh Cullen,15/2,9/1,Burnley v Liverpool
Jacob Bruun Larsen,8/1,14/1,Burnley v Liverpool
Jaidon Anthony,8/1,22/1,Burnley v Liverpool
Lyle Foster,17/2,28/1,Burnley v Liverpool
Lesley Ugochukwu,10/1,28/1,Burnley v Liverpool
Quilindschy Hartman,10/1,,Burnley v Liverpool
Hannibal Mejbri,10/1,,Burnley v Liverpool
Hjalmar Ekdal,12/1,,Burnley v Liverpool
Kyle Walker,16/1,,Burnley v Liverpool
Maxime Esteve,18/1,,Burnley v Liverpool
Mohamed Salah,13/8,,Burnley v Liverpool
Florian Wirtz,11/5,,Burnley v Liverpool
Hugo Ekitike,3/1,,Burnley v Liverpool
Cody Gakpo,18/5,,Burnley v Liverpool
Alexis Mac Allister,18/5,,Burnley v Liverpool
Dominik Szoboszlai,17/4,,Burnley v Liverpool
Ryan Gravenberch,6/1,,Burnley v Liverpool
Milos Kerkez,13/2,,Burnley v Liverpool
Virgil van Dijk,9/1,,Burnley v Liverpool
Ibrahima Konate,9/1,,Burnley v Liverpool
Jeremy Doku,16/5,22/1,Man City v Man Utd
Rodri,18/5,28/1,Man City v Man Utd
Bernardo Silva,15/4,33/1,Man City v Man Utd
Tijjani Reijnders,15/4,33/1,Man City v Man Utd
Erling Haaland,15/4,33/1,Man City v Man Utd
Oscar Bobb,17/4,25/1,Man City v Man Utd
Matheus Nunes,9/2,33/1,Man City v Man Utd
Bruno Fernandes,3/1,,Man City v Man Utd
Bryan Mbeumo,15/4,,Man City v Man Utd
Joshua Zirkzee,17/4,,Man City v Man Utd
Amad Diallo,19/4,,Man City v Man Utd
Casemiro,5/1,,Man City v Man Utd
Luke Shaw,6/1,,Man City v Man Utd
Patrick Dorgu,6/1,,Man City v Man Utd
Kobbie Mainoo,15/2,,Man City v Man Utd
Matthijs de Ligt,15/2,,Man City v Man Utd
