player names,one plus ,two plus,contest
Jarrod Bowen,4/1,40/1,West Ham v Nottingham Forest
Crysencio Summerville,6/1,,West Ham v Nottingham Forest
Mateus Fernandes,6/1,,West Ham v Nottingham Forest
Freddie Potts,17/2,,West Ham v Nottingham Forest
Tomas Soucek,10/1,,West Ham v Nottingham Forest
Soungoutou Magassa,11/1,,West Ham v Nottingham Forest
Kyle Walker-Peters,11/1,,West Ham v Nottingham Forest
Morgan Gibbs-White,9/2,,West Ham v Nottingham Forest
Igor Jesus,5/1,,West Ham v Nottingham Forest
Dilane Bakwa,6/1,,West Ham v Nottingham Forest
Elliot Anderson,7/1,,West Ham v Nottingham Forest
Neco Williams,10/1,,West Ham v Nottingham Forest
Nicolo Savona,12/1,,West Ham v Nottingham Forest
Nikola Milenkovic,12/1,,West Ham v Nottingham Forest
Antoine Semenyo,4/1,40/1,Bournemouth v Tottenham
David Brooks,9/2,40/1,Bournemouth v Tottenham
Marcus Tavernier,5/1,,Bournemouth v Tottenham
Adrien Truffert,13/2,,Bournemouth v Tottenham
Alex Scott,7/1,,Bournemouth v Tottenham
Evanilson,15/2,,Bournemouth v Tottenham
Lewis Cook,15/2,,Bournemouth v Tottenham
James Hill,17/2,,Bournemouth v Tottenham
Randal Kolo Muani,15/4,,Bournemouth v Tottenham
Richarlison,19/4,,Bournemouth v Tottenham
Xavi Simons,19/4,,Bournemouth v Tottenham
Pedro Porro,11/2,,Bournemouth v Tottenham
Lucas Bergvall,11/1,,Bournemouth v Tottenham
Djed Spence,14/1,,Bournemouth v Tottenham
Rodrigo Bentancur,14/1,,Bournemouth v Tottenham
Igor Thiago,16/5,25/1,Brentford v Sunderland
Kevin Schade,18/5,33/1,Brentford v Sunderland
Mikkel Damsgaard,15/4,33/1,Brentford v Sunderland
Keane Lewis-Potter,19/4,,Brentford v Sunderland
Jordan Henderson,8/1,,Brentford v Sunderland
Vitaly Janelt,9/1,,Brentford v Sunderland
Kristoffer Ajer,10/1,,Brentford v Sunderland
Michael Kayode,11/1,,Brentford v Sunderland
Simon Adingra,11/2,,Brentford v Sunderland
Brian Brobbey,11/2,,Brentford v Sunderland
Eliezer Mayenda,6/1,,Brentford v Sunderland
Enzo Le Fee,7/1,,Brentford v Sunderland
Granit Xhaka,15/2,,Brentford v Sunderland
Daniel Ballard,14/1,,Brentford v Sunderland
Trai Hume,18/1,,Brentford v Sunderland
Yeremy Pino,19/4,40/1,Crystal Palace v Aston Villa
Justin Devenny,6/1,,Crystal Palace v Aston Villa
Brennan Johnson,8/1,,Crystal Palace v Aston Villa
Jean-Philippe Mateta,8/1,,Crystal Palace v Aston Villa
Will Hughes,17/2,,Crystal Palace v Aston Villa
Tyrick Mitchell,17/2,,Crystal Palace v Aston Villa
Morgan Rogers,4/1,,Crystal Palace v Aston Villa
Jadon Sancho,5/1,,Crystal Palace v Aston Villa
Ollie Watkins,11/2,,Crystal Palace v Aston Villa
Youri Tielemans,6/1,,Crystal Palace v Aston Villa
Lucas Digne,13/2,,Crystal Palace v Aston Villa
John McGinn,7/1,,Crystal Palace v Aston Villa
Matty Cash,17/2,,Crystal Palace v Aston Villa
Boubacar Kamara,11/1,,Crystal Palace v Aston Villa
Jack Grealish,29/10,22/1,Everton v Wolves
Dwight McNeil,4/1,,Everton v Wolves
Thierno Barry,13/2,,Everton v Wolves
James Garner,7/1,,Everton v Wolves
James Tarkowski,9/1,,Everton v Wolves
Tim Iroegbunam,10/1,,Everton v Wolves
Jhon Arias,6/1,,Everton v Wolves
Jorgen Strand Larsen,8/1,,Everton v Wolves
Jackson Tchatchoua,10/1,,Everton v Wolves
Mateus Mane,10/1,,Everton v Wolves
Tolu Arokodare,11/1,,Everton v Wolves
Joao Gomes,18/1,,Everton v Wolves
Harry Wilson,5/1,28/1,Fulham v Chelsea
Sasa Lukic,6/1,,Fulham v Chelsea
Raul Jimenez,6/1,,Fulham v Chelsea
Kevin,13/2,,Fulham v Chelsea
Emile Smith Rowe,15/2,,Fulham v Chelsea
Antonee Robinson,8/1,,Fulham v Chelsea
Sander Berge,12/1,,Fulham v Chelsea
Timothy Castagne,14/1,,Fulham v Chelsea
Cole Palmer,10/3,,Fulham v Chelsea
Pedro Neto,9/2,,Fulham v Chelsea
Enzo Fernandez,19/4,,Fulham v Chelsea
Alejandro Garnacho,19/4,,Fulham v Chelsea
Reece James,5/1,,Fulham v Chelsea
Malo Gusto,6/1,,Fulham v Chelsea
Liam Delap,7/1,,Fulham v Chelsea
Rayan Cherki,13/8,10/1,Man City v Brighton
Jeremy Doku,23/10,16/1,Man City v Brighton
Phil Foden,13/5,20/1,Man City v Brighton
Rodri,7/2,28/1,Man City v Brighton
Erling Haaland,18/5,28/1,Man City v Brighton
Bernardo Silva,17/4,,Man City v Brighton
Matheus Nunes,11/2,,Man City v Brighton
Nico O'Reilly,11/2,,Man City v Brighton
Georginio Rutter,11/2,,Man City v Brighton
Kaoru Mitoma,6/1,,Man City v Brighton
Brajan Gruda,6/1,,Man City v Brighton
Diego Gomez,15/2,,Man City v Brighton
Danny Welbeck,11/1,,Man City v Brighton
Yasin Ayari,12/1,,Man City v Brighton
Armando Broja,17/4,18/1,Burnley v Man Utd
