player names,one plus ,two plus,contest
Anthony Gordon,3/1,22/1,Newcastle v Chelsea
Anthony Elanga,3/1,22/1,Newcastle v Chelsea
Jacob Murphy,10/3,25/1,Newcastle v Chelsea
Sandro Tonali,4/1,25/1,Newcastle v Chelsea
Cole Palmer,3/1,28/1,Newcastle v Chelsea
Alejandro Garnacho,10/3,40/1,Newcastle v Chelsea
Pedro Neto,15/4,,Newcastle v Chelsea
Joao Pedro,9/2,,Newcastle v Chelsea
Antoine Semenyo,14/5,20/1,Bournemouth v Burnley
Marcus Tavernier,3/1,25/1,Bournemouth v Burnley
Justin Kluivert,4/1,40/1,Bournemouth v Burnley
Alex Scott,17/4,,Bournemouth v Burnley
Florentino Luis,11/2,,Bournemouth v Burnley
Zian Flemming,13/2,,Bournemouth v Burnley
Quilindschy Hartman,7/1,,Bournemouth v Burnley
Jacob Bruun Larsen,15/2,,Bournemouth v Burnley
Georginio Rutter,5/2,16/1,Brighton v Sunderland
Kaoru Mitoma,16/5,25/1,Brighton v Sunderland
Brajan Gruda,17/4,,Brighton v Sunderland
Mats Wieffer,9/2,,Brighton v Sunderland
Granit Xhaka,19/4,,Brighton v Sunderland
Brian Brobbey,5/1,,Brighton v Sunderland
Wilson Isidor,6/1,,Brighton v Sunderland
Enzo Le Fee,13/2,,Brighton v Sunderland
Rayan Cherki,6/4,17/2,Man City v West Ham
Phil Foden,2/1,12/1,Man City v West Ham
Erling Haaland,13/5,18/1,Man City v West Ham
Bernardo Silva,10/3,28/1,Man City v West Ham
Jarrod Bowen,11/2,,Man City v West Ham
Jean-Clair Todibo,6/1,,Man City v West Ham
Mateus Fernandes,9/1,,Man City v West Ham
Crysencio Summerville,9/1,,Man City v West Ham
Jorgen Strand Larsen,7/1,18/1,Wolves v Brentford
Hwang Hee-chan,7/1,25/1,Wolves v Brentford
David Moller Wolfe,8/1,,Wolves v Brentford
Joao Gomes,9/1,,Wolves v Brentford
Kevin Schade,13/5,,Wolves v Brentford
Igor Thiago,3/1,,Wolves v Brentford
Keane Lewis-Potter,17/4,,Wolves v Brentford
Mathias Jensen,17/4,,Wolves v Brentford
Jack Grealish,5/1,14/1,Everton v Arsenal
Tim Iroegbunam,6/1,18/1,Everton v Arsenal
Carlos Alcaraz,8/1,22/1,Everton v Arsenal
Thierno Barry,9/1,25/1,Everton v Arsenal
Bukayo Saka,23/10,,Everton v Arsenal
Declan Rice,13/5,,Everton v Arsenal
Eberechi Eze,3/1,,Everton v Arsenal
Gabriel Martinelli,16/5,,Everton v Arsenal
Anton Stach,15/4,40/1,Leeds v Crystal Palace
Dominic Calvert-Lewin,4/1,50/1,Leeds v Crystal Palace
Noah Okafor,4/1,50/1,Leeds v Crystal Palace
Jayden Bogle,17/2,33/1,Leeds v Crystal Palace
Yeremy Pino,4/1,,Leeds v Crystal Palace
