assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team,team_h_difficulty,team_a_difficulty,event,xP,position
0,0,0,0,0.0,218,0.0,0.0,0.0,0.0,20,0,0,0.0,0.0,2022-08-13,0,20,0,0,0,0,2,0,11995,0,0,0,0.0,0,-1444,1497,2941,55,False,0,0,2,0.1028079986572265,90,Manchester City,Bournemouth,4,0,18214,2022,540561,0.0,0,0,0,0.1028079986572265,0.4743930101394653,0.4743930101394653,Bournemouth,2,2,2,-0.5,FWD
0,0,0,0,0.0,218,0.0,0.0,0.0,0.0,31,0,0,0.0,0.0,2022-08-27,0,1,0,0,0,0,4,0,9000,0,1,2,0.0,0,-2877,484,3361,54,False,0,0,0,0.0,90,Manchester City,Crystal Palace,4,2,18237,2022,544435,0.0385279990732669,1,1,0,0.0,1.4064099788665771,1.3678799867630005,Crystal Palace,2,4,4,0.0,FWD
0,0,0,0,0.0,218,0.0,0.0,0.0,0.0,59,0,0,0.0,0.0,2022-09-03,0,18,0,0,0,0,6,0,5732,0,1,2,0.0,0,-1412,0,1412,54,False,0,0,2,0.0571927018463611,90,Aston Villa,Manchester City,1,1,18258,2022,547446,0.0,0,0,0,0.0571927018463611,1.1647000312805176,1.1327500343322754,Manchester City,2,4,6,0.0,FWD
0,0,0,0,0.0,218,0.0,0.0,0.0,0.0,136,0,0,0.0,0.0,2022-10-29,0,8,0,0,0,0,14,0,4047,0,0,0,0.0,0,-81,0,81,54,True,0,0,3,0.2764219939708709,90,Leicester,Manchester City,0,1,18338,2022,559786,0.0201356001198291,0,1,0,0.2764219939708709,0.3537209928035736,0.1166020035743713,Leicester,2,2,14,0.0,FWD
0,0,0,0,0.0,218,0.0,0.0,0.0,0.0,145,0,0,0.0,0.0,2022-11-05,0,13,0,0,0,0,15,0,3979,0,1,2,0.0,0,-69,0,69,54,False,0,0,0,0.0,90,Manchester City,Fulham,2,1,18346,2022,561888,0.0342671982944011,0,1,0,0.0,0.6153500080108643,0.6153500080108643,Fulham,2,5,15,0.0,FWD
0,0,0,0,0.0,218,0.0,0.0,0.0,0.0,173,0,0,0.0,0.0,2022-12-31,0,17,0,0,0,0,18,0,3829,0,1,2,0.0,0,-23,0,23,54,True,0,0,3,0.56489098072052,90,Manchester City,Everton,1,1,18376,2022,566449,0.3945890069007873,0,4,0,0.56489098072052,1.2175500392913818,0.6837369799613953,Manchester City,2,2,18,0.0,FWD
0,0,0,0,0.0,218,0.0,0.0,0.0,0.0,233,0,0,0.0,0.0,2023-02-18,0,5,0,0,0,0,24,0,3712,0,1,0,0.0,0,-16,0,16,54,False,0,0,2,0.4026780128479004,90,Nottingham Forest,Manchester City,1,1,18439,2022,576528,0.046305101364851,0,1,0,0.4026780128479004,0.5166599750518799,0.1651969999074936,Manchester City,2,3,24,0.0,FWD
0,0,0,0,0.0,218,0.0,0.0,0.0,0.0,282,0,0,0.0,0.0,2023-04-01,0,3,0,0,0,0,29,0,3667,0,1,2,0.0,0,-3,0,3,54,False,0,0,3,0.0980430990457534,85,Manchester City,Liverpool,4,1,18488,2022,584369,0.0,0,0,0,0.0980430990457534,1.1096400022506714,1.0451799631118774,Liverpool,2,2,29,0.0,FWD
0,0,0,0,0.0,218,0.0,0.0,0.0,0.0,293,0,0,0.0,0.0,2023-04-08,0,19,0,0,0,0,30,0,3662,0,1,0,0.0,0,-5,0,5,54,True,0,0,0,0.0,83,Southampton,Manchester City,1,4,18499,2022,586976,0.0,0,0,0,0.0,1.0048099756240845,1.0048099756240845,Southampton,2,2,30,0.0,FWD
0,0,0,0,0.0,218,0.0,0.0,0.0,0.0,303,0,0,0.0,0.0,2023-04-15,0,8,0,0,0,0,31,0,3654,0,3,1,0.0,0,-8,0,8,54,False,0,0,1,0.142318993806839,55,Manchester City,Leicester,3,1,18506,2022,588671,0.0199554003775119,1,1,0,0.142318993806839,0.0,0.0,Leicester,2,2,31,0.0,FWD
0,0,0,0,0.0,218,0.0,0.0,0.0,0.0,336,0,0,0.0,0.0,2023-04-30,0,13,0,0,0,0,34,0,3651,0,2,1,0.0,0,0,0,0,54,True,0,0,1,0.0598387084901332,90,Fulham,Manchester City,1,2,18537,2022,593086,0.0,0,0,0,0.0598387084901332,0.2914175689220428,0.2914175689220428,Fulham,5,2,34,0.0,FWD
0,0,0,0,0.0,218,0.0,0.0,0.0,0.0,276,0,0,0.0,0.0,2023-05-03,0,12,0,0,0,0,34,0,3651,0,0,1,0.0,0,0,0,0,54,False,0,0,2,0.4202621579170227,90,Manchester City,West Ham,3,0,18478,2022,593970,0.2419518232345581,0,1,0,0.4202621579170227,0.9346793293952942,0.9346793293952942,West Ham,2,4,34,0.0,FWD
