perfomance_names,perfomance_odds,contest
Casemiro Perf,20 - 23,Man Utd v Newcastle
Matheus Cunha Perf,19 - 22,Man Utd v Newcastle
Manuel Ugarte Perf,18 - 20.5,Man Utd v Newcastle
Mason Mount Perf,18 - 20.5,Man Utd v Newcastle
Patrick Dorgu Perf,16.5 - 19,Man Utd v Newcastle
Leny Yoro Perf,14.5 - 17,Man Utd v Newcastle
Diogo Dalot Perf,14 - 16.5,Man Utd v Newcastle
Ayden Heaven Perf,13.5 - 16,Man Utd v Newcastle
Luke Shaw Perf,11 - 13.5,Man Utd v Newcastle
Benjamin Sesko Perf,10.5 - 13,Man Utd v Newcastle
Bruno Guimaraes Perf,17.5 - 20,Man Utd v Newcastle
Lewis Hall Perf,16 - 18.5,Man Utd v Newcastle
Anthony Gordon Perf,16 - 18.5,Man Utd v Newcastle
Sandro Tonali Perf,15 - 17.5,Man Utd v Newcastle
Fabian Schar Perf,14 - 16.5,Man Utd v Newcastle
Joelinton Perf,13.5 - 16,Man Utd v Newcastle
Malick Thiaw Perf,13.5 - 16,Man Utd v Newcastle
Jacob Murphy Perf,13 - 15.5,Man Utd v Newcastle
Nick Woltemade Perf,12 - 14.5,Man Utd v Newcastle
Lewis Miley Perf,12 - 14.5,Man Utd v Newcastle
Eberechi Eze Perf,22 - 25,Arsenal v Brighton
Bukayo Saka Perf,21 - 24,Arsenal v Brighton
Martin Odegaard Perf,21 - 24,Arsenal v Brighton
Declan Rice Perf,20 - 23,Arsenal v Brighton
Martin Zubimendi Perf,19 - 22,Arsenal v Brighton
Mikel Merino Perf,19 - 22,Arsenal v Brighton
Piero Hincapie Perf,19 - 22,Arsenal v Brighton
Viktor Gyokeres Perf,18.5 - 21,Arsenal v Brighton
William Saliba Perf,18.5 - 21,Arsenal v Brighton
Jurrien Timber Perf,17.5 - 20,Arsenal v Brighton
Riccardo Calafiori Perf,17 - 19.5,Arsenal v Brighton
Leandro Trossard Perf,16.5 - 19,Arsenal v Brighton
Noni Madueke Perf,16.5 - 19,Arsenal v Brighton
Gabriel Martinelli Perf,15 - 17.5,Arsenal v Brighton
Myles Lewis-Skelly Perf,12.5 - 15,Arsenal v Brighton
Diego Gomez Perf,16 - 18.5,Arsenal v Brighton
Mats Wieffer Perf,15.5 - 18,Arsenal v Brighton
Olivier Boscagli Perf,15.5 - 18,Arsenal v Brighton
Yasin Ayari Perf,12 - 14.5,Arsenal v Brighton
Jan Paul van Hecke Perf,12 - 14.5,Arsenal v Brighton
Maxime De Cuyper Perf,11.5 - 14,Arsenal v Brighton
Lewis Dunk Perf,11.5 - 14,Arsenal v Brighton
Ferdi Kadioglu Perf,10.5 - 13,Arsenal v Brighton
Yankuba Minteh Perf,10 - 12.5,Arsenal v Brighton
Charalampos Kostoulas Perf,10 - 12.5,Arsenal v Brighton
Joel Veltman Perf,10 - 12.5,Arsenal v Brighton
Georginio Rutter Perf,9.5 - 12,Arsenal v Brighton
Jack Hinshelwood Perf,9.5 - 12,Arsenal v Brighton
Danny Welbeck Perf,8.5 - 10.5,Arsenal v Brighton
Brajan Gruda Perf,8 - 10,Arsenal v Brighton
Casemiro Perf,20 - 23,Man Utd v Newcastle
Matheus Cunha Perf,19 - 22,Man Utd v Newcastle
Manuel Ugarte Perf,18 - 20.5,Man Utd v Newcastle
Mason Mount Perf,18 - 20.5,Man Utd v Newcastle
Patrick Dorgu Perf,16.5 - 19,Man Utd v Newcastle
Leny Yoro Perf,14.5 - 17,Man Utd v Newcastle
Diogo Dalot Perf,14 - 16.5,Man Utd v Newcastle
Ayden Heaven Perf,13.5 - 16,Man Utd v Newcastle
Luke Shaw Perf,11 - 13.5,Man Utd v Newcastle
Benjamin Sesko Perf,10.5 - 13,Man Utd v Newcastle
Bruno Guimaraes Perf,17.5 - 20,Man Utd v Newcastle
Lewis Hall Perf,16 - 18.5,Man Utd v Newcastle
Anthony Gordon Perf,16 - 18.5,Man Utd v Newcastle
Sandro Tonali Perf,15 - 17.5,Man Utd v Newcastle
Fabian Schar Perf,14 - 16.5,Man Utd v Newcastle
Joelinton Perf,13.5 - 16,Man Utd v Newcastle
