perfomance_names,perfomance_odds,contest
Lucas Paqueta Perf,17 - 19.5,West Ham v Chelsea
James Ward-Prowse Perf,15.5 - 18,West Ham v Chelsea
Aaron Wan-Bissaka Perf,15 - 17.5,West Ham v Chelsea
Jarrod Bowen Perf,14.5 - 17,West Ham v Chelsea
El Hadji Malick Diouf Perf,13.5 - 16,West Ham v Chelsea
Nayef Aguerd Perf,13.5 - 16,West Ham v Chelsea
Jean-Clair Todibo Perf,13.5 - 16,West Ham v Chelsea
Konstantinos Mavropanos Perf,14 - 16.5,West Ham v Chelsea
Freddie Potts Perf,13.5 - 16,West Ham v Chelsea
Guido Rodriguez Perf,13 - 15.5,West Ham v Chelsea
Kyle Walker-Peters Perf,13 - 15.5,West Ham v Chelsea
Andy Irving Perf,12.5 - 15,West Ham v Chelsea
Tomas Soucek Perf,12 - 14.5,West Ham v Chelsea
Maximilian Kilman Perf,11.5 - 14,West Ham v Chelsea
Luis Guilherme Perf,11.5 - 14,West Ham v Chelsea
Oliver Scarles Perf,11.5 - 14,West Ham v Chelsea
Niclas Fullkrug Perf,8.5 - 10.5,West Ham v Chelsea
Callum Wilson Perf,7.5 - 9.5,West Ham v Chelsea
Cole Palmer Perf,24 - 27,West Ham v Chelsea
Enzo Fernandez Perf,21 - 24,West Ham v Chelsea
Moises Caicedo Perf,21 - 24,West Ham v Chelsea
Andrey Santos Perf,21 - 24,West Ham v Chelsea
Marc Cucurella Perf,20 - 23,West Ham v Chelsea
Trevoh Chalobah Perf,20 - 23,West Ham v Chelsea
Joao Pedro Perf,19.5 - 22,West Ham v Chelsea
Reece James Perf,19 - 21.5,West Ham v Chelsea
Tosin Adarabioyo Perf,19 - 21.5,West Ham v Chelsea
Malo Gusto Perf,18 - 20.5,West Ham v Chelsea
Pedro Neto Perf,17 - 19.5,West Ham v Chelsea
Estevao Perf,17 - 19.5,West Ham v Chelsea
Josh Acheampong Perf,17 - 19.5,West Ham v Chelsea
Jorrel Hato Perf,16.5 - 19,West Ham v Chelsea
Wesley Fofana Perf,16 - 18.5,West Ham v Chelsea
Jamie Gittens Perf,14 - 16.5,West Ham v Chelsea
Liam Delap Perf,13 - 15.5,West Ham v Chelsea
