perfomance_names,perfomance_odds,contest
Mateus Fernandes Perf,19 - 22,West Ham v Sunderland
Lucas Paqueta Perf,19 - 22,West Ham v Sunderland
Konstantinos Mavropanos Perf,16.5 - 19,West Ham v Sunderland
Jarrod Bowen Perf,16 - 18.5,West Ham v Sunderland
Aaron Wan-Bissaka Perf,16 - 18.5,West Ham v Sunderland
Jean-Clair Todibo Perf,15 - 17.5,West Ham v Sunderland
Tomas Soucek Perf,14.5 - 17,West Ham v Sunderland
Crysencio Summerville Perf,14 - 16.5,West Ham v Sunderland
Oliver Scarles Perf,14 - 16.5,West Ham v Sunderland
El Hadji Malick Diouf Perf,14 - 16.5,West Ham v Sunderland
Taty Castellanos Perf,13 - 15.5,West Ham v Sunderland
Pablo Perf,12.5 - 15,West Ham v Sunderland
Enzo Le Fee Perf,19 - 22,West Ham v Sunderland
Trai Hume Perf,17 - 19.5,West Ham v Sunderland
Granit Xhaka Perf,16.5 - 19,West Ham v Sunderland
Nordi Mukiele Perf,16.5 - 19,West Ham v Sunderland
Omar Alderete Perf,14 - 16.5,West Ham v Sunderland
Reinildo Mandava Perf,14 - 16.5,West Ham v Sunderland
Daniel Ballard Perf,13.5 - 16,West Ham v Sunderland
Romaine Mundle Perf,12 - 14.5,West Ham v Sunderland
Noah Sadiki Perf,12 - 14.5,West Ham v Sunderland
Brian Brobbey Perf,11 - 13.5,West Ham v Sunderland
Chemsdine Talbi Perf,10.5 - 13,West Ham v Sunderland
Eliezer Mayenda Perf,9.5 - 12,West Ham v Sunderland
Rodri Perf,29 - 32,Man City v Wolves
Rayan Cherki Perf,29 - 32,Man City v Wolves
Omar Marmoush Perf,26 - 29,Man City v Wolves
Erling Haaland Perf,25 - 28,Man City v Wolves
Antoine Semenyo Perf,26 - 29,Man City v Wolves
Marc Guehi Perf,25 - 28,Man City v Wolves
Max Alleyne Perf,25 - 28,Man City v Wolves
Phil Foden Perf,24 - 27,Man City v Wolves
Rayan Ait-Nouri Perf,24 - 27,Man City v Wolves
Jeremy Doku Perf,23 - 26,Man City v Wolves
Nico O'Reilly Perf,22 - 25,Man City v Wolves
Abdukodir Khusanov Perf,21 - 24,Man City v Wolves
Bernardo Silva Perf,21 - 24,Man City v Wolves
Tijjani Reijnders Perf,19 - 22,Man City v Wolves
Nathan Ake Perf,19 - 22,Man City v Wolves
Rico Lewis Perf,18 - 20.5,Man City v Wolves
Joao Gomes Perf,13 - 15.5,Man City v Wolves
Emmanuel Agbadou Perf,13 - 15.5,Man City v Wolves
Yerson Mosquera Perf,12 - 14.5,Man City v Wolves
Jhon Arias Perf,12 - 14.5,Man City v Wolves
Andre Perf,11 - 13.5,Man City v Wolves
Ladislav Krejci Perf,10.5 - 13,Man City v Wolves
Hugo Bueno Perf,9 - 11.5,Man City v Wolves
Tolu Arokodare Perf,7.5 - 9.5,Man City v Wolves
Mateus Mane Perf,7 - 9,Man City v Wolves
Jackson Tchatchoua Perf,6 - 8,Man City v Wolves
Hwang Hee-chan Perf,6 - 8,Man City v Wolves
Jorgen Strand Larsen Perf,5 - 7,Man City v Wolves
Ryan Christie Perf,15.5 - 18,Bournemouth v Liverpool
Marcos Senesi Perf,14 - 16.5,Bournemouth v Liverpool
Lewis Cook Perf,13 - 15.5,Bournemouth v Liverpool
Amine Adli Perf,12.5 - 15,Bournemouth v Liverpool
Alex Scott Perf,12.5 - 15,Bournemouth v Liverpool
Evanilson Perf,11.5 - 14,Bournemouth v Liverpool
James Hill Perf,11.5 - 14,Bournemouth v Liverpool
Adrien Truffert Perf,11.5 - 14,Bournemouth v Liverpool
Alejandro Jimenez Perf,10.5 - 13,Bournemouth v Liverpool
Veljko Milosavljevic Perf,10.5 - 13,Bournemouth v Liverpool
Eli Junior Kroupi Perf,10 - 12.5,Bournemouth v Liverpool
Adam Smith Perf,7 - 9,Bournemouth v Liverpool
Dominik Szoboszlai Perf,22 - 25,Bournemouth v Liverpool
Mohamed Salah Perf,18 - 20.5,Bournemouth v Liverpool
Alexis MacAllister Perf,17.5 - 20,Bournemouth v Liverpool
Florian Wirtz Perf,17 - 19.5,Bournemouth v Liverpool
