perfomance_names,perfomance_odds,contest
Anton Stach Perf,20 - 23,Leeds v Man Utd
Ao Tanaka Perf,19 - 22,Leeds v Man Utd
Sebastiaan Bornauw Perf,17 - 19.5,Leeds v Man Utd
Pascal Struijk Perf,16.5 - 19,Leeds v Man Utd
Jaka Bijol Perf,16.5 - 19,Leeds v Man Utd
Jack Harrison Perf,16 - 18.5,Leeds v Man Utd
James Justin Perf,16 - 18.5,Leeds v Man Utd
Dominic Calvert-Lewin Perf,14.5 - 17,Leeds v Man Utd
Ilia Gruev Perf,14 - 16.5,Leeds v Man Utd
Lukas Nmecha Perf,13.5 - 16,Leeds v Man Utd
Brenden Aaronson Perf,13 - 15.5,Leeds v Man Utd
Wilfried Gnonto Perf,13 - 15.5,Leeds v Man Utd
Gabriel Gudmondsson Perf,12.5 - 15,Leeds v Man Utd
Jayden Bogle Perf,13 - 15.5,Leeds v Man Utd
Joel Piroe Perf,12.5 - 15,Leeds v Man Utd
Noah Okafor Perf,12 - 14.5,Leeds v Man Utd
Casemiro Perf,22 - 25,Leeds v Man Utd
Matheus Cunha Perf,21 - 24,Leeds v Man Utd
Manuel Ugarte Perf,18 - 20.5,Leeds v Man Utd
Mason Mount Perf,17.5 - 20,Leeds v Man Utd
Patrick Dorgu Perf,17 - 19.5,Leeds v Man Utd
Lisandro Martinez Perf,16.5 - 19,Leeds v Man Utd
Jack Fletcher Perf,16.5 - 19,Leeds v Man Utd
Leny Yoro Perf,15.5 - 18,Leeds v Man Utd
Ayden Heaven Perf,15 - 17.5,Leeds v Man Utd
Kobbie Mainoo Perf,15 - 17.5,Leeds v Man Utd
Luke Shaw Perf,14 - 16.5,Leeds v Man Utd
Diogo Dalot Perf,13.5 - 16,Leeds v Man Utd
Matthijs de Ligt Perf,13.5 - 16,Leeds v Man Utd
Tyrell Malacia Perf,12 - 14.5,Leeds v Man Utd
Joshua Zirkzee Perf,11.5 - 14,Leeds v Man Utd
Benjamin Sesko Perf,10 - 12.5,Leeds v Man Utd
