perfomance_names,perfomance_odds,contest
Florentino Luis Perf,15 - 17.5,Burnley v Chelsea
Jaidon Anthony Perf,13.5 - 16,Burnley v Chelsea
Josh Cullen Perf,12 - 14.5,Burnley v Chelsea
Lucas Pires Perf,12 - 14.5,Burnley v Chelsea
Quilindschy Hartman Perf,10 - 12.5,Burnley v Chelsea
Josh Laurent Perf,10 - 12.5,Burnley v Chelsea
Maxime Esteve Perf,10 - 12.5,Burnley v Chelsea
Lesley Ugochukwu Perf,9 - 11.5,Burnley v Chelsea
Kyle Walker Perf,8 - 10,Burnley v Chelsea
Axel Tuanzebe Perf,8.5 - 10.5,Burnley v Chelsea
Zian Flemming Perf,8.5 - 10.5,Burnley v Chelsea
Loum Tchaouna Perf,7 - 9,Burnley v Chelsea
Jacob Bruun Larsen Perf,5.5 - 7.5,Burnley v Chelsea
Andrey Santos Perf,25 - 28,Burnley v Chelsea
Enzo Fernandez Perf,24 - 27,Burnley v Chelsea
Moises Caicedo Perf,22 - 25,Burnley v Chelsea
Joao Pedro Perf,20 - 23,Burnley v Chelsea
Marc Cucurella Perf,20 - 23,Burnley v Chelsea
Malo Gusto Perf,19 - 22,Burnley v Chelsea
Tosin Adarabioyo Perf,19 - 22,Burnley v Chelsea
Reece James Perf,19 - 22,Burnley v Chelsea
Alejandro Garnacho Perf,19 - 22,Burnley v Chelsea
Trevoh Chalobah Perf,19 - 22,Burnley v Chelsea
Estevao Perf,17.5 - 20,Burnley v Chelsea
Wesley Fofana Perf,17 - 19.5,Burnley v Chelsea
Pedro Neto Perf,16.5 - 19,Burnley v Chelsea
Jamie Gittens Perf,14 - 16.5,Burnley v Chelsea
Liam Delap Perf,13 - 15.5,Burnley v Chelsea
Florentino Luis Perf,15 - 17.5,Burnley v Chelsea
Jaidon Anthony Perf,13.5 - 16,Burnley v Chelsea
Josh Cullen Perf,12 - 14.5,Burnley v Chelsea
Lucas Pires Perf,12 - 14.5,Burnley v Chelsea
Quilindschy Hartman Perf,10 - 12.5,Burnley v Chelsea
Josh Laurent Perf,10 - 12.5,Burnley v Chelsea
Maxime Esteve Perf,10 - 12.5,Burnley v Chelsea
Lesley Ugochukwu Perf,9.5 - 12,Burnley v Chelsea
