perfomance_names,perfomance_odds,contest
Erling Haaland Perf,25 - 28,Man City v Leeds
Ruben Dias Perf,23 - 26,Man City v Leeds
Rayan Ait-Nouri Perf,23 - 26,Man City v Leeds
Nico Gonzalez Perf,23 - 26,Man City v Leeds
Nico O'Reilly Perf,22 - 25,Man City v Leeds
Rayan Cherki Perf,22 - 25,Man City v Leeds
Josko Gvardiol Perf,22 - 25,Man City v Leeds
Phil Foden Perf,21 - 24,Man City v Leeds
Omar Marmoush Perf,21 - 24,Man City v Leeds
Oscar Bobb Perf,21 - 24,Man City v Leeds
Nathan Ake Perf,21 - 24,Man City v Leeds
Abdukodir Khusanov Perf,21 - 24,Man City v Leeds
Matheus Nunes Perf,20 - 23,Man City v Leeds
Savinho Perf,20 - 23,Man City v Leeds
Jeremy Doku Perf,18.5 - 21,Man City v Leeds
Tijjani Reijnders Perf,19 - 22,Man City v Leeds
John Stones Perf,18.5 - 21,Man City v Leeds
Bernardo Silva Perf,17.5 - 20,Man City v Leeds
Rico Lewis Perf,16.5 - 19,Man City v Leeds
Anton Stach Perf,13.5 - 16,Man City v Leeds
Pascal Struijk Perf,12 - 14.5,Man City v Leeds
Ethan Ampadu Perf,12 - 14.5,Man City v Leeds
Ao Tanaka Perf,10 - 12.5,Man City v Leeds
Joe Rodon Perf,9 - 11.5,Man City v Leeds
Brenden Aaronson Perf,9.5 - 12,Man City v Leeds
Sean Longstaff Perf,9 - 11.5,Man City v Leeds
Jayden Bogle Perf,8.5 - 10.5,Man City v Leeds
Gabriel Gudmundsson Perf,8.5 - 10.5,Man City v Leeds
Daniel James Perf,7.5 - 9.5,Man City v Leeds
Wilfried Gnonto Perf,7 - 9,Man City v Leeds
Noah Okafor Perf,6.5 - 8.5,Man City v Leeds
Lukas Nmecha Perf,5.5 - 7.5,Man City v Leeds
Dominic Calvert-Lewin Perf,6 - 8,Man City v Leeds
Joel Piroe Perf,5.5 - 7.5,Man City v Leeds
James Garner Perf,17 - 19.5,Everton v Newcastle
Iliman Ndiaye Perf,16.5 - 19,Everton v Newcastle
Kiernan Dewsbury-Hall Perf,16 - 18.5,Everton v Newcastle
Jack Grealish Perf,15 - 17.5,Everton v Newcastle
Carlos Alcaraz Perf,15 - 17.5,Everton v Newcastle
Tim Iroegbunam Perf,14 - 16.5,Everton v Newcastle
James Tarkowski Perf,14 - 16.5,Everton v Newcastle
Beto Perf,12 - 14.5,Everton v Newcastle
Vitaliy Mykolenko Perf,11.5 - 14,Everton v Newcastle
Michael Keane Perf,11 - 13.5,Everton v Newcastle
Thierno Barry Perf,10 - 12.5,Everton v Newcastle
Jake O'Brien Perf,9 - 11.5,Everton v Newcastle
Bruno Guimaraes Perf,20 - 23,Everton v Newcastle
Sandro Tonali Perf,19 - 22,Everton v Newcastle
Lewis Hall Perf,17.5 - 20,Everton v Newcastle
Anthony Gordon Perf,18 - 20.5,Everton v Newcastle
Joelinton Perf,16.5 - 19,Everton v Newcastle
Malick Thiaw Perf,16.5 - 19,Everton v Newcastle
Harvey Barnes Perf,16.5 - 19,Everton v Newcastle
Sven Botman Perf,15.5 - 18,Everton v Newcastle
Lewis Miley Perf,15 - 17.5,Everton v Newcastle
Fabian Schar Perf,15 - 17.5,Everton v Newcastle
Nick Woltemade Perf,15 - 17.5,Everton v Newcastle
Dan Burn Perf,14.5 - 17,Everton v Newcastle
Jacob Murphy Perf,13 - 15.5,Everton v Newcastle
Tino Livramento Perf,12.5 - 15,Everton v Newcastle
Joe Willock Perf,13 - 15.5,Everton v Newcastle
Joao Palhinha Perf,20 - 23,Tottenham v Fulham
Micky van de Ven Perf,18.5 - 21,Tottenham v Fulham
Pedro Porro Perf,18.5 - 21,Tottenham v Fulham
Xavi Simons Perf,17 - 19.5,Tottenham v Fulham
Mohammed Kudus Perf,16.5 - 19,Tottenham v Fulham
Rodrigo Bentancur Perf,16.5 - 19,Tottenham v Fulham
Kevin Danso Perf,16 - 18.5,Tottenham v Fulham
Destiny Udogie Perf,15.5 - 18,Tottenham v Fulham
Lucas Bergvall Perf,15 - 17.5,Tottenham v Fulham
Pape Sarr Perf,15 - 17.5,Tottenham v Fulham
Djed Spence Perf,14 - 16.5,Tottenham v Fulham
Mathys Tel Perf,13.5 - 16,Tottenham v Fulham
Richarlison Perf,13 - 15.5,Tottenham v Fulham
Brennan Johnson Perf,13 - 15.5,Tottenham v Fulham
Wilson Odobert Perf,11.5 - 14,Tottenham v Fulham
Randal Kolo Muani Perf,10.5 - 13,Tottenham v Fulham
Kenny Tete Perf,16 - 18.5,Tottenham v Fulham
Jorge Cuenca Perf,14.5 - 17,Tottenham v Fulham
Kevin Perf,14 - 16.5,Tottenham v Fulham
Joachim Andersen Perf,14 - 16.5,Tottenham v Fulham
Calvin Bassey Perf,13.5 - 16,Tottenham v Fulham
Raul Jimenez Perf,13 - 15.5,Tottenham v Fulham
Alex Iwobi Perf,13 - 15.5,Tottenham v Fulham
Ryan Sessegnon Perf,13 - 15.5,Tottenham v Fulham
Sasa Lukic Perf,13 - 15.5,Tottenham v Fulham
Sander Berge Perf,13 - 15.5,Tottenham v Fulham
Harry Wilson Perf,11.5 - 14,Tottenham v Fulham
Emile Smith Rowe Perf,11.5 - 14,Tottenham v Fulham
Josh King Perf,11 - 13.5,Tottenham v Fulham
