perfomance_names,perfomance_odds,contest
Lucas Paqueta Perf,19 - 22,West Ham v Nottingham Forest
Mateus Fernandes Perf,16 - 18.5,West Ham v Nottingham Forest
Kyle Walker-Peters Perf,15.5 - 18,West Ham v Nottingham Forest
Jarrod Bowen Perf,16 - 18.5,West Ham v Nottingham Forest
Valentin Castellanos Perf,15 - 17.5,West Ham v Nottingham Forest
Soungoutou Magassa Perf,14.5 - 17,West Ham v Nottingham Forest
Oliver Scarles Perf,14.5 - 17,West Ham v Nottingham Forest
Crysencio Summerville Perf,13 - 15.5,West Ham v Nottingham Forest
Konstantinos Mavropanos Perf,12.5 - 15,West Ham v Nottingham Forest
Freddie Potts Perf,12.5 - 15,West Ham v Nottingham Forest
Jean-Clair Todibo Perf,12 - 14.5,West Ham v Nottingham Forest
Tomas Soucek Perf,12 - 14.5,West Ham v Nottingham Forest
Guido Rodriguez Perf,12.5 - 15,West Ham v Nottingham Forest
Max Kilman Perf,11.5 - 14,West Ham v Nottingham Forest
Pablo Felipe Perf,11.5 - 14,West Ham v Nottingham Forest
Callum Wilson Perf,7 - 9,West Ham v Nottingham Forest
Elliot Anderson Perf,22 - 25,West Ham v Nottingham Forest
Douglas Luiz Perf,18.5 - 21,West Ham v Nottingham Forest
Neco Williams Perf,18 - 20.5,West Ham v Nottingham Forest
Morgan Gibbs-White Perf,17.5 - 20,West Ham v Nottingham Forest
Oleksandr Zinchenko Perf,17.5 - 20,West Ham v Nottingham Forest
Omari Hutchinson Perf,17 - 19.5,West Ham v Nottingham Forest
Dilane Bakwa Perf,16.5 - 19,West Ham v Nottingham Forest
James McAtee Perf,15 - 17.5,West Ham v Nottingham Forest
Nicolas Dominguez Perf,15.5 - 18,West Ham v Nottingham Forest
Dan Ndoye Perf,14.5 - 17,West Ham v Nottingham Forest
Callum Hudson-Odoi Perf,14.5 - 17,West Ham v Nottingham Forest
Igor Jesus Perf,13 - 15.5,West Ham v Nottingham Forest
Ola Aina Perf,13 - 15.5,West Ham v Nottingham Forest
Nikola Milenkovic Perf,12 - 14.5,West Ham v Nottingham Forest
Murillo Perf,12.5 - 15,West Ham v Nottingham Forest
Taiwo Awoniyi Perf,9.5 - 12,West Ham v Nottingham Forest
Rodri Perf,25 - 28,Man City v Brighton
Rayan Cherki Perf,25 - 28,Man City v Brighton
Erling Haaland Perf,23 - 26,Man City v Brighton
Phil Foden Perf,21 - 24,Man City v Brighton
Nico Gonzalez Perf,20 - 23,Man City v Brighton
Tijjani Reijnders Perf,19 - 22,Man City v Brighton
Jeremy Doku Perf,19 - 22,Man City v Brighton
Josko Gvardiol Perf,19 - 22,Man City v Brighton
Ruben Dias Perf,19 - 22,Man City v Brighton
Abdukodir Khusanov Perf,19 - 22,Man City v Brighton
Matheus Nunes Perf,18.5 - 21,Man City v Brighton
Savinho Perf,18.5 - 21,Man City v Brighton
Nico O'Reilly Perf,18 - 20.5,Man City v Brighton
Bernardo Silva Perf,17 - 19.5,Man City v Brighton
Nathan Ake Perf,16 - 18.5,Man City v Brighton
John Stones Perf,15 - 17.5,Man City v Brighton
Diego Gomez Perf,16 - 18.5,Man City v Brighton
Yasin Ayari Perf,13.5 - 16,Man City v Brighton
Jan Paul van Hecke Perf,12.5 - 15,Man City v Brighton
Lewis Dunk Perf,12 - 14.5,Man City v Brighton
Maxime De Cuyper Perf,11.5 - 14,Man City v Brighton
Ferdi Kadioglu Perf,11 - 13.5,Man City v Brighton
Joel Veltman Perf,10.5 - 13,Man City v Brighton
Kaoru Mitoma Perf,10 - 12.5,Man City v Brighton
Georginio Rutter Perf,10 - 12.5,Man City v Brighton
James Milner Perf,10 - 12.5,Man City v Brighton
Jack Hinshelwood Perf,10 - 12.5,Man City v Brighton
Charalampos Kostoulas Perf,9.5 - 12,Man City v Brighton
Brajan Gruda Perf,9.5 - 12,Man City v Brighton
Yankuba Minteh Perf,9.5 - 12,Man City v Brighton
Danny Welbeck Perf,9 - 11.5,Man City v Brighton
Rodri Perf,25 - 28,Man City v Brighton
Rayan Cherki Perf,25 - 28,Man City v Brighton
Erling Haaland Perf,23 - 26,Man City v Brighton
Phil Foden Perf,22 - 25,Man City v Brighton
Nico Gonzalez Perf,20 - 23,Man City v Brighton
Tijjani Reijnders Perf,19 - 22,Man City v Brighton
Jeremy Doku Perf,19 - 22,Man City v Brighton
Josko Gvardiol Perf,19 - 22,Man City v Brighton
Ruben Dias Perf,19 - 22,Man City v Brighton
Abdukodir Khusanov Perf,19 - 22,Man City v Brighton
Matheus Nunes Perf,18.5 - 21,Man City v Brighton
Savinho Perf,18.5 - 21,Man City v Brighton
Nico O'Reilly Perf,18 - 20.5,Man City v Brighton
Bernardo Silva Perf,17 - 19.5,Man City v Brighton
Nathan Ake Perf,16 - 18.5,Man City v Brighton
John Stones Perf,15 - 17.5,Man City v Brighton
Diego Gomez Perf,16 - 18.5,Man City v Brighton
Yasin Ayari Perf,13.5 - 16,Man City v Brighton
Jan Paul van Hecke Perf,12.5 - 15,Man City v Brighton
Lewis Dunk Perf,12 - 14.5,Man City v Brighton
Maxime De Cuyper Perf,11.5 - 14,Man City v Brighton
Ferdi Kadioglu Perf,11 - 13.5,Man City v Brighton
Joel Veltman Perf,10.5 - 13,Man City v Brighton
Kaoru Mitoma Perf,10 - 12.5,Man City v Brighton
Georginio Rutter Perf,10 - 12.5,Man City v Brighton
James Milner Perf,10 - 12.5,Man City v Brighton
Jack Hinshelwood Perf,10 - 12.5,Man City v Brighton
Charalampos Kostoulas Perf,9.5 - 12,Man City v Brighton
Brajan Gruda Perf,9.5 - 12,Man City v Brighton
Yankuba Minteh Perf,9.5 - 12,Man City v Brighton
Danny Welbeck Perf,9 - 11.5,Man City v Brighton
