perfomance_names,perfomance_odds,contest
Florentino Luis Perf,14.5 - 17,Burnley v Arsenal
Jaidon Anthony Perf,11.5 - 14,Burnley v Arsenal
Josh Cullen Perf,10.5 - 13,Burnley v Arsenal
Quilindschy Hartman Perf,10 - 12.5,Burnley v Arsenal
Hjalmar Ekdal Perf,10.5 - 13,Burnley v Arsenal
Josh Laurent Perf,10.5 - 13,Burnley v Arsenal
Maxime Esteve Perf,10 - 12.5,Burnley v Arsenal
Lesley Ugochukwu Perf,8.5 - 10.5,Burnley v Arsenal
Axel Tuanzebe Perf,7.5 - 9.5,Burnley v Arsenal
Kyle Walker Perf,7.5 - 9.5,Burnley v Arsenal
Zian Flemming Perf,6.5 - 8.5,Burnley v Arsenal
Lyle Foster Perf,6 - 8,Burnley v Arsenal
Loum Tchaouna Perf,6 - 8,Burnley v Arsenal
Jacob Bruun Larsen Perf,5 - 7,Burnley v Arsenal
Bukayo Saka Perf,22 - 25,Burnley v Arsenal
Eberechi Eze Perf,23 - 26,Burnley v Arsenal
Declan Rice Perf,20 - 23,Burnley v Arsenal
Viktor Gyokeres Perf,19 - 22,Burnley v Arsenal
Mikel Merino Perf,20 - 23,Burnley v Arsenal
Gabriel Magalhaes Perf,19 - 22,Burnley v Arsenal
Martin Zubimendi Perf,19 - 22,Burnley v Arsenal
William Saliba Perf,19 - 22,Burnley v Arsenal
Cristhian Mosquera Perf,19 - 22,Burnley v Arsenal
Riccardo Calafiori Perf,17.5 - 20,Burnley v Arsenal
Jurrien Timber Perf,17.5 - 20,Burnley v Arsenal
Leandro Trossard Perf,16 - 18.5,Burnley v Arsenal
Gabriel Martinelli Perf,16 - 18.5,Burnley v Arsenal
Elliot Anderson Perf,Suspended,Nottingham Forest v Man Utd
Morgan Gibbs-White Perf,Suspended,Nottingham Forest v Man Utd
Neco Williams Perf,Suspended,Nottingham Forest v Man Utd
Callum Hudson-Odoi Perf,Suspended,Nottingham Forest v Man Utd
Douglas Luiz Perf,Suspended,Nottingham Forest v Man Utd
Dan Ndoye Perf,Suspended,Nottingham Forest v Man Utd
Igor Jesus Perf,Suspended,Nottingham Forest v Man Utd
Murillo Perf,Suspended,Nottingham Forest v Man Utd
Chris Wood Perf,Suspended,Nottingham Forest v Man Utd
Nicolo Savona Perf,Suspended,Nottingham Forest v Man Utd
Oleksandr Zinchenko Perf,Suspended,Nottingham Forest v Man Utd
Nikola Milenkovic Perf,Suspended,Nottingham Forest v Man Utd
Bruno Fernandes Perf,Suspended,Nottingham Forest v Man Utd
Casemiro Perf,Suspended,Nottingham Forest v Man Utd
Matheus Cunha Perf,Suspended,Nottingham Forest v Man Utd
Bryan Mbeumo Perf,Suspended,Nottingham Forest v Man Utd
Patrick Dorgu Perf,Suspended,Nottingham Forest v Man Utd
Mason Mount Perf,Suspended,Nottingham Forest v Man Utd
Harry Maguire Perf,Suspended,Nottingham Forest v Man Utd
Amad Diallo Perf,Suspended,Nottingham Forest v Man Utd
Leny Yoro Perf,Suspended,Nottingham Forest v Man Utd
Diogo Dalot Perf,Suspended,Nottingham Forest v Man Utd
Matthijs de Ligt Perf,Suspended,Nottingham Forest v Man Utd
Luke Shaw Perf,Suspended,Nottingham Forest v Man Utd
Benjamin Sesko Perf,Suspended,Nottingham Forest v Man Utd
