perfomance_names,perfomance_odds,contest
Lisandro Martinez Perf,16.5 - 19,Leeds v Man Utd
Jack Fletcher Perf,16 - 18.5,Leeds v Man Utd
Leny Yoro Perf,15.5 - 18,Leeds v Man Utd
Ayden Heaven Perf,15 - 17.5,Leeds v Man Utd
Kobbie Mainoo Perf,15 - 17.5,Leeds v Man Utd
Luke Shaw Perf,14 - 16.5,Leeds v Man Utd
Diogo Dalot Perf,13.5 - 16,Leeds v Man Utd
Matthijs de Ligt Perf,13.5 - 16,Leeds v Man Utd
Tyrell Malacia Perf,12 - 14.5,Leeds v Man Utd
Joshua Zirkzee Perf,11 - 13.5,Leeds v Man Utd
Benjamin Sesko Perf,9.5 - 12,Leeds v Man Utd
Antonee Robinson Perf,15.5 - 18,Fulham v Liverpool
Sasa Lukic Perf,15 - 17.5,Fulham v Liverpool
Emile Smith Rowe Perf,14 - 16.5,Fulham v Liverpool
Raul Jimenez Perf,14 - 16.5,Fulham v Liverpool
Tom Cairney Perf,14 - 16.5,Fulham v Liverpool
Joachim Andersen Perf,13.5 - 16,Fulham v Liverpool
Harry Wilson Perf,13.5 - 16,Fulham v Liverpool
Timothy Castagne Perf,12 - 14.5,Fulham v Liverpool
Jorge Cuenca Perf,12 - 14.5,Fulham v Liverpool
Sander Berge Perf,10.5 - 13,Fulham v Liverpool
Kevin Perf,9.5 - 12,Fulham v Liverpool
Adama Traore Perf,9 - 11.5,Fulham v Liverpool
Dominik Szoboszlai Perf,20 - 23,Fulham v Liverpool
Ryan Gravenberch Perf,19 - 22,Fulham v Liverpool
Alexis MacAllister Perf,19 - 22,Fulham v Liverpool
Virgil van Dijk Perf,17.5 - 20,Fulham v Liverpool
Curtis Jones Perf,16.5 - 19,Fulham v Liverpool
Ibrahima Konate Perf,16.5 - 19,Fulham v Liverpool
Milos Kerkez Perf,16.5 - 19,Fulham v Liverpool
Hugo Ekitike Perf,16 - 18.5,Fulham v Liverpool
Florian Wirtz Perf,16 - 18.5,Fulham v Liverpool
Jeremie Frimpong Perf,15.5 - 18,Fulham v Liverpool
Conor Bradley Perf,15.5 - 18,Fulham v Liverpool
Andrew Robertson Perf,14.5 - 17,Fulham v Liverpool
Cody Gakpo Perf,13.5 - 16,Fulham v Liverpool
