perfomance_names,perfomance_odds,contest
Anton Stach Perf,20 - 23,Leeds v Tottenham
Pascal Struijk Perf,18 - 20.5,Leeds v Tottenham
Ethan Ampadu Perf,16 - 18.5,Leeds v Tottenham
Jack Harrison Perf,16 - 18.5,Leeds v Tottenham
Ao Tanaka Perf,15.5 - 18,Leeds v Tottenham
Sean Longstaff Perf,15.5 - 18,Leeds v Tottenham
Gabriel Gudmundsson Perf,14 - 16.5,Leeds v Tottenham
Jayden Bogle Perf,13.5 - 16,Leeds v Tottenham
Joe Rodon Perf,12.5 - 15,Leeds v Tottenham
Brenden Aaronson Perf,12 - 14.5,Leeds v Tottenham
Dominic Calvert-Lewin Perf,11 - 13.5,Leeds v Tottenham
Lukas Nmecha Perf,10 - 12.5,Leeds v Tottenham
Joel Piroe Perf,10 - 12.5,Leeds v Tottenham
Noah Okafor Perf,9 - 11.5,Leeds v Tottenham
Joao Palhinha Perf,23 - 26,Leeds v Tottenham
Cristian Romero Perf,20 - 23,Leeds v Tottenham
Pedro Porro Perf,19 - 22,Leeds v Tottenham
Mohammed Kudus Perf,18 - 20.5,Leeds v Tottenham
Rodrigo Bentancur Perf,17 - 19.5,Leeds v Tottenham
Micky van de Ven Perf,17.5 - 20,Leeds v Tottenham
Richarlison Perf,16 - 18.5,Leeds v Tottenham
Destiny Udogie Perf,15.5 - 18,Leeds v Tottenham
Xavi Simons Perf,15 - 17.5,Leeds v Tottenham
Lucas Bergvall Perf,14.5 - 17,Leeds v Tottenham
Mathys Tel Perf,14.5 - 17,Leeds v Tottenham
Pape Matar Sarr Perf,14 - 16.5,Leeds v Tottenham
Wilson Odobert Perf,10.5 - 13,Leeds v Tottenham
Archie Gray Perf,10.5 - 13,Leeds v Tottenham
Brennan Johnson Perf,9.5 - 12,Leeds v Tottenham
Bukayo Saka Perf,26 - 29,Arsenal v West Ham
Cristhian Mosquera Perf,24 - 27,Arsenal v West Ham
Martin Odegaard Perf,25 - 28,Arsenal v West Ham
Mikel Merino Perf,25 - 28,Arsenal v West Ham
Martin Zubimendi Perf,23 - 26,Arsenal v West Ham
Declan Rice Perf,23 - 26,Arsenal v West Ham
Eberechi Eze Perf,22 - 25,Arsenal v West Ham
Gabriel Magalhaes0 Perf,22 - 25,Arsenal v West Ham
William Saliba Perf,21 - 24,Arsenal v West Ham
Viktor Gyokeres Perf,20 - 23,Arsenal v West Ham
Leandro Trossard Perf,19 - 22,Arsenal v West Ham
Gabriel Martinelli Perf,19 - 22,Arsenal v West Ham
Riccardo Calafiori Perf,18.5 - 21,Arsenal v West Ham
Jurrien Timber Perf,18 - 20.5,Arsenal v West Ham
Lucas Paqueta Perf,13 - 15.5,Arsenal v West Ham
Soungoutou Magassa Perf,12.5 - 15,Arsenal v West Ham
Mateus Fernandes Perf,11.5 - 14,Arsenal v West Ham
James Ward-Prowse Perf,9.5 - 12,Arsenal v West Ham
Konstantinos Mavropanos Perf,9 - 11,Arsenal v West Ham
Max Kilman Perf,8.5 - 10.5,Arsenal v West Ham
Jarrod Bowen Perf,9 - 11,Arsenal v West Ham
Kyle Walker-Peters Perf,8 - 10,Arsenal v West Ham
El Hadji Malick Diouf Perf,8 - 10,Arsenal v West Ham
Crysencio Summerville Perf,6.5 - 8.5,Arsenal v West Ham
Niclas Fullkrug Perf,4 - 5.5,Arsenal v West Ham
Bruno Fernandes Perf,32 - 35,Man Utd v Sunderland
Casemiro Perf,24 - 27,Man Utd v Sunderland
Bryan Mbeumo Perf,21 - 24,Man Utd v Sunderland
Amad Diallo Perf,21 - 24,Man Utd v Sunderland
Matheus Cunha Perf,21 - 24,Man Utd v Sunderland
Patrick Dorgu Perf,18 - 20.5,Man Utd v Sunderland
Diogo Dalot Perf,16.5 - 19,Man Utd v Sunderland
Benjamin Sesko Perf,15.5 - 18,Man Utd v Sunderland
Enzo Le Fee Perf,14.5 - 17,Man Utd v Sunderland
Trai Hume Perf,12.5 - 15,Man Utd v Sunderland
Granit Xhaka Perf,12 - 14.5,Man Utd v Sunderland
Noah Sadiki Perf,10.5 - 13,Man Utd v Sunderland
Simon Adingra Perf,10 - 12.5,Man Utd v Sunderland
Chris Rigg Perf,9.5 - 12,Man Utd v Sunderland
Chemsdine Talbi Perf,9 - 11,Man Utd v Sunderland
Wilson Isidor Perf,7 - 9,Man Utd v Sunderland
Enzo Fernandez Perf,21 - 24,Chelsea v Liverpool
Moises Caicedo Perf,16.5 - 19,Chelsea v Liverpool
Joao Pedro Perf,14.5 - 17,Chelsea v Liverpool
Marc Cucurella Perf,15 - 17.5,Chelsea v Liverpool
Reece James Perf,14.5 - 17,Chelsea v Liverpool
Benoit Badiashile Perf,14.5 - 17,Chelsea v Liverpool
Malo Gusto Perf,14.5 - 17,Chelsea v Liverpool
Alejandro Garnacho Perf,14 - 16.5,Chelsea v Liverpool
Pedro Neto Perf,13 - 15.5,Chelsea v Liverpool
Estevao Perf,12.5 - 15,Chelsea v Liverpool
Facundo Buonanotte Perf,12.5 - 15,Chelsea v Liverpool
Jorrel Hato Perf,12.5 - 15,Chelsea v Liverpool
Romeo Lavia Perf,12 - 14.5,Chelsea v Liverpool
Jamie Gittens Perf,12 - 14.5,Chelsea v Liverpool
Josh Acheampong Perf,12 - 14.5,Chelsea v Liverpool
Wesley Fofana Perf,11.5 - 14,Chelsea v Liverpool
Tyrique George Perf,10.5 - 13,Chelsea v Liverpool
Marc Guiu Perf,10.5 - 13,Chelsea v Liverpool
Mohamed Salah Perf,16.5 - 19,Chelsea v Liverpool
Alexis MacAllister Perf,16 - 18.5,Chelsea v Liverpool
Virgil van Dijk Perf,15 - 17.5,Chelsea v Liverpool
Conor Bradley Perf,14.5 - 17,Chelsea v Liverpool
Wataru Endo Perf,14.5 - 17,Chelsea v Liverpool
Curtis Jones Perf,14 - 16.5,Chelsea v Liverpool
Dominik Szoboszlai Perf,13.5 - 16,Chelsea v Liverpool
Hugo Ekitike Perf,13.5 - 16,Chelsea v Liverpool
Ibrahima Konate Perf,13.5 - 16,Chelsea v Liverpool
Joe Gomez Perf,13.5 - 16,Chelsea v Liverpool
Florian Wirtz Perf,13.5 - 16,Chelsea v Liverpool
Ryan Gravenberch Perf,13.5 - 16,Chelsea v Liverpool
Cody Gakpo Perf,13 - 15.5,Chelsea v Liverpool
Milos Kerkez Perf,11.5 - 14,Chelsea v Liverpool
Alexander Isak Perf,11 - 13.5,Chelsea v Liverpool
Jeremie Frimpong Perf,9 - 11.5,Chelsea v Liverpool
Idrissa Gueye Perf,19 - 22,Everton v Crystal Palace
James Garner Perf,18.5 - 21,Everton v Crystal Palace
Carlos Alcaraz Perf,17 - 19.5,Everton v Crystal Palace
James Tarkowski Perf,16.5 - 19,Everton v Crystal Palace
Tim Iroegbunam Perf,14 - 16.5,Everton v Crystal Palace
Michael Keane Perf,13.5 - 16,Everton v Crystal Palace
Iliman Ndiaye Perf,13.5 - 16,Everton v Crystal Palace
Jack Grealish Perf,13.5 - 16,Everton v Crystal Palace
Tyler Dibling Perf,13.5 - 16,Everton v Crystal Palace
Vitaliy Mykolenko Perf,13 - 15.5,Everton v Crystal Palace
Beto Perf,12 - 14.5,Everton v Crystal Palace
Jake O'Brien Perf,12 - 14.5,Everton v Crystal Palace
Thierno Barry Perf,11.5 - 14,Everton v Crystal Palace
Daniel Munoz Perf,17 - 19.5,Everton v Crystal Palace
Maxence Lacroix Perf,15.5 - 18,Everton v Crystal Palace
Daichi Kamada Perf,15.5 - 18,Everton v Crystal Palace
Adam Wharton Perf,15 - 17.5,Everton v Crystal Palace
Marc Guehi Perf,14.5 - 17,Everton v Crystal Palace
Jefferson Lerma Perf,14.5 - 17,Everton v Crystal Palace
Ismaila Sarr Perf,14 - 16.5,Everton v Crystal Palace
Chris Richards Perf,12.5 - 15,Everton v Crystal Palace
Will Hughes Perf,12.5 - 15,Everton v Crystal Palace
Yeremy Pino Perf,12 - 14.5,Everton v Crystal Palace
Tyrick Mitchell Perf,12 - 14.5,Everton v Crystal Palace
Jean-Philippe Mateta Perf,9 - 11.5,Everton v Crystal Palace
Mikkel Damsgaard Perf,15 - 17.5,Brentford v Man City
Dango Ouattara Perf,12.5 - 15,Brentford v Man City
Yehor Yarmolyuk Perf,12.5 - 15,Brentford v Man City
Igor Thiago Perf,11 - 13.5,Brentford v Man City
Nathan Collins Perf,10.5 - 13,Brentford v Man City
Kevin Schade Perf,10 - 12.5,Brentford v Man City
Jordan Henderson Perf,10 - 12.5,Brentford v Man City
Ethan Pinnock Perf,10 - 12.5,Brentford v Man City
Sepp van den Berg Perf,9.5 - 12,Brentford v Man City
Michael Kayode Perf,9 - 11,Brentford v Man City
Keane Lewis-Potter Perf,7.5 - 9.5,Brentford v Man City
Aaron Hickey Perf,7 - 9,Brentford v Man City
Kristoffer Ajer Perf,7 - 9,Brentford v Man City
Rodri Perf,20 - 23,Brentford v Man City
Erling Haaland Perf,19 - 22,Brentford v Man City
Phil Foden Perf,18.5 - 21,Brentford v Man City
Josko Gvardiol Perf,18 - 20.5,Brentford v Man City
Tijjani Reijnders Perf,17.5 - 20,Brentford v Man City
Ruben Dias Perf,17.5 - 20,Brentford v Man City
Nico Gonzalez Perf,17.5 - 20,Brentford v Man City
Jeremy Doku Perf,17 - 19.5,Brentford v Man City
Bernardo Silva Perf,16 - 18.5,Brentford v Man City
Savinho Perf,16 - 18.5,Brentford v Man City
Nico O'Reilly Perf,15.5 - 18,Brentford v Man City
Matheus Nunes Perf,15.5 - 18,Brentford v Man City
Rico Lewis Perf,13.5 - 16,Brentford v Man City
John Stones Perf,12.5 - 15,Brentford v Man City
