perfomance_names,perfomance_odds,contest
Florentino Luis Perf,17.5 - 20,Burnley v Fulham
Josh Cullen Perf,13.5 - 16,Burnley v Fulham
Quilindschy Hartman Perf,12.5 - 15,Burnley v Fulham
Maxime Esteve Perf,12.5 - 15,Burnley v Fulham
Oliver Sonne Perf,12 - 14.5,Burnley v Fulham
Hjalmar Ekdal Perf,11.5 - 14,Burnley v Fulham
Lesley Ugochukwu Perf,11.5 - 14,Burnley v Fulham
Zian Flemming Perf,9 - 11,Burnley v Fulham
Loum Tchaouna Perf,9 - 11,Burnley v Fulham
Lyle Foster Perf,8.5 - 10.5,Burnley v Fulham
Joachim Andersen Perf,20 - 23,Burnley v Fulham
Kenny Tete Perf,18 - 20.5,Burnley v Fulham
Calvin Bassey Perf,18 - 20.5,Burnley v Fulham
Harry Wilson Perf,17 - 19.5,Burnley v Fulham
Joshua King Perf,17 - 19.5,Burnley v Fulham
Sander Berge Perf,16 - 18.5,Burnley v Fulham
Raul Jimenez Perf,16 - 18.5,Burnley v Fulham
Timothy Castagne Perf,15.5 - 18,Burnley v Fulham
Samuel Chukwueze Perf,15 - 17.5,Burnley v Fulham
Alex Iwobi Perf,15 - 17.5,Burnley v Fulham
Dominik Szoboszlai Perf,26 - 29,Liverpool v Brighton
Ryan Gravenberch Perf,21 - 24,Liverpool v Brighton
Curtis Jones Perf,20 - 23,Liverpool v Brighton
Alexis MacAllister Perf,19 - 22,Liverpool v Brighton
Mohamed Salah Perf,18.5 - 21,Liverpool v Brighton
Virgil van Dijk Perf,18 - 20.5,Liverpool v Brighton
Florian Wirtz Perf,17 - 19.5,Liverpool v Brighton
Ibrahima Konate Perf,16.5 - 19,Liverpool v Brighton
Hugo Ekitike Perf,15.5 - 18,Liverpool v Brighton
Milos Kerkez Perf,14 - 16.5,Liverpool v Brighton
Joe Gomez Perf,14 - 16.5,Liverpool v Brighton
Andrew Robertson Perf,13.5 - 16,Liverpool v Brighton
Alexander Isak Perf,12 - 14.5,Liverpool v Brighton
Mats Wieffer Perf,16 - 18.5,Liverpool v Brighton
Yasin Ayari Perf,14.5 - 17,Liverpool v Brighton
Lewis Dunk Perf,14 - 16.5,Liverpool v Brighton
Diego Gomez Perf,14 - 16.5,Liverpool v Brighton
Ferdi Kadioglu Perf,13.5 - 16,Liverpool v Brighton
Jan Paul van Hecke Perf,13 - 15.5,Liverpool v Brighton
Joel Veltman Perf,12 - 14.5,Liverpool v Brighton
Maxime De Cuyper Perf,12 - 14.5,Liverpool v Brighton
Danny Welbeck Perf,12 - 14.5,Liverpool v Brighton
Yankuba Minteh Perf,11.5 - 14,Liverpool v Brighton
Carlos Baleba Perf,10.5 - 13,Liverpool v Brighton
Georginio Rutter Perf,10.5 - 13,Liverpool v Brighton
Florentino Luis Perf,17.5 - 20,Burnley v Fulham
Josh Cullen Perf,13.5 - 16,Burnley v Fulham
Quilindschy Hartman Perf,12.5 - 15,Burnley v Fulham
Maxime Esteve Perf,13 - 15.5,Burnley v Fulham
Oliver Sonne Perf,12 - 14.5,Burnley v Fulham
Hjalmar Ekdal Perf,12 - 14.5,Burnley v Fulham
Lesley Ugochukwu Perf,11.5 - 14,Burnley v Fulham
Zian Flemming Perf,9 - 11.5,Burnley v Fulham
Loum Tchaouna Perf,9 - 11.5,Burnley v Fulham
Lyle Foster Perf,9 - 11,Burnley v Fulham
Joachim Andersen Perf,20 - 23,Burnley v Fulham
Kenny Tete Perf,18 - 20.5,Burnley v Fulham
Calvin Bassey Perf,18 - 20.5,Burnley v Fulham
Harry Wilson Perf,16.5 - 19,Burnley v Fulham
Joshua King Perf,16.5 - 19,Burnley v Fulham
Sander Berge Perf,15.5 - 18,Burnley v Fulham
Raul Jimenez Perf,15.5 - 18,Burnley v Fulham
Timothy Castagne Perf,15.5 - 18,Burnley v Fulham
Samuel Chukwueze Perf,14.5 - 17,Burnley v Fulham
Alex Iwobi Perf,15 - 17.5,Burnley v Fulham
Bukayo Saka Perf,27 - 30,Arsenal v Wolves
Eberechi Eze Perf,26 - 29,Arsenal v Wolves
Martin Odegaard Perf,24 - 27,Arsenal v Wolves
Martin Zubimendi Perf,23 - 26,Arsenal v Wolves
Declan Rice Perf,23 - 26,Arsenal v Wolves
Christian Norgaard Perf,23 - 26,Arsenal v Wolves
Mikel Merino Perf,22 - 25,Arsenal v Wolves
Piero Hincapie Perf,22 - 25,Arsenal v Wolves
Noni Madueke Perf,22 - 25,Arsenal v Wolves
Gabriel Martinelli Perf,21 - 24,Arsenal v Wolves
Leandro Trossard Perf,21 - 24,Arsenal v Wolves
Viktor Gyokeres Perf,20 - 23,Arsenal v Wolves
Ethan Nwaneri Perf,19 - 22,Arsenal v Wolves
Jurrien Timber Perf,18 - 20.5,Arsenal v Wolves
Ben White Perf,17 - 19.5,Arsenal v Wolves
Myles Lewis-Skelly Perf,15 - 17.5,Arsenal v Wolves
Joao Gomes Perf,12 - 14.5,Arsenal v Wolves
Emmanuel Agbadou Perf,12 - 14.5,Arsenal v Wolves
Yerson Mosquera Perf,10 - 12.5,Arsenal v Wolves
Ladislav Krejci Perf,9 - 11.5,Arsenal v Wolves
Toti Gomes Perf,9 - 11,Arsenal v Wolves
Ki-Jana Hoever Perf,8.5 - 10.5,Arsenal v Wolves
Jhon Arias Perf,9 - 11,Arsenal v Wolves
Hugo Bueno Perf,7.5 - 9.5,Arsenal v Wolves
Jean-Ricner Bellegarde Perf,7.5 - 9.5,Arsenal v Wolves
David Moller Wolfe Perf,6.5 - 8.5,Arsenal v Wolves
Jackson Tchatchoua Perf,7 - 9,Arsenal v Wolves
Tolu Arokodare Perf,4.5 - 6.5,Arsenal v Wolves
Hwang Hee-chan Perf,4.5 - 6.5,Arsenal v Wolves
Jorgen Strand Larsen Perf,3.5 - 5,Arsenal v Wolves
Enzo Le Fee Perf,18.5 - 21,Sunderland v Newcastle
